MB_X,MB_Y,MF_X,MF_Y,MFonMB,Crits,Crits_incog,Choice,Subj
-0.13773,-0.12634,-0.03228,-0.043337,0.0074305,0,0,0,1
-0.13773,-0.12634,-0.03228,-0.043337,0.0074305,0,0,0,1
-1.1377,-0.12634,-1.0323,-0.043337,0.0074305,0,0,0,1
-0.13773,-0.12634,-0.03228,-4.0433,0.0074305,0,0,1,1
-0.13773,1.8737,-0.03228,1.9567,0.0074305,0,0,1,1
-0.13773,-4.1263,-0.03228,1.9567,0.0074305,0,0,0,1
2.8623,-4.1263,2.9677,1.9567,0.0074305,0,0,1,1
-2.1377,2.8737,-0.03228,2.9567,0.0074305,0,0,1,1
-0.13773,1.8737,-3.0323,-0.043337,-2.9926,0,1,1,1
-2.1377,2.8737,-0.03228,-3.0433,0.0074305,0,0,0,1
-2.1377,2.8737,-2.0323,3.9567,0.0074305,0,0,1,1
2.8623,-2.1263,-3.0323,-2.0433,1.0074,1,0,0,1
-0.13773,3.8737,4.9677,-1.0433,5.0074,0,1,0,1
-3.1377,3.8737,-3.0323,-2.0433,0.0074305,0,0,1,1
-2.1377,2.8737,-2.0323,-3.0433,0.0074305,0,0,1,1
-2.1377,-2.1263,4.9677,-1.0433,0.0074305,0,0,1,1
-2.1377,-2.1263,-2.0323,4.9567,-4.9926,1,0,0,1
-3.1377,4.8737,-2.0323,4.9567,0.0074305,0,0,1,1
-2.1377,-2.1263,2.9677,4.9567,0.0074305,0,0,1,1
-2.1377,-1.1263,-2.0323,4.9567,0.0074305,0,0,1,1
-1.1377,-2.1263,-1.0323,2.9567,0.0074305,0,0,1,1
-1.1377,-1.1263,-2.0323,-1.0433,0.0074305,0,0,0,1
-2.1377,-1.1263,-2.0323,-1.0433,0.0074305,0,0,1,1
-2.1377,0.87366,-2.0323,0.95666,0.0074305,0,0,1,1
-3.1377,2.8737,-0.03228,-1.0433,0.0074305,0,0,1,1
-3.1377,4.8737,-0.03228,4.9567,0.0074305,0,0,1,1
-3.1377,0.87366,-2.0323,-1.0433,0.0074305,0,0,1,1
-3.1377,0.87366,-0.03228,0.95666,-1.9926,1,0,1,1
-0.13773,-2.1263,-0.03228,-2.0433,0.0074305,0,0,0,1
-2.1377,2.8737,-2.0323,2.9567,0.0074305,0,0,1,1
-2.1377,-0.12634,-2.0323,-0.043337,0.0074305,0,0,1,1
