MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
0.82394,-0.28169,-3.507,0.41549,-0.4507,0.16901,6,0
0.82394,-0.28169,2.493,0.41549,-0.4507,0.16901,6,0
0.82394,-6.2817,5.493,-6.5845,0.5493,0.16901,6,0
2.8239,3.7183,4.493,3.4155,-1.4507,0.16901,8,1
0.82394,3.7183,-3.507,-2.5845,-0.4507,0.16901,8,1
0.82394,3.7183,-3.507,-1.5845,-0.4507,0.16901,8,1
0.82394,-6.2817,5.493,-6.5845,0.5493,0.16901,8,0
-1.1761,3.7183,-1.507,5.4155,-1.4507,0.16901,7,1
0.82394,5.7183,-3.507,-2.5845,-0.4507,0.16901,7,0
0.82394,5.7183,2.493,-2.5845,-0.4507,0.16901,7,1
-7.1761,-5.2817,-5.507,4.4155,5.5493,0.16901,7,1
0.82394,2.7183,2.493,-2.5845,-1.4507,0.16901,13,0
0.82394,5.7183,-3.507,-2.5845,-0.4507,0.16901,13,0
0.82394,5.7183,2.493,-2.5845,-0.4507,0.16901,13,1
0.82394,-5.2817,-2.507,-5.5845,0.5493,0.16901,13,0
0.82394,5.7183,-4.507,8.4155,-0.4507,0.16901,15,0
0.82394,5.7183,2.493,8.4155,-0.4507,0.16901,15,0
0.82394,-6.2817,5.493,-6.5845,0.5493,0.16901,15,0
0.82394,-6.2817,-2.507,-6.5845,0.5493,0.16901,16,0
-8.1761,2.7183,-4.507,4.4155,-1.4507,0.16901,17,0
0.82394,-6.2817,5.493,-6.5845,0.5493,0.16901,17,0
0.82394,5.7183,-3.507,-2.5845,-0.4507,0.16901,21,0
0.82394,5.7183,2.493,-2.5845,-0.4507,0.16901,21,0
0.82394,-5.2817,5.493,-5.5845,0.5493,0.16901,21,0
-0.17606,3.7183,-0.50704,5.4155,-1.4507,0.16901,22,1
0.82394,-6.2817,5.493,-6.5845,0.5493,0.16901,22,0
-6.1761,3.7183,-2.507,5.4155,-1.4507,0.16901,24,1
