MB,MF,SMF,MFonMB,Subj,Choice
1.9515,2.0379,2.1923,-1.8852,4,1
3.9515,1.0379,1.1923,4.1148,4,1
-4.0485,4.0379,-1.8077,-1.8852,4,0
-3.0485,3.0379,3.1923,-2.8852,4,0
-3.0485,-2.9621,-2.8077,-2.8852,4,0
-3.0485,-2.9621,-2.8077,-2.8852,4,1
0.9515,-1.9621,1.1923,4.1148,4,0
-2.0485,0.037897,-2.8077,-1.8852,5,0
-4.0485,-3.9621,-3.8077,-3.8852,5,0
-3.0485,-2.9621,-2.8077,-0.88522,5,1
-3.0485,3.0379,-2.8077,-2.8852,5,0
-0.048504,-1.9621,0.19229,0.11478,5,0
2.9515,3.0379,3.1923,3.1148,5,1
1.9515,2.0379,2.1923,2.1148,5,1
-3.0485,3.0379,3.1923,3.1148,5,1
2.9515,3.0379,3.1923,3.1148,5,0
0.9515,-0.9621,-0.80771,1.1148,5,0
