MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-0.44304,-3.1203,1.4494,4.2278,-2.2911,0.43038,6,0
1.557,-0.12025,-3.5506,0.22785,-0.29114,0.43038,6,0
1.557,-6.1203,5.4494,-6.7722,0.70886,0.43038,6,0
3.557,3.8797,4.4494,3.2278,-1.2911,0.43038,8,1
0.55696,-3.1203,1.4494,-3.7722,-2.2911,0.43038,8,1
1.557,3.8797,-3.5506,-2.7722,-0.29114,0.43038,8,1
1.557,-6.1203,5.4494,-6.7722,0.70886,0.43038,8,0
-0.44304,3.8797,-1.5506,5.2278,-1.2911,0.43038,7,1
-2.443,3.8797,-1.5506,1.2278,1.7089,-1.5696,7,0
1.557,5.8797,-3.5506,-2.7722,-0.29114,0.43038,7,0
-6.443,4.8797,-5.5506,-1.7722,5.7089,0.43038,7,1
1.557,2.8797,2.4494,-2.7722,-1.2911,0.43038,13,0
0.55696,-3.1203,1.4494,4.2278,-2.2911,0.43038,13,0
1.557,5.8797,-3.5506,-2.7722,-0.29114,0.43038,13,0
1.557,-5.1203,-2.5506,-5.7722,0.70886,0.43038,13,0
-2.443,3.8797,-0.55063,0.22785,1.7089,-1.5696,15,1
1.557,5.8797,-4.5506,8.2278,-0.29114,0.43038,15,0
1.557,-6.1203,5.4494,-6.7722,0.70886,0.43038,15,0
-0.44304,-3.1203,1.4494,4.2278,-2.2911,0.43038,16,1
1.557,-6.1203,-2.5506,-6.7722,0.70886,0.43038,16,0
-7.443,2.8797,-4.5506,4.2278,-1.2911,0.43038,17,0
-2.443,1.8797,-0.55063,1.2278,1.7089,-1.5696,17,1
1.557,-6.1203,5.4494,-6.7722,0.70886,0.43038,17,0
-2.443,3.8797,0.44937,1.2278,1.7089,-1.5696,21,1
1.557,5.8797,-3.5506,-2.7722,-0.29114,0.43038,21,0
1.557,-5.1203,5.4494,-5.7722,0.70886,0.43038,21,0
0.55696,3.8797,-0.55063,5.2278,-1.2911,0.43038,22,1
-0.44304,-3.1203,1.4494,4.2278,-2.2911,0.43038,22,0
1.557,-6.1203,5.4494,-6.7722,0.70886,0.43038,22,0
-5.443,3.8797,-2.5506,5.2278,-1.2911,0.43038,24,1
-0.44304,-3.1203,1.4494,4.2278,-2.2911,0.43038,24,0
-2.443,1.8797,-0.55063,0.22785,1.7089,-1.5696,24,1
1.557,-0.12025,2.4494,8.2278,-0.29114,0.43038,24,0
1.557,-5.1203,5.4494,-5.7722,0.70886,0.43038,24,0
0.55696,-3.1203,1.4494,1.2278,-2.2911,0.43038,23,1
-2.443,3.8797,-0.55063,1.2278,1.7089,-1.5696,23,1
1.557,-5.1203,6.4494,-5.7722,0.70886,0.43038,23,0
1.557,-1.1203,4.4494,5.2278,-1.2911,0.43038,25,1
1.557,-0.12025,-3.5506,-2.7722,-0.29114,0.43038,25,0
1.557,-6.1203,-2.5506,-6.7722,0.70886,0.43038,25,0
1.557,-3.1203,-1.5506,-3.7722,-1.2911,0.43038,26,0
1.557,5.8797,-3.5506,-2.7722,-0.29114,0.43038,26,0
1.557,-6.1203,-3.5506,-6.7722,0.70886,0.43038,26,0
1.557,0.87975,3.4494,4.2278,-1.2911,0.43038,32,0
-0.44304,-3.1203,0.44937,-4.7722,-2.2911,0.43038,32,0
-2.443,1.8797,-1.5506,1.2278,1.7089,-1.5696,32,1
1.557,1.8797,-3.5506,-2.7722,-0.29114,0.43038,32,0
1.557,-6.1203,5.4494,-6.7722,0.70886,0.43038,32,0
-2.443,3.8797,1.4494,0.22785,1.7089,-1.5696,33,1
-6.443,4.8797,-5.5506,3.2278,5.7089,0.43038,33,1
1.557,-6.1203,-2.5506,-6.7722,0.70886,0.43038,33,0
3.557,3.8797,-0.55063,3.2278,-1.2911,0.43038,35,1
-0.44304,-3.1203,-0.55063,4.2278,-2.2911,0.43038,35,1
1.557,-5.1203,-2.5506,-5.7722,0.70886,0.43038,35,0
1.557,3.8797,2.4494,8.2278,-0.29114,0.43038,34,1
