MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-1.0494,0.80151,-0.44735,1.8428,-0.19819,-4.7872,-0.057876,0.25659,1,0
-2.0494,5.8015,-0.44735,-5.1572,-0.19819,0.21281,-0.057876,0.25659,1,0
0.95058,0.80151,-0.44735,-0.15716,-0.19819,-2.7872,-0.057876,0.25659,1,1
-0.049418,-4.1985,-0.44735,4.8428,-0.19819,5.2128,-0.057876,5.2566,1,1
-3.0494,0.80151,-0.44735,1.8428,-0.19819,-4.7872,-0.057876,0.25659,1,1
2.9506,-4.1985,-6.4474,-0.15716,-3.1982,0.21281,-3.0579,0.25659,1,0
-3.0494,5.8015,5.5526,-10.157,-0.19819,0.21281,-0.057876,0.25659,1,0
-0.049418,2.8015,0.55265,-2.1572,0.80181,0.21281,-0.057876,0.25659,1,0
-1.0494,-4.1985,0.55265,-0.15716,0.80181,0.21281,-0.057876,0.25659,1,0
0.95058,5.8015,-0.44735,-10.157,-0.19819,0.21281,-0.057876,0.25659,1,0
2.9506,2.8015,-2.4474,-1.1572,-0.19819,0.21281,-0.057876,0.25659,1,1
-3.0494,5.8015,1.5526,-10.157,3.8018,0.21281,3.9421,0.25659,1,0
-1.0494,1.8015,3.5526,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
2.9506,5.8015,-1.4474,-10.157,-1.1982,0.21281,-1.0579,0.25659,1,0
-3.0494,5.8015,5.5526,-10.157,5.8018,0.21281,5.9421,0.25659,1,0
-1.0494,-4.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
-1.0494,-1.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
-1.0494,2.8015,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
-0.049418,-4.1985,-0.44735,2.8428,-0.19819,3.2128,-0.057876,3.2566,1,1
1.9506,-3.1985,-1.4474,-0.15716,0.80181,0.21281,-0.057876,0.25659,1,0
-0.049418,1.8015,-0.44735,-2.1572,-0.19819,-1.7872,-0.057876,-1.7434,1,1
-1.0494,2.8015,1.5526,-3.1572,1.8018,-2.7872,-0.057876,-2.7434,1,1
-2.0494,2.8015,0.55265,-3.1572,0.80181,-1.7872,0.94212,-4.7434,1,1
-0.049418,-0.19849,-1.4474,2.8428,-1.1982,0.21281,-0.057876,0.25659,1,1
0.95058,0.80151,-2.4474,-0.15716,-2.1982,0.21281,-0.057876,0.25659,1,1
-2.0494,2.8015,3.5526,-5.1572,2.8018,-4.7872,0.94212,0.25659,1,1
1.9506,-3.1985,-2.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
2.9506,-3.1985,-1.4474,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,0
-2.0494,2.8015,0.55265,-2.1572,0.80181,0.21281,0.94212,-2.7434,1,1
3.9506,-3.1985,-1.4474,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,0
2.9506,-3.1985,0.55265,-0.15716,0.80181,0.21281,-0.057876,0.25659,1,0
4.9506,-2.1985,-0.44735,4.8428,-0.19819,3.2128,-0.057876,1.2566,1,0
-2.0494,5.8015,0.55265,-3.1572,0.80181,-5.7872,0.94212,0.25659,1,1
-2.0494,6.8015,0.55265,-0.15716,0.80181,0.21281,0.94212,0.25659,1,1
-4.0494,-0.19849,6.5526,-3.1572,4.8018,6.2128,2.9421,6.2566,1,0
0.95058,2.8015,4.5526,-7.1572,-0.19819,0.21281,-0.057876,0.25659,1,0
-4.0494,6.8015,2.5526,-4.1572,2.8018,-0.78719,-0.057876,-10.743,1,0
2.9506,-3.1985,-7.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
1.9506,-3.1985,0.55265,-0.15716,0.80181,0.21281,0.94212,0.25659,1,0
6.9506,-0.19849,-6.4474,-3.1572,-1.1982,6.2128,-11.058,6.2566,1,0
0.95058,-3.1985,-5.4474,-0.15716,1.8018,0.21281,0.94212,0.25659,1,0
1.9506,-3.1985,5.5526,-0.15716,-1.1982,0.21281,-1.0579,0.25659,1,0
1.9506,1.8015,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-4.0494,7.8015,-0.44735,-6.1572,-0.19819,-11.787,-0.057876,0.25659,1,1
1.9506,1.8015,-0.44735,-2.1572,-0.19819,0.21281,-0.057876,0.25659,1,0
-4.0494,7.8015,-0.44735,-8.1572,-0.19819,-7.7872,-0.057876,-7.7434,1,1
-4.0494,7.8015,2.5526,-7.1572,-0.19819,-6.7872,-0.057876,-6.7434,1,0
0.95058,-1.1985,-5.4474,1.8428,-2.1982,3.2128,-0.057876,0.25659,1,0
-6.0494,7.8015,7.5526,-7.1572,1.8018,-6.7872,-0.057876,-6.7434,1,1
-7.0494,0.80151,8.5526,-4.1572,2.8018,5.2128,0.94212,5.2566,1,0
-6.0494,7.8015,-0.44735,-15.157,-0.19819,-14.787,-0.057876,-14.743,1,1
8.9506,0.80151,-8.4474,-4.1572,-1.1982,5.2128,-0.057876,5.2566,1,0
-1.0494,-3.1985,-5.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
1.9506,-1.1985,6.5526,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,0
-6.0494,0.80151,4.5526,-4.1572,-0.19819,5.2128,-0.057876,5.2566,1,0
1.9506,1.8015,-8.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
8.9506,8.8015,-10.447,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
-4.0494,0.80151,-2.4474,-4.1572,-2.1982,5.2128,-0.057876,5.2566,1,0
1.9506,-1.1985,-6.4474,9.8428,-0.19819,3.2128,-3.0579,0.25659,1,1
1.9506,-3.1985,-3.4474,-0.15716,-3.1982,0.21281,-3.0579,0.25659,1,0
1.9506,-1.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
-4.0494,0.80151,-0.44735,-4.1572,-0.19819,5.2128,-0.057876,5.2566,1,0
-4.0494,-4.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
8.9506,0.80151,-10.447,-4.1572,-0.19819,5.2128,-0.057876,5.2566,1,0
1.9506,-1.1985,-0.44735,7.8428,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,-3.1985,-6.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,-3.1985,-6.4474,0.84284,-0.19819,1.2128,-0.057876,1.2566,1,0
2.9506,-3.1985,-1.4474,0.84284,-1.1982,1.2128,-0.057876,1.2566,1,0
-5.0494,6.8015,7.5526,-9.1572,0.80181,0.21281,-0.057876,0.25659,1,0
-5.0494,0.80151,-0.44735,-3.1572,-0.19819,5.2128,-0.057876,5.2566,1,0
2.9506,-2.1985,-8.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
6.9506,0.80151,-9.4474,-3.1572,-0.19819,5.2128,-0.057876,5.2566,1,0
-5.0494,0.80151,7.5526,-3.1572,-0.19819,5.2128,-0.057876,5.2566,1,1
4.9506,-5.1985,-2.4474,-0.15716,3.8018,0.21281,-0.057876,0.25659,1,0
-5.0494,3.8015,7.5526,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
-5.0494,-5.1985,7.5526,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
2.9506,-4.1985,-0.44735,-1.1572,-0.19819,-0.78719,-0.057876,0.25659,1,0
-4.0494,-6.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-2.0494,-6.1985,-3.4474,-0.15716,-3.1982,0.21281,-0.057876,0.25659,1,1
-2.0494,-2.1985,-3.4474,6.8428,0.80181,0.21281,-0.057876,0.25659,1,1
2.9506,-3.1985,-5.4474,-2.1572,-0.19819,2.2128,-0.057876,0.25659,1,0
0.95058,-3.1985,0.55265,-0.15716,1.8018,0.21281,-0.057876,0.25659,1,1
-2.0494,1.8015,2.5526,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,-7.1985,-5.4474,-0.15716,2.8018,0.21281,-3.0579,0.25659,1,0
0.95058,-3.1985,-0.44735,3.8428,-0.19819,0.21281,-0.057876,0.25659,1,1
