MFonMB,Subj,Choice
2.3649,18,1
4.3649,18,1
2.3649,18,1
3.3649,18,0
5.3649,18,1
-2.6351,18,1
0.36485,18,0
4.3649,19,0
3.3649,19,1
-2.6351,19,1
-0.63515,19,1
1.3649,19,1
-3.6351,19,1
3.3649,19,0
-2.6351,19,1
-2.6351,19,0
-0.63515,19,0
-4.6351,19,1
-1.6351,19,1
-3.6351,19,1
-2.6351,20,0
0.36485,20,0
-2.6351,20,1
1.3649,20,0
3.3649,20,1
5.3649,20,1
3.3649,20,0
4.3649,20,1
4.3649,20,1
1.3649,20,1
3.3649,20,0
2.3649,20,0
-4.6351,20,1
2.3649,21,1
-1.6351,21,1
-3.6351,21,1
3.3649,21,1
-3.6351,21,1
0.36485,21,1
-4.6351,21,1
5.3649,21,1
-1.6351,21,1
0.36485,21,1
2.3649,21,0
2.3649,21,0
4.3649,21,0
3.3649,22,1
5.3649,22,0
0.36485,22,1
-1.6351,22,1
-3.6351,22,0
-4.6351,22,1
-0.63515,22,0
4.3649,22,1
-1.6351,22,1
2.3649,22,0
-1.6351,22,0
-2.6351,22,0
-3.6351,22,0
0.36485,23,1
-0.63515,23,0
-2.6351,23,1
-1.6351,23,0
-1.6351,23,0
-4.6351,23,0
-0.63515,23,0
2.3649,23,1
1.3649,23,1
-0.63515,23,1
2.3649,23,1
3.3649,23,1
3.3649,23,0
-2.6351,24,1
-0.63515,24,0
-1.6351,24,1
-0.63515,24,0
1.3649,24,1
-2.6351,24,0
-2.6351,24,0
0.36485,24,0
2.3649,24,1
4.3649,24,1
1.3649,24,1
1.3649,24,0
2.3649,24,1
1.3649,25,0
-2.6351,25,0
-3.6351,25,1
1.3649,25,0
-4.6351,25,0
-1.6351,25,1
0.36485,25,1
-4.6351,25,1
0.36485,25,1
-1.6351,25,0
2.3649,25,0
3.3649,25,0
3.3649,25,1
-2.6351,26,1
3.3649,26,1
0.36485,26,0
-3.6351,26,1
2.3649,26,0
0.36485,26,1
-3.6351,26,1
1.3649,26,1
-4.6351,26,0
-1.6351,26,1
0.36485,26,1
4.3649,26,1
-2.6351,26,0
1.3649,27,1
-3.6351,27,1
4.3649,27,1
2.3649,27,1
4.3649,27,0
-2.6351,27,0
-0.63515,27,0
0.36485,27,1
-3.6351,27,0
2.3649,27,1
-3.6351,27,1
-2.6351,27,1
5.3649,27,1
1.3649,27,1
2.3649,28,0
-3.6351,28,1
-1.6351,28,0
-3.6351,28,1
-1.6351,28,1
3.3649,28,1
-2.6351,28,1
0.36485,28,1
-3.6351,28,1
-1.6351,28,1
-0.63515,28,1
3.3649,28,1
-3.6351,28,1
-2.6351,29,1
-0.63515,29,1
-3.6351,29,1
5.3649,29,0
0.36485,29,0
-0.63515,29,0
-4.6351,29,0
-0.63515,29,1
0.36485,29,1
-2.6351,29,1
-2.6351,29,1
-1.6351,29,1
-0.63515,29,0
-1.6351,29,1
-2.6351,30,1
0.36485,30,0
-3.6351,30,0
-3.6351,30,0
1.3649,30,1
-1.6351,30,0
3.3649,30,0
-2.6351,30,0
0.36485,30,0
