"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test4_dg_v15","2015-06-12","21:03:06","dayan_v2","1","1","9","1","1","0","0","1742","524","0","1","0","83817"
"test4_dg_v15","2015-06-12","21:03:10","dayan_v2","1","0","15","0","0","0","0","1478","486","0","2","0","83818"
"test4_dg_v15","2015-06-12","21:03:13","dayan_v2","1","0","15","0","0","0","0","1098","461","0","3","0","83819"
"test4_dg_v15","2015-06-12","21:03:17","dayan_v2","1","0","1","0","0","0","0","1236","469","0","4","0","83820"
"test4_dg_v15","2015-06-12","21:03:21","dayan_v2","1","0","12","0","0","0","0","2634","589","0","5","0","83821"
"test4_dg_v15","2015-06-12","21:04:21","dayan_v2","1","1","7","1","1","2","0","37662","1157","0","6","0","83822"
"test4_dg_v15","2015-06-12","21:04:24","dayan_v2","1","0","12","-1","-1","2","0","874","693","0","7","0","83823"
"test4_dg_v15","2015-06-12","21:04:27","dayan_v2","1","0","15","0","0","1","0","1042","652","0","8","0","83824"
"test4_dg_v15","2015-06-12","21:04:31","dayan_v2","1","0","1","1","1","2","0","1633","525","0","9","0","83825"
"test4_dg_v15","2015-06-12","21:04:34","dayan_v2","1","0","15","0","0","0","0","1227","357","0","10","0","83826"
"test4_dg_v15","2015-06-12","21:04:38","dayan_v2","1","0","12","0","0","1","2","1519","676","0","11","0","83827"
"test4_dg_v15","2015-06-12","21:04:42","dayan_v2","1","0","7","1","1","2","3","1887","878","0","12","0","83828"
"test4_dg_v15","2015-06-12","21:04:45","dayan_v2","1","0","12","0","0","1","2","2160","469","0","13","0","83829"
"test4_dg_v15","2015-06-12","21:04:47","dayan_v2","1","0","12","0","0","1","0","888","487","0","14","0","83830"
"test4_dg_v15","2015-06-12","21:04:50","dayan_v2","1","0","7","-1","-1","1","0","2176","501","0","15","0","83831"
"test4_dg_v15","2015-06-12","21:04:54","dayan_v2","1","0","14","0","0","1","-2","1777","565","38","16","1","83832"
"test4_dg_v15","2015-06-12","21:04:57","dayan_v2","1","0","9","0","0","1","2","1503","493","40","17","0","83833"
"test4_dg_v15","2015-06-12","21:05:00","dayan_v2","1","0","10","0","0","1","2","1880","453","42","18","0","83834"
"test4_dg_v15","2015-06-12","21:05:04","dayan_v2","1","0","15","0","0","1","2","1392","413","44","19","0","83835"
"test4_dg_v15","2015-06-12","21:05:08","dayan_v2","1","0","12","0","0","1","1","2849","510","45","20","0","83836"
"test4_dg_v15","2015-06-12","21:05:11","dayan_v2","1","0","2","1","1","1","1","1943","893","46","21","1","83837"
"test4_dg_v15","2015-06-12","21:05:13","dayan_v2","1","0","13","0","0","1","3","1286","637","49","22","1","83838"
