MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
0.98106,-4.2415,1.7638,3.749,-3.0488,0.95781,-3.9724,0.99297,2,0
-2.0189,0.75847,-2.2362,0.749,-2.0488,0.95781,-1.9724,0.99297,2,0
1.9811,-4.2415,-2.2362,3.749,-0.048794,0.95781,0.027555,0.99297,2,0
-2.0189,3.7585,2.7638,3.749,-2.0488,3.9578,-1.9724,3.993,2,1
0.98106,2.7585,-4.2362,2.749,-4.0488,2.9578,2.0276,2.993,2,1
0.98106,-4.2415,1.7638,1.749,1.9512,0.95781,2.0276,0.99297,2,1
0.98106,1.7585,0.76378,-3.251,0.95121,1.9578,1.0276,1.993,2,1
2.9811,2.7585,2.7638,0.749,2.9512,1.9578,3.0276,2.993,2,0
-2.0189,0.75847,-4.2362,0.749,-1.0488,0.95781,-1.9724,0.99297,2,0
0.98106,1.7585,2.7638,0.749,-4.0488,1.9578,2.0276,1.993,2,0
2.9811,0.75847,0.76378,0.749,0.95121,0.95781,1.0276,0.99297,2,0
-2.0189,0.75847,-1.2362,0.749,2.9512,0.95781,3.0276,0.99297,2,1
-1.0189,-3.2415,-1.2362,-1.251,-1.0488,-3.0422,-0.97245,-3.007,2,1
-1.0189,-1.2415,-1.2362,1.749,-1.0488,1.9578,-0.97245,-1.007,2,1
-1.0189,2.7585,-1.2362,2.749,2.9512,2.9578,3.0276,2.993,2,1
-0.018944,-3.2415,-0.23622,-1.251,-0.048794,-1.0422,0.027555,-1.007,2,1
1.9811,-3.2415,1.7638,-3.251,1.9512,-3.0422,2.0276,-3.007,2,0
-0.018944,1.7585,-0.23622,-0.251,-0.048794,-0.042193,0.027555,-0.0070321,2,0
-1.0189,2.7585,-0.23622,-0.251,-2.0488,-0.042193,3.0276,-0.0070321,2,1
-2.0189,2.7585,-1.2362,0.749,2.9512,1.9578,3.0276,-2.007,2,0
-0.018944,-0.24153,-2.2362,0.749,-1.0488,0.95781,1.0276,0.99297,2,1
0.98106,0.75847,-2.2362,-0.251,-1.0488,-0.042193,1.0276,-0.0070321,2,0
-2.0189,2.7585,-0.23622,-2.251,-2.0488,-2.0422,-1.9724,-2.007,2,0
0.98106,-3.2415,-2.2362,-3.251,1.9512,-3.0422,0.027555,-3.007,2,1
0.98106,-1.2415,-3.2362,-1.251,-0.048794,-1.0422,0.027555,-1.007,2,0
-3.0189,2.7585,1.7638,0.749,-2.0488,1.9578,-2.9724,-2.007,2,0
3.9811,-1.2415,-2.2362,-1.251,1.9512,-1.0422,4.0276,-1.007,2,0
2.9811,-1.2415,3.7638,-1.251,3.9512,-1.0422,3.0276,-1.007,2,0
2.9811,-4.2415,0.76378,2.749,1.9512,-3.0422,-1.9724,-4.007,2,0
-4.0189,5.7585,-4.2362,2.749,-4.0488,-2.0422,-3.9724,5.993,2,1
-4.0189,6.7585,-4.2362,6.749,-4.0488,6.9578,-3.9724,6.993,2,1
-4.0189,-0.24153,2.7638,-1.251,-3.0488,-1.0422,-3.9724,-1.007,2,0
1.9811,2.7585,5.7638,-4.251,0.95121,2.9578,2.0276,2.993,2,0
-4.0189,6.7585,-4.2362,2.749,-4.0488,5.9578,-3.9724,-4.007,2,1
2.9811,-1.2415,-4.2362,-1.251,2.9512,-1.0422,3.0276,-1.007,2,0
1.9811,-1.2415,6.7638,-1.251,2.9512,-1.0422,3.0276,-1.007,2,0
1.9811,0.75847,-4.2362,1.749,1.9512,1.9578,1.0276,1.993,2,0
