MFonMB_X,Subj,Choice
5.4295,1,0
-2.3148,1,0
-4.4508,1,0
3.4976,1,0
-1.1896,1,0
-5.509,1,0
2.8892,1,1
-13.48,1,0
-8.7853,1,1
7.3573,1,1
1.8026,1,1
-2.9891,1,1
1.5014,1,1
2.3042,1,1
1.6129,1,1
-1.1092,1,1
1.6129,1,1
-0.52351,2,0
6.8502,2,1
4.2432,2,0
1.7644,2,0
1.204,2,0
4.1281,2,1
8.1738,2,0
1.6129,2,1
1.6129,2,1
7.6848,2,0
6.6533,2,1
10.279,2,1
7.0704,2,0
6.2335,2,1
12.081,2,0
-0.078174,2,1
-0.28569,2,0
-3.1376,2,1
-10.51,3,0
15.597,3,0
2.2847,3,0
3.0268,3,0
7.2429,3,1
7.2499,3,1
-0.36414,3,1
1.6129,3,1
9.5133,3,0
11.158,3,1
15.647,3,0
7.8325,3,1
2.714,3,1
10.813,3,1
13.222,3,1
2.3554,3,0
-1.5639,3,1
-3.8867,3,1
-0.69327,4,0
7.0356,4,1
1.0618,4,1
5.6163,4,0
7.6362,4,0
6.412,4,0
-4.0027,4,0
-2.6459,4,1
7.0734,4,0
-11.425,4,1
-1.6315,4,0
0.089721,4,1
5.5846,4,0
8.0291,4,0
1.6129,4,0
14.003,4,0
1.6129,5,0
-4.9242,5,0
-5.3851,5,1
-0.70772,5,1
1.6129,5,1
0.15236,5,1
-3.938,5,1
-3.6828,5,1
6.9955,5,0
-0.39392,5,0
0.70606,5,0
2.2233,5,0
0.26272,5,0
-2.2804,5,0
-7.2392,5,0
1.6129,5,0
1.6129,5,0
-2.7091,5,0
-5.4071,5,0
-4.2041,5,0
2.538,6,1
-9.4305,6,1
-9.5116,6,1
-4.5865,6,1
-7.7215,6,1
2.3553,6,1
-2.643,6,0
0.20397,6,1
3.0403,6,1
5.48,6,0
2.6522,6,1
-6.9264,6,0
-4.787,6,0
4.9759,6,0
3.8201,6,0
-0.046912,6,0
6.878,7,0
2.1885,7,0
2.6814,7,0
1.9737,7,0
2.1486,7,0
0.38675,7,0
5.9931,7,0
1.6129,7,1
5.1551,7,0
5.4591,7,0
3.1383,7,0
8.17,7,0
8.9733,7,0
4.6901,7,0
-2.1228,7,0
1.6129,7,0
2.1941,7,0
5.0792,7,0
1.6129,8,1
-6.0103,8,0
-4.5486,8,1
-3.837,8,1
-2.1412,8,0
2.726,8,0
1.345,8,0
0.91306,8,1
-3.6129,8,0
-0.48118,8,1
0.28413,8,1
-4.1776,8,1
3.339,8,0
1.6129,8,0
-11.689,8,0
1.6129,8,1
1.6129,8,0
-18.445,8,0
-17.167,8,0
-5.8086,9,1
