MB,MF,MFonMB,Crits,Choice,Subj
0.77188,-4.9517,4.2679,1,1,9
-4.2281,3.0483,-4.7321,0,0,9
-6.2281,0.048341,-3.7321,1,0,9
3.7719,4.0483,3.2679,1,1,9
4.7719,6.0483,-4.7321,1,1,9
-2.2281,-0.95166,-4.7321,0,1,11
2.7719,2.0483,4.2679,1,1,11
-1.2281,6.0483,4.2679,0,0,11
4.7719,5.0483,-2.7321,0,1,11
0.77188,0.048341,4.2679,0,0,11
-2.2281,-2.9517,-3.7321,1,0,11
-7.2281,1.0483,-2.7321,1,0,11
5.7719,-3.9517,4.2679,1,1,11
1.7719,0.048341,3.2679,0,1,11
-5.2281,-5.9517,0.26793,1,0,11
2.7719,3.0483,2.2679,1,0,11
-6.2281,0.048341,3.2679,0,1,11
-1.2281,1.0483,4.2679,1,0,11
-8.2281,2.0483,4.2679,1,1,11
1.7719,4.0483,2.2679,0,0,11
-4.2281,5.0483,3.2679,1,1,11
-6.2281,-2.9517,-4.7321,1,0,11
-3.2281,-2.9517,4.2679,0,1,11
-2.2281,8.0483,2.2679,1,1,11
1.7719,1.0483,-4.7321,1,0,11
1.7719,1.0483,3.2679,1,1,11
-4.2281,-5.9517,-3.7321,0,0,11
-5.2281,-1.9517,-3.7321,1,0,11
-3.2281,0.048341,4.2679,0,0,13
1.7719,2.0483,4.2679,1,1,13
-5.2281,-0.95166,-2.7321,0,0,13
0.77188,3.0483,-4.7321,1,1,13
-4.2281,1.0483,-3.7321,1,1,13
2.7719,2.0483,-4.7321,1,1,13
-2.2281,3.0483,-4.7321,1,1,13
-3.2281,4.0483,3.2679,0,0,13
2.7719,-0.95166,2.2679,0,1,13
-0.22812,-4.9517,4.2679,1,1,13
3.7719,-3.9517,-2.7321,1,1,13
1.7719,2.0483,4.2679,0,1,13
2.7719,1.0483,-4.7321,0,1,13
-0.22812,0.048341,-4.7321,1,1,13
-0.22812,5.0483,-4.7321,1,1,13
0.77188,1.0483,2.2679,1,0,13
-0.22812,-5.9517,3.2679,1,1,13
-4.2281,-0.95166,2.2679,0,0,13
-0.22812,0.048341,-4.7321,1,1,13
1.7719,5.0483,-2.7321,1,1,13
-5.2281,-1.9517,3.2679,1,1,14
-7.2281,2.0483,-2.7321,0,0,14
-2.2281,0.048341,4.2679,1,1,14
3.7719,5.0483,2.2679,1,1,14
-2.2281,-6.9517,-3.7321,1,1,14
1.7719,2.0483,4.2679,1,1,14
-5.2281,-3.9517,0.26793,0,0,14
-1.2281,-0.95166,3.2679,1,1,14
2.7719,-1.9517,-3.7321,1,1,14
-2.2281,1.0483,-3.7321,0,1,14
-4.2281,-0.95166,2.2679,0,0,14
0.77188,-3.9517,4.2679,1,1,14
-4.2281,0.048341,-1.7321,1,1,14
2.7719,1.0483,2.2679,1,1,14
-2.2281,-3.9517,4.2679,0,0,14
3.7719,-0.95166,4.2679,1,1,14
-2.2281,4.0483,4.2679,0,0,14
1.7719,-3.9517,4.2679,1,1,14
2.7719,6.0483,3.2679,1,1,14
3.7719,4.0483,-4.7321,1,1,14
7.7719,6.0483,-2.7321,1,1,15
0.77188,1.0483,-4.7321,0,0,15
-0.22812,7.0483,2.2679,1,1,15
2.7719,-1.9517,-0.73207,1,1,15
0.77188,2.0483,-4.7321,1,0,15
-0.22812,0.048341,2.2679,1,1,15
-3.2281,-1.9517,3.2679,0,0,15
-5.2281,6.0483,4.2679,1,1,15
-5.2281,0.048341,4.2679,0,1,15
-1.2281,-3.9517,4.2679,1,1,15
-0.22812,0.048341,4.2679,1,1,15
-5.2281,5.0483,3.2679,0,0,15
6.7719,5.0483,3.2679,0,0,15
-3.2281,2.0483,-2.7321,1,1,15
2.7719,2.0483,2.2679,1,0,15
-1.2281,-1.9517,-3.7321,0,1,15
0.77188,-3.9517,4.2679,1,1,15
-6.2281,-2.9517,-3.7321,1,1,15
0.77188,-3.9517,3.2679,0,0,15
-1.2281,-0.95166,2.2679,1,1,15
-4.2281,-3.9517,2.2679,1,1,15
-1.2281,-5.9517,4.2679,1,0,16
4.7719,0.048341,2.2679,0,1,16
-8.2281,-7.9517,2.2679,1,1,16
3.7719,5.0483,4.2679,1,1,16
-1.2281,2.0483,-4.7321,1,0,16
1.7719,1.0483,3.2679,1,1,16
3.7719,4.0483,3.2679,0,1,16
-1.2281,1.0483,2.2679,1,0,16
2.7719,1.0483,4.2679,1,0,16
-4.2281,-1.9517,4.2679,0,1,16
-1.2281,-1.9517,3.2679,1,1,16
-2.2281,5.0483,3.2679,1,0,16
-1.2281,-4.9517,4.2679,0,0,16
-6.2281,-5.9517,3.2679,1,0,16
-2.2281,0.048341,4.2679,1,0,16
0.77188,4.0483,-4.7321,1,0,16
-4.2281,0.048341,4.2679,1,0,16
-3.2281,-4.9517,-4.7321,1,0,17
-5.2281,0.048341,-2.7321,0,1,17
-5.2281,2.0483,-4.7321,0,1,17
-1.2281,-1.9517,-3.7321,1,1,17
-6.2281,-3.9517,4.2679,1,1,17
6.7719,-0.95166,4.2679,1,1,17
4.7719,0.048341,4.2679,1,1,17
3.7719,3.0483,-3.7321,1,1,17
-3.2281,-2.9517,3.2679,1,0,17
2.7719,2.0483,2.2679,1,1,17
-1.2281,-6.9517,4.2679,1,0,17
1.7719,0.048341,-4.7321,1,1,17
-0.22812,-3.9517,-2.7321,0,0,17
1.7719,1.0483,-2.7321,1,1,17
1.7719,-1.9517,3.2679,0,1,17
-1.2281,-0.95166,3.2679,1,1,17
-0.22812,-2.9517,3.2679,1,1,17
3.7719,3.0483,4.2679,1,1,19
3.7719,4.0483,1.2679,1,0,19
0.77188,-1.9517,2.2679,0,1,19
2.7719,-0.95166,-3.7321,1,0,19
-5.2281,-2.9517,0.26793,1,0,19
4.7719,6.0483,-3.7321,1,0,19
1.7719,-4.9517,-4.7321,1,1,19
4.7719,6.0483,-3.7321,0,0,19
-2.2281,-3.9517,-3.7321,1,0,19
-4.2281,2.0483,-2.7321,0,1,19
1.7719,2.0483,-4.7321,0,1,19
-6.2281,4.0483,-2.7321,0,0,19
6.7719,-3.9517,-4.7321,1,0,19
-6.2281,-5.9517,-4.7321,0,0,19
-3.2281,1.0483,-3.7321,1,1,19
1.7719,-0.95166,-4.7321,0,0,19
-2.2281,1.0483,2.2679,0,1,19
-3.2281,1.0483,-3.7321,1,0,19
-2.2281,-2.9517,2.2679,1,1,19
1.7719,1.0483,2.2679,1,0,19
-5.2281,-5.9517,1.2679,1,1,19
-4.2281,-6.9517,4.2679,1,1,19
0.77188,7.0483,4.2679,1,0,19
3.7719,4.0483,4.2679,1,1,19
-1.2281,3.0483,-4.7321,1,0,19
2.7719,-3.9517,-3.7321,1,1,20
5.7719,5.0483,0.26793,1,0,20
-7.2281,-6.9517,4.2679,0,1,20
-7.2281,-6.9517,4.2679,1,0,20
3.7719,-1.9517,-4.7321,1,0,20
-5.2281,2.0483,-4.7321,1,1,20
-4.2281,-2.9517,-2.7321,1,0,20
2.7719,2.0483,-3.7321,0,1,20
1.7719,1.0483,-4.7321,1,1,20
-6.2281,6.0483,-2.7321,0,1,20
-4.2281,-3.9517,-3.7321,1,0,20
-3.2281,2.0483,4.2679,1,1,20
-7.2281,-0.95166,-4.7321,1,1,20
-2.2281,-2.9517,4.2679,1,0,20
-0.22812,2.0483,4.2679,0,0,20
2.7719,0.048341,4.2679,1,0,20
-1.2281,3.0483,-2.7321,0,1,20
-3.2281,2.0483,4.2679,1,0,20
-4.2281,5.0483,4.2679,0,1,20
-1.2281,-3.9517,-4.7321,1,0,20
1.7719,2.0483,4.2679,1,1,20
-3.2281,-2.9517,3.2679,0,0,21
-2.2281,6.0483,-4.7321,1,1,21
4.7719,-0.95166,3.2679,1,1,21
0.77188,2.0483,4.2679,1,1,21
-1.2281,-4.9517,-2.7321,1,1,21
1.7719,2.0483,2.2679,1,0,21
-0.22812,-2.9517,3.2679,0,0,21
-3.2281,3.0483,4.2679,0,1,21
2.7719,2.0483,4.2679,1,1,21
3.7719,4.0483,3.2679,1,1,21
-1.2281,-1.9517,4.2679,1,1,21
-1.2281,-3.9517,4.2679,1,1,21
1.7719,-0.95166,-4.7321,1,0,21
-1.2281,-2.9517,4.2679,1,1,21
-2.2281,-0.95166,4.2679,0,1,21
-2.2281,-1.9517,-4.7321,1,0,21
1.7719,8.0483,-4.7321,1,1,21
