MB_X,MB_Y,Subj,Choice
3.9967,0.11553,1,0
-0.0033364,-3.8845,1,0
-5.0033,-2.8845,1,0
3.9967,-4.8845,1,0
1.9967,-1.8845,1,0
-5.0033,-2.8845,1,0
-1.0033,-3.8845,1,1
-4.0033,-3.8845,1,1
1.9967,5.1155,1,1
-1.0033,-2.8845,1,0
-4.0033,2.1155,1,1
-4.0033,-2.8845,1,0
-3.0033,-2.8845,1,1
-2.0033,4.1155,1,0
4.9967,-4.8845,1,1
4.9967,-2.8845,1,1
4.9967,0.11553,1,1
-4.0033,0.11553,1,0
4.9967,-0.88447,1,0
0.99666,-3.8845,1,1
-5.0033,-0.88447,1,0
0.99666,-0.88447,1,0
-1.0033,-4.8845,1,1
-0.0033364,1.1155,1,0
0.99666,0.11553,1,0
-2.0033,-0.88447,1,0
0.99666,-0.88447,1,1
-0.0033364,3.1155,1,0
0.99666,0.11553,1,1
0.99666,3.1155,1,1
0.99666,-2.8845,1,1
-2.0033,1.1155,1,0
4.9967,4.1155,1,1
0.99666,-3.8845,1,1
0.99666,-3.8845,1,1
0.99666,0.11553,1,1
0.99666,0.11553,1,1
4.9967,0.11553,1,1
2.9967,0.11553,1,1
2.9967,4.1155,1,1
0.99666,3.1155,1,1
2.9967,0.11553,1,1
-0.0033364,4.1155,1,1
-1.0033,4.1155,1,1
-0.0033364,0.11553,1,1
0.99666,-0.88447,1,1
-0.0033364,5.1155,1,1
2.9967,3.1155,1,1
0.99666,4.1155,1,1
0.99666,2.1155,1,1
2.9967,2.1155,1,1
2.9967,0.11553,1,1
0.99666,-2.8845,1,1
0.99666,4.1155,1,1
2.9967,-1.8845,1,1
0.99666,4.1155,1,1
2.9967,-0.88447,1,1
-3.0033,4.1155,1,1
0.99666,-2.8845,1,0
2.9967,4.1155,1,1
2.9967,-0.88447,1,1
0.99666,3.1155,1,1
-1.0033,1.1155,1,1
-1.0033,-1.8845,1,0
2.9967,3.1155,1,1
-0.0033364,3.1155,1,0
0.99666,2.1155,1,0
1.9967,2.1155,1,0
0.99666,2.1155,1,1
1.9967,0.11553,1,1
1.9967,3.1155,1,1
1.9967,2.1155,1,1
1.9967,5.1155,1,1
1.9967,4.1155,1,1
4.9967,2.1155,1,0
4.9967,4.1155,1,1
1.9967,1.1155,1,0
2.9967,5.1155,1,1
-1.0033,-1.8845,1,1
-1.0033,3.1155,1,0
2.9967,-4.8845,1,1
0.99666,5.1155,1,1
4.9967,1.1155,1,0
-3.0033,3.1155,1,1
0.99666,-4.8845,1,1
2.9967,3.1155,1,0
-3.0033,-3.8845,1,0
-3.0033,1.1155,1,1
-0.0033364,-3.8845,1,1
2.9967,3.1155,1,0
4.9967,1.1155,1,0
-3.0033,0.11553,1,0
-4.0033,-1.8845,1,1
2.9967,1.1155,1,0
-4.0033,-3.8845,1,0
4.9967,2.1155,1,0
-2.0033,-3.8845,1,1
4.9967,5.1155,1,1
-0.0033364,-2.8845,1,0
-2.0033,-3.8845,1,1
-2.0033,-2.8845,1,1
-2.0033,0.11553,1,1
3.9967,1.1155,1,1
-2.0033,-4.8845,1,1
-2.0033,-2.8845,1,0
4.9967,4.1155,1,0
-0.0033364,3.1155,1,1
-2.0033,-0.88447,1,1
-2.0033,3.1155,1,1
-2.0033,-2.8845,1,1
-2.0033,-2.8845,1,0
0.99666,4.1155,1,1
2.9967,-0.88447,1,1
2.9967,-2.8845,1,1
0.99666,3.1155,1,1
3.9967,3.1155,1,0
2.9967,3.1155,1,0
2.9967,4.1155,1,0
2.9967,2.1155,1,1
2.9967,-3.8845,1,1
-0.0033364,3.1155,1,1
1.9967,3.1155,1,1
-2.0033,0.11553,1,1
0.99666,-1.8845,1,1
-0.0033364,4.1155,1,1
0.99666,4.1155,1,0
-0.0033364,3.1155,1,1
3.9967,-3.8845,1,1
3.9967,1.1155,1,0
-0.0033364,0.11553,1,0
3.9967,4.1155,1,1
-2.0033,1.1155,1,0
3.9967,4.1155,1,0
-2.0033,1.1155,1,0
3.9967,1.1155,1,1
3.9967,-0.88447,1,0
-4.0033,-1.8845,1,1
3.9967,-3.8845,1,0
-5.0033,-1.8845,1,0
2.9967,-0.88447,1,1
2.9967,-3.8845,1,1
2.9967,3.1155,1,1
-0.0033364,-1.8845,1,1
-0.0033364,-0.88447,1,0
-3.0033,0.11553,1,0
2.9967,2.1155,1,0
3.9967,-2.8845,1,0
3.9967,2.1155,1,1
-0.0033364,-4.8845,1,0
2.9967,-2.8845,1,1
-0.0033364,-4.8845,1,0
-5.0033,0.11553,1,1
-2.0033,-4.8845,1,0
-0.0033364,1.1155,1,0
3.9967,3.1155,1,1
3.9967,-2.8845,1,1
2.9967,1.1155,1,1
2.9967,-4.8845,1,1
1.9967,4.1155,1,1
3.9967,-4.8845,1,0
2.9967,2.1155,1,0
-3.0033,-4.8845,1,0
-5.0033,-0.88447,2,1
