"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test2_dg_v15","2015-10-12","22:26:06","dayanSto_fmri_v1","1","0","21","1","1","0","0","21033","871","0","2","0","158906"
"test2_dg_v15","2015-10-12","22:26:10","dayanSto_fmri_v1","0","1","1","0","0","0","0","1258","871","0","3","0","158907"
"test2_dg_v15","2015-10-12","22:26:31","dayanSto_fmri_v1","1","0","21","1","1","0","0","18015","503","0","4","0","158908"
"test_dg_v15","2015-10-12","22:26:57","dayanSto_fmri_v1","0","1","6","1","1","0","0","1043","574","0","1","0","158909"
"test_dg_v15","2015-10-12","22:27:02","dayanSto_fmri_v1","1","0","19","1","1","0","0","2112","830","0","2","0","158910"
"test_dg_v15","2015-10-12","22:27:05","dayanSto_fmri_v1","0","0","14","0","0","0","0","1263","631","0","3","0","158911"
"test_dg_v15","2015-10-12","22:27:09","dayanSto_fmri_v1","1","0","1","0","0","0","0","1138","1127","0","4","0","158912"
"test_dg_v15","2015-10-12","22:27:13","dayanSto_fmri_v1","0","0","10","0","0","0","0","1298","471","0","5","0","158913"
"test_dg_v15","2015-10-12","22:27:22","dayanSto_fmri_v1","1","1","19","1","2","1","-3","944","551","0","6","0","158914"
"test_dg_v15","2015-10-12","22:27:28","dayanSto_fmri_v1","0","0","9","1","1","1","0","1253","599","0","7","0","158915"
"test_dg_v15","2015-10-12","22:27:31","dayanSto_fmri_v1","1","2","13","-1","-1","-1","0","870","599","0","8","0","158916"
"test_dg_v15","2015-10-12","22:27:34","dayanSto_fmri_v1","0","1","6","1","2","1","-3","1089","575","0","9","0","158917"
"test_dg_v15","2015-10-12","22:27:38","dayanSto_fmri_v1","1","2","11","1","1","1","0","748","615","0","10","0","158918"
"test_dg_v15","2015-10-12","22:27:45","dayanSto_fmri_v1","0","2","7","-1","-1","-1","0","1996","919","0","11","0","158919"
"test_dg_v15","2015-10-12","22:27:50","dayanSto_fmri_v1","1","2","11","1","2","1","-4","3358","511","0","12","0","158920"
"test_dg_v15","2015-10-12","22:27:52","dayanSto_fmri_v1","0","2","9","1","2","1","-3","762","494","0","13","0","158921"
"test_dg_v15","2015-10-12","22:27:55","dayanSto_fmri_v1","1","2","19","1","2","1","-3","689","583","0","14","0","158922"
"test_dg_v15","2015-10-12","22:27:58","dayanSto_fmri_v1","0","2","2","1","1","2","0","704","830","0","15","0","158923"
"test3_dg_v15","2015-10-12","22:30:40","dayanSto_fmri_v1","1","1","12","-1","-1","-1","0","1129","767","0","1","0","158924"
"test3_dg_v15","2015-10-12","22:30:43","dayanSto_fmri_v1","1","1","23","1","1","-1","0","891","687","0","2","0","158925"
