subject,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round,Crit,id
test_dg_v15,5/11/2015,17:10:42,numberSum_v1,1,1,10,1,1,0,904,414,0,5,0,60
test_dg_v15,5/11/2015,17:10:47,numberSum_v1,1,0,15,0,0,0,1909,939,0,6,0,61
test_dg_v15,5/11/2015,17:10:50,numberSum_v1,1,1,1,1,1,0,999,437,0,7,0,62
test_dg_v15,5/11/2015,17:10:54,numberSum_v1,1,1,15,1,1,0,2056,365,0,8,0,63
test_dg_v15,5/11/2015,17:10:59,numberSum_v1,1,1,9,-1,-1,0,1956,909,0,9,0,64
test_dg_v15,5/11/2015,17:11:02,numberSum_v1,1,0,10,0,0,0,1391,821,0,10,0,65
test_dg_v15,5/11/2015,17:11:12,numberSum_v1,1,0,15,0,0,0,1992,4598,0,11,0,66
test_dg_v15,5/11/2015,17:11:18,numberSum_v1,1,1,9,1,1,0,3330,396,0,12,0,67
test_dg_v15,5/11/2015,17:11:21,numberSum_v1,1,1,9,1,1,0,1353,326,0,13,0,68
test_dg_v15,5/11/2015,17:11:26,numberSum_v1,1,0,7,0,0,0,1835,1309,0,14,0,69
test_dg_v15,5/11/2015,17:11:31,numberSum_v1,1,1,6,1,2,0,1901,701,0,15,0,70
test_dg_v15,5/11/2015,17:11:34,numberSum_v1,1,1,9,1,1,0,1355,485,0,16,0,71
test_dg_v15,5/11/2015,17:11:38,numberSum_v1,1,0,6,0,0,0,767,686,0,17,0,72
test_dg_v15,5/11/2015,17:11:42,numberSum_v1,1,0,7,0,2,0,1769,694,0,18,0,73
test_dg_v15,5/11/2015,17:11:45,numberSum_v1,1,1,9,1,1,0,1104,325,0,19,0,74
test_dg_v15,5/11/2015,17:11:49,numberSum_v1,1,1,15,-1,-1,0,1884,668,0,20,0,75
test_dg_v15,5/11/2015,17:11:54,numberSum_v1,1,1,4,0,0,-3,1049,799,0,21,0,76
test_dg_v15,5/11/2015,17:11:58,numberSum_v1,1,1,12,0,0,-3,874,2708,0,22,0,77
