MFonMB_X,Subj,Choice
2.4081,51,1
-0.59192,51,1
1.4081,51,0
0.40808,51,1
-3.5919,51,0
-3.5919,51,0
-0.59192,51,1
-1.5919,51,1
-0.59192,51,0
2.4081,53,1
-2.5919,53,1
0.40808,53,1
2.4081,53,1
-0.59192,53,0
-1.5919,53,0
-4.5919,53,1
-1.5919,53,0
-3.5919,53,0
0.40808,53,0
-3.5919,53,0
-2.5919,53,0
-0.59192,53,1
-1.5919,54,0
-2.5919,54,1
-3.5919,54,1
-0.59192,54,1
3.4081,54,0
2.4081,54,0
0.40808,54,1
4.4081,54,0
-2.5919,54,1
0.40808,54,1
-3.5919,54,1
-1.5919,54,0
-3.5919,54,0
-4.5919,55,1
-4.5919,55,1
4.4081,55,1
3.4081,55,1
5.4081,55,1
0.40808,55,1
1.4081,55,1
-0.59192,55,1
-3.5919,55,1
-0.59192,55,0
-0.59192,55,1
-2.5919,55,1
-3.5919,55,1
5.4081,57,1
-2.5919,57,0
-3.5919,57,1
0.40808,57,1
2.4081,57,0
4.4081,57,0
5.4081,57,0
-2.5919,57,1
-4.5919,57,1
3.4081,57,1
-3.5919,57,1
0.40808,57,0
0.40808,57,0
4.4081,57,1
1.4081,58,1
2.4081,58,1
1.4081,58,0
0.40808,58,1
3.4081,58,1
3.4081,58,1
-2.5919,58,0
-3.5919,58,1
-0.59192,58,1
-4.5919,58,1
-0.59192,58,0
-2.5919,58,0
0.40808,58,0
-1.5919,60,1
-3.5919,60,1
1.4081,60,1
3.4081,60,1
4.4081,60,0
-0.59192,60,0
4.4081,60,1
-3.5919,60,0
0.40808,60,0
4.4081,60,0
-0.59192,60,1
-3.5919,60,0
-4.5919,60,0
2.4081,63,1
-4.5919,63,1
2.4081,63,1
-3.5919,63,0
3.4081,63,1
-4.5919,63,1
2.4081,63,1
-1.5919,63,0
5.4081,63,1
4.4081,63,0
5.4081,63,0
-2.5919,63,1
-3.5919,63,1
-4.5919,64,1
5.4081,64,1
3.4081,64,1
2.4081,64,1
-0.59192,64,1
2.4081,64,1
-4.5919,64,1
5.4081,64,0
-3.5919,64,1
-3.5919,64,1
-3.5919,64,1
-3.5919,64,0
5.4081,64,1
1.4081,65,0
-0.59192,65,1
-4.5919,65,1
0.40808,65,1
1.4081,65,1
-1.5919,65,0
2.4081,65,0
-1.5919,65,0
-1.5919,65,1
5.4081,65,0
1.4081,65,1
-2.5919,65,1
-1.5919,65,1
1.4081,75,1
3.4081,75,0
2.4081,75,1
5.4081,75,1
5.4081,75,1
-2.5919,75,0
-3.5919,75,1
3.4081,75,0
5.4081,75,1
-0.59192,75,0
-0.59192,75,0
-1.5919,75,1
-2.5919,75,1
-2.5919,77,0
5.4081,77,0
2.4081,77,0
2.4081,77,1
1.4081,77,0
-4.5919,77,0
3.4081,77,1
3.4081,77,0
-0.59192,77,0
-2.5919,77,1
-2.5919,77,1
2.4081,77,1
-0.59192,77,1
-3.5919,78,0
0.40808,78,1
2.4081,78,0
2.4081,78,1
2.4081,78,1
5.4081,78,1
0.40808,78,0
2.4081,78,0
1.4081,78,0
3.4081,78,0
3.4081,78,1
2.4081,78,0
-0.59192,78,1
-4.5919,79,0
0.40808,79,0
-0.59192,79,0
1.4081,79,1
5.4081,79,1
5.4081,79,1
5.4081,79,0
0.40808,79,0
-0.59192,79,1
-0.59192,79,1
0.40808,79,0
-3.5919,79,0
4.4081,79,0
-4.5919,81,0
-3.5919,81,0
-0.59192,81,0
0.40808,81,1
0.40808,81,1
1.4081,81,1
0.40808,81,0
-2.5919,81,0
5.4081,81,1
-1.5919,81,1
2.4081,81,1
-4.5919,81,1
3.4081,81,0
-3.5919,83,1
-3.5919,83,1
-0.59192,83,1
-3.5919,83,1
-3.5919,83,1
-4.5919,83,0
3.4081,83,0
-1.5919,83,0
0.40808,83,0
-1.5919,83,1
-4.5919,83,1
4.4081,83,0
4.4081,83,1
-3.5919,84,0
-3.5919,84,1
3.4081,84,0
-3.5919,84,1
-1.5919,84,1
-0.59192,84,1
1.4081,84,0
0.40808,84,1
5.4081,84,0
0.40808,84,0
-2.5919,84,0
3.4081,84,0
4.4081,84,0
-4.5919,85,1
-3.5919,85,1
-2.5919,85,1
-3.5919,85,1
-2.5919,85,1
3.4081,85,1
-4.5919,85,1
1.4081,85,1
-2.5919,85,0
2.4081,85,1
4.4081,85,1
0.40808,85,1
0.40808,85,1
-3.5919,86,0
-0.59192,86,0
-0.59192,86,1
4.4081,86,0
-3.5919,86,0
-1.5919,86,1
0.40808,86,1
0.40808,86,1
-2.5919,86,1
2.4081,86,0
-4.5919,86,1
2.4081,86,0
0.40808,86,0
0.40808,87,1
-2.5919,87,0
-3.5919,87,1
0.40808,87,0
3.4081,87,0
-3.5919,87,1
-3.5919,87,0
-0.59192,87,1
-1.5919,87,0
0.40808,87,1
2.4081,87,0
2.4081,87,0
4.4081,87,0
-1.5919,91,1
4.4081,91,0
-1.5919,91,0
-3.5919,91,1
-0.59192,91,0
-1.5919,91,1
3.4081,91,0
-0.59192,91,1
0.40808,91,0
3.4081,91,1
-1.5919,91,1
-3.5919,91,0
0.40808,91,1
-2.5919,92,1
2.4081,92,1
3.4081,92,0
-3.5919,92,1
-2.5919,92,1
3.4081,92,0
2.4081,92,0
-1.5919,92,0
-0.59192,92,0
-0.59192,92,1
4.4081,92,0
2.4081,92,0
3.4081,92,1
1.4081,93,0
0.40808,93,1
3.4081,93,1
5.4081,93,0
1.4081,93,0
4.4081,93,0
2.4081,93,0
5.4081,93,1
4.4081,93,1
1.4081,93,0
3.4081,93,1
-3.5919,93,0
4.4081,93,0
-0.59192,94,1
0.40808,94,1
4.4081,94,1
-3.5919,94,1
-1.5919,94,1
-2.5919,94,1
-1.5919,94,0
3.4081,94,0
2.4081,94,0
-1.5919,94,1
-2.5919,94,0
-2.5919,94,0
1.4081,94,0
0.40808,95,1
2.4081,95,0
-1.5919,95,0
-3.5919,95,0
2.4081,95,0
0.40808,95,0
-3.5919,95,0
-0.59192,95,0
0.40808,95,0
-0.59192,95,1
3.4081,95,1
-0.59192,95,0
-2.5919,95,0
-3.5919,96,1
2.4081,96,0
-3.5919,96,0
1.4081,96,1
1.4081,96,0
-4.5919,96,0
-3.5919,96,0
-2.5919,96,0
-1.5919,96,0
-0.59192,96,0
-0.59192,96,0
0.40808,96,0
-1.5919,96,1
-3.5919,96,0
-3.5919,97,1
-2.5919,97,0
-3.5919,97,0
-3.5919,97,0
5.4081,97,0
1.4081,97,0
0.40808,97,0
0.40808,97,0
-1.5919,97,0
1.4081,97,0
0.40808,97,0
-0.59192,97,0
-1.5919,97,1
4.4081,98,0
-3.5919,98,1
-2.5919,98,0
-3.5919,98,0
4.4081,98,1
-2.5919,98,1
0.40808,98,0
-2.5919,98,0
3.4081,98,1
-4.5919,98,1
-3.5919,98,0
-0.59192,98,0
-1.5919,98,1
3.4081,100,1
-0.59192,100,0
-0.59192,100,0
-0.59192,100,1
-3.5919,100,0
1.4081,100,1
-3.5919,100,0
4.4081,100,1
-3.5919,100,1
-3.5919,100,1
-3.5919,100,1
-3.5919,100,1
-3.5919,100,1
5.4081,101,0
2.4081,101,1
-0.59192,101,1
2.4081,101,0
2.4081,101,1
2.4081,101,0
-3.5919,101,1
2.4081,101,0
2.4081,101,0
0.40808,101,0
4.4081,101,1
0.40808,101,0
1.4081,101,1
-4.5919,106,1
2.4081,106,1
3.4081,106,0
2.4081,106,0
-1.5919,106,0
1.4081,106,1
3.4081,106,0
5.4081,106,1
1.4081,106,0
2.4081,106,1
-3.5919,106,1
-3.5919,106,1
0.40808,106,1
-3.5919,109,0
4.4081,109,0
-0.59192,109,1
-0.59192,109,0
4.4081,109,1
-2.5919,109,1
0.40808,109,1
0.40808,109,0
1.4081,109,0
-0.59192,109,1
2.4081,109,0
3.4081,109,1
-4.5919,109,1
-2.5919,122,0
4.4081,122,0
1.4081,122,0
-1.5919,122,1
5.4081,122,1
1.4081,122,0
2.4081,122,1
-0.59192,122,1
-1.5919,122,0
-2.5919,122,0
-3.5919,122,1
4.4081,122,0
-0.59192,122,0
-0.59192,126,0
-3.5919,126,0
4.4081,126,1
4.4081,126,1
-2.5919,126,1
-3.5919,126,1
-0.59192,126,1
2.4081,126,1
-0.59192,126,1
-3.5919,126,1
-1.5919,126,1
-2.5919,126,1
5.4081,126,1
-2.5919,129,1
-1.5919,129,0
1.4081,129,1
1.4081,129,0
3.4081,129,1
-4.5919,129,1
4.4081,129,0
1.4081,129,1
1.4081,129,0
0.40808,129,0
-1.5919,129,0
0.40808,129,1
0.40808,129,1
-3.5919,129,0
-3.5919,131,0
-0.59192,131,0
3.4081,131,0
5.4081,131,1
5.4081,131,1
-2.5919,131,1
5.4081,131,1
4.4081,131,1
3.4081,131,1
-0.59192,131,0
-0.59192,131,1
4.4081,131,1
5.4081,131,0
0.40808,132,0
1.4081,132,0
-4.5919,132,1
-2.5919,132,1
-0.59192,132,0
4.4081,132,1
1.4081,132,0
1.4081,132,0
-3.5919,132,0
-2.5919,132,0
-0.59192,132,1
2.4081,132,1
-1.5919,132,0
-2.5919,136,0
-3.5919,136,1
2.4081,136,1
3.4081,136,1
1.4081,136,0
0.40808,136,0
4.4081,136,1
-1.5919,136,1
-3.5919,136,1
-4.5919,136,0
0.40808,136,0
3.4081,136,1
-3.5919,136,0
1.4081,137,0
3.4081,137,0
0.40808,137,1
-1.5919,137,0
-0.59192,137,0
-2.5919,137,1
3.4081,137,1
-1.5919,137,0
-0.59192,137,1
4.4081,137,0
2.4081,137,0
1.4081,137,0
-0.59192,137,0
-0.59192,137,0
2.4081,139,1
3.4081,139,1
-1.5919,139,0
0.40808,139,1
-1.5919,139,1
-3.5919,139,1
2.4081,139,1
0.40808,139,0
-1.5919,139,0
-2.5919,139,1
3.4081,139,0
-1.5919,139,1
1.4081,139,1
-2.5919,145,1
-2.5919,145,1
2.4081,145,0
-2.5919,145,0
-0.59192,145,0
0.40808,145,0
-4.5919,145,1
-1.5919,145,1
2.4081,145,1
-0.59192,145,0
-0.59192,145,1
-2.5919,145,0
-3.5919,145,1
2.4081,146,0
-0.59192,146,0
-1.5919,146,0
3.4081,146,1
4.4081,146,1
0.40808,146,0
0.40808,146,1
-2.5919,146,0
-4.5919,146,0
-3.5919,146,0
4.4081,146,1
-2.5919,146,0
-3.5919,146,0
-4.5919,146,0
-3.5919,147,1
3.4081,147,1
0.40808,147,1
-4.5919,147,0
-3.5919,147,0
-0.59192,147,0
1.4081,147,0
-3.5919,147,1
-3.5919,147,0
0.40808,147,0
-2.5919,147,0
5.4081,147,0
4.4081,147,0
-4.5919,148,1
3.4081,148,1
-2.5919,148,0
-1.5919,148,1
-3.5919,148,0
-1.5919,148,1
-2.5919,148,0
0.40808,148,0
1.4081,148,1
2.4081,148,1
-2.5919,148,1
2.4081,148,1
-0.59192,148,1
3.4081,148,1
-2.5919,149,1
0.40808,149,1
-3.5919,149,1
1.4081,149,1
0.40808,149,1
0.40808,149,0
3.4081,149,0
2.4081,149,0
1.4081,149,0
-0.59192,149,0
-0.59192,149,1
-1.5919,149,1
4.4081,149,0
1.4081,163,0
3.4081,163,1
3.4081,163,1
0.40808,163,1
0.40808,163,1
0.40808,163,1
-3.5919,163,1
5.4081,163,1
3.4081,163,1
0.40808,163,1
-2.5919,163,1
0.40808,163,1
-4.5919,163,1
4.4081,163,1
4.4081,165,0
3.4081,165,1
3.4081,165,1
-2.5919,165,1
-3.5919,165,1
0.40808,165,1
2.4081,165,0
4.4081,165,1
3.4081,165,1
0.40808,165,1
1.4081,165,0
-1.5919,165,1
-3.5919,165,1
4.4081,167,1
-4.5919,167,1
0.40808,167,1
-3.5919,167,0
-3.5919,167,1
1.4081,167,1
-2.5919,167,1
-3.5919,167,0
-2.5919,167,0
-0.59192,167,1
0.40808,167,1
-3.5919,167,0
-2.5919,167,0
0.40808,168,0
2.4081,168,0
-3.5919,168,0
