id,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round
0000_dg_v15,3/15/14,10:12:15,dde_game_v15,2,2,7,2,2,0,3857,26678,20,1
0000_dg_v15,3/15/14,10:12:32,dde_game_v15,2,2,3,4,4,0,3413,1631,20,2
0000_dg_v15,3/15/14,10:12:42,dde_game_v15,2,1,8,3,3,0,1431,919,20,3
0000_dg_v15,3/15/14,10:12:50,dde_game_v15,2,3,9,5,5,0,1060,591,20,4
0000_dg_v15,3/15/14,10:12:58,dde_game_v15,2,1,4,1,1,0,1178,1415,20,5
0000_dg_v15,3/15/14,10:13:06,dde_game_v15,2,1,4,1,1,0,1162,703,20,6
0000_dg_v15,3/15/14,10:13:15,dde_game_v15,2,1,9,3,3,0,1748,599,20,7
0000_dg_v15,3/15/14,10:13:24,dde_game_v15,2,2,7,2,2,0,1545,623,20,8
0000_dg_v15,3/15/14,10:13:33,dde_game_v15,1,1,6,2,2,0,2524,751,20,9
0000_dg_v15,3/15/14,10:13:49,dde_game_v15,2,1,5,3,3,0,5113,783,20,10
0000_dg_v15,3/15/14,10:13:58,dde_game_v15,1,3,9,5,5,0,622,599,20,11
0000_dg_v15,3/15/14,10:14:05,dde_game_v15,2,3,7,5,5,0,767,711,20,12
0000_dg_v15,3/15/14,10:14:13,dde_game_v15,2,2,10,4,4,0,1455,638,20,13
0000_dg_v15,3/15/14,10:14:21,dde_game_v15,1,3,7,5,5,0,1342,775,20,14
0000_dg_v15,3/15/14,10:14:36,dde_game_v15,2,2,3,1,1,0,6356,1007,20,15
0000_dg_v15,3/15/14,10:15:32,dde_game_v15,1,3,7,5,5,0,820,615,20,17
0000_dg_v15,3/15/14,10:15:40,dde_game_v15,2,1,1,1,1,0,1954,639,20,18
0000_dg_v15,3/15/14,10:15:48,dde_game_v15,2,3,7,5,5,0,1039,742,20,19
0000_dg_v15,3/15/14,10:15:56,dde_game_v15,2,1,4,1,1,0,1337,583,20,20
0000_dg_v15,3/15/14,10:16:05,dde_game_v15,1,1,3,1,1,0,1886,727,20,21
0000_dg_v15,3/15/14,10:16:13,dde_game_v15,1,2,9,3,3,0,1657,606,20,22
0000_dg_v15,3/15/14,10:16:23,dde_game_v15,2,2,1,2,2,0,3093,623,20,23
0000_dg_v15,3/15/14,10:16:32,dde_game_v15,2,2,8,4,4,0,2321,671,20,24
0000_dg_v15,3/15/14,10:16:44,dde_game_v15,2,1,8,3,3,0,3705,1615,20,25
0000_dg_v15,3/15/14,10:17:11,dde_game_v15,2,3,7,5,5,0,1412,631,0,26
0000_dg_v15,3/15/14,10:17:20,dde_game_v15,1,2,9,3,3,0,1900,935,0,27
0000_dg_v15,3/15/14,10:17:29,dde_game_v15,1,3,4,5,3,0,1303,926,0,28
0000_dg_v15,3/15/14,10:18:46,dde_game_v15,2,3,9,5,5,0,858,743,0,29
0000_dg_v15,3/15/14,10:18:57,dde_game_v15,2,1,4,1,1,0,1231,847,0,30
0000_dg_v15,3/15/14,10:19:04,dde_game_v15,2,3,7,5,5,0,849,815,0,31
0000_dg_v15,3/15/14,10:19:12,dde_game_v15,2,1,4,1,1,0,1254,695,0,32
0000_dg_v15,3/15/14,10:19:23,dde_game_v15,1,1,6,2,2,0,3948,663,0,33
0000_dg_v15,3/15/14,10:21:14,dde_game_v15,2,2,3,1,4,0,4338,49693,0,34
0000_dg_v15,3/15/14,10:21:21,dde_game_v15,2,3,9,5,3,0,910,735,0,35
0000_dg_v15,3/15/14,10:21:34,dde_game_v15,1,2,10,4,4,0,3005,2551,0,36
0000_dg_v15,3/15/14,10:21:45,dde_game_v15,2,1,8,3,3,0,3391,750,0,37
0000_dg_v15,3/15/14,10:21:53,dde_game_v15,2,1,8,3,3,0,1202,728,0,38
0000_dg_v15,3/15/14,10:22:01,dde_game_v15,2,3,7,5,5,0,935,671,0,39
0000_dg_v15,3/15/14,10:22:11,dde_game_v15,2,2,8,4,4,0,2946,711,0,40
0000_dg_v15,3/15/14,10:22:21,dde_game_v15,1,3,7,5,5,0,1466,1470,0,41
0000_dg_v15,3/15/14,10:22:30,dde_game_v15,2,2,3,4,4,0,1926,727,0,42
0000_dg_v15,3/15/14,10:22:42,dde_game_v15,2,1,5,3,2,0,2331,854,0,43
0000_dg_v15,3/15/14,10:22:50,dde_game_v15,1,2,5,3,3,0,2090,750,0,44
0000_dg_v15,3/15/14,10:22:59,dde_game_v15,1,1,4,1,1,0,1654,615,0,45
0000_dg_v15,3/15/14,10:23:08,dde_game_v15,2,1,5,3,3,0,2282,735,0,46
0000_dg_v15,3/15/14,10:23:19,dde_game_v15,2,3,9,3,3,0,2570,1735,0,47
0000_dg_v15,3/15/14,10:24:45,dde_game_v15,2,2,5,2,2,0,1500,1239,0,49
0000_dg_v15,3/15/14,10:24:53,dde_game_v15,2,2,5,2,2,0,1302,727,0,50
0000_dg_v15,3/15/14,10:25:47,dde_game_v15,2,2,5,2,2,-1,2889,623,0,52
0000_dg_v15,3/15/14,10:25:55,dde_game_v15,2,2,3,4,2,-1,2439,663,0,53
0000_dg_v15,3/15/14,10:26:31,dde_game_v15,2,2,10,4,4,0,5190,863,0,54
0000_dg_v15,3/15/14,10:26:55,dde_game_v15,2,2,9,5,1,3,12868,4543,0,55
0000_dg_v15,3/15/14,10:27:18,dde_game_v15,1,2,3,1,1,-3,3561,3768,0,56
