MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
-1.0592,-1.0755,0.013455,-5.31E-05,-2,0,1
0.65079,0.6345,0.013455,-5.31E-05,-2,1,1
2.4508,-2.1904,0.013455,-5.31E-05,-2,0,1
2.2008,2.0745,0.013455,-5.31E-05,-2,0,1
1.3283,1.312,0.013455,-5.31E-05,-2,1,1
2.3508,1.867,0.013455,-5.31E-05,-2,0,1
0.60579,0.19213,0.013455,-5.31E-05,-2,1,1
-0.24921,-0.2655,0.013455,-5.31E-05,-2,1,1
-0.50421,-0.5205,0.013455,-5.31E-05,-2,1,1
2.8225,-0.30634,0.013455,-5.31E-05,-2,0,1
-1.9052,-2.3215,0.013455,-5.31E-05,-2,0,1
1.7134,2.0155,3.0135,-5.31E-05,1,0,1
-0.7035,2.0074,0.013455,-5.31E-05,-2,1,1
1.0508,1.0345,0.013455,-5.31E-05,-2,1,1
1.0508,2.8093,0.013455,-5.31E-05,-2,1,1
0.050794,-3.0401,0.013455,-5.31E-05,-2,1,1
0.050794,1.3656,4.0135,-5.31E-05,1,0,1
1.0508,1.0345,0.013455,-5.31E-05,-2,1,1
2.9008,1.8462,0.013455,-5.31E-05,-2,1,1
1.7733,2.457,0.013455,-5.31E-05,-2,1,1
-1.4133,-2.9035,4.0135,-5.31E-05,1,0,1
3.5728,-2.8435,0.013455,-5.31E-05,-2,1,1
-3.3929,-4.0241,0.013455,-5.31E-05,-2,0,1
2.9779,2.9617,1.0135,-5.31E-05,1,1,1
-4.2698,-1.9055,0.013455,-5.31E-05,-2,0,1
1.3233,4.361,0.013455,-5.31E-05,-2,1,1
1.2824,1.2661,0.013455,-5.31E-05,-2,1,1
1.0977,0.95388,4.0135,-5.31E-05,1,1,1
-0.78186,4.0035,0.013455,-5.31E-05,-2,0,1
5.9008,5.8845,0.013455,-5.31E-05,-2,1,1
1.7733,1.757,0.013455,-5.31E-05,-2,1,1
-1.5633,1.1225,0.013455,-5.31E-05,-2,0,1
-1.4712,-0.40015,0.013455,-5.31E-05,-2,0,1
5.4945,1.3282,0.013455,-5.31E-05,-2,1,1
-5.3264,-3.6832,0.013455,-5.31E-05,-2,0,1
-4.2698,-3.8986,0.013455,-5.31E-05,-2,0,1
-3.6217,-2.439,-4.9865,-5.31E-05,1,0,1
-3.0708,-4.4471,-1.9865,-5.31E-05,1,0,1
-0.14608,-0.99612,0.013455,-5.31E-05,-2,1,1
2.0508,-0.13284,0.013455,-5.31E-05,-2,1,1
1.7508,1.7345,-2.9865,-5.31E-05,1,0,1
-0.50421,0.43549,0.013455,-5.31E-05,-2,0,1
1.8225,5.202,0.013455,-5.31E-05,-2,1,1
2.0948,2.0785,0.013455,-5.31E-05,-2,1,1
-2.0992,-2.7598,0.013455,-5.31E-05,-2,0,1
-1.3992,0.64312,0.013455,-5.31E-05,-2,0,1
1.2833,-1.5189,3.0135,-5.31E-05,1,1,1
3.9408,3.9245,0.013455,-5.31E-05,-2,1,1
3.5073,4.6585,0.013455,-5.31E-05,-2,1,1
4.1388,1.2617,0.013455,-5.31E-05,-2,1,1
-2.724,-1.9861,0.013455,-5.31E-05,-2,0,1
1.5422,2.762,0.013455,-5.31E-05,-2,1,1
-2.4992,0.757,0.013455,-5.31E-05,-2,0,1
-2.1167,1.7386,-4.9865,-5.31E-05,1,0,1
-4.7916,-4.8079,0.013455,-5.31E-05,-2,0,1
-1.5152,-1.5315,0.013455,-5.31E-05,-2,1,1
-0.94921,-2.659,0.013455,-5.31E-05,-2,0,1
0.20079,-0.8155,0.013455,-5.31E-05,-2,1,1
0.90079,1.157,0.013455,-5.31E-05,-2,1,1
1.7733,1.0345,0.013455,-5.31E-05,-2,1,1
1.5149,0.034503,5.0135,-5.31E-05,1,1,1
-4.4712,-4.4875,0.013455,-5.31E-05,-2,0,1
-4.3929,-4.4092,0.013455,-5.31E-05,-2,0,1
-5.3264,-5.3426,0.013455,-5.31E-05,-2,0,1
4.3714,4.0345,0.013455,-5.31E-05,-2,1,1
4.3233,4.0345,0.013455,-5.31E-05,-2,1,1
3.6824,2.1519,5.0135,-5.31E-05,1,1,1
3.2477,3.2314,0.013455,-5.31E-05,-2,1,1
5.2181,3.647,0.013455,-5.31E-05,-2,1,1
5.193,4.2845,0.013455,-5.31E-05,-2,1,1
5.1717,4.2845,0.013455,-5.31E-05,-2,1,1
4.4036,4.2845,4.0135,-5.31E-05,1,1,1
3.1381,3.4345,0.013455,-5.31E-05,-2,1,1
3.125,2.5845,0.013455,-5.31E-05,-2,1,1
3.1139,3.0976,0.013455,-5.31E-05,-2,1,1
3.1044,3.0881,0.013455,-5.31E-05,-2,1,1
2.0964,2.0801,0.013455,-5.31E-05,-2,1,1
1.7896,1.6005,-2.9865,-5.31E-05,1,1,1
1.0837,-2.4826,0.013455,-5.31E-05,-2,1,1
2.0788,2.0345,0.013455,-5.31E-05,-2,1,1
5.0746,5.0583,0.013455,-5.31E-05,-2,1,1
4.071,0.64863,0.013455,-5.31E-05,-2,1,1
-0.9664,-0.98269,0.013455,-5.31E-05,-2,0,1
0.036176,0.019885,0.013455,-5.31E-05,-2,1,1
0.06322,0.034503,-4.9865,-5.31E-05,1,0,1
2.0508,4.1225,0.013455,-5.31E-05,-2,0,1
0.050794,0.034503,0.013455,-5.31E-05,-2,0,1
0.050794,-1.4569,0.013455,-3.0001,-1,0,1
0.050794,-1.2932,0.013455,-5.31E-05,-2,0,1
0.050794,1.1245,-2.9865,-5.31E-05,1,0,1
3.0508,3.961,0.013455,-5.31E-05,-2,0,1
2.0508,2.0345,0.013455,-5.31E-05,-2,1,1
5.7508,2.4039,0.013455,-5.31E-05,-2,1,1
-4.7942,-1.7995,-2.9865,-5.31E-05,1,0,1
4.279,1.2534,0.013455,-5.31E-05,-2,0,1
-0.39921,3.6285,0.013455,-5.31E-05,-2,0,1
-0.78171,-0.798,0.013455,-5.31E-05,-2,0,1
1.2084,0.35963,0.013455,-5.31E-05,-2,1,1
-2.3832,-0.94948,0.013455,-5.31E-05,-2,0,1
2.7197,2.1034,0.013455,-5.31E-05,-2,1,1
-2.2178,-2.234,-4.9865,-5.31E-05,1,0,1
5.0125,-3.398,0.013455,-5.31E-05,-2,1,1
1.4508,1.4345,0.013455,-5.31E-05,-2,1,1
-1.8392,2.4103,0.013455,-5.31E-05,-2,1,1
2.9008,1.4439,0.013455,-5.31E-05,-2,1,1
4.7733,3.5325,0.013455,-5.31E-05,-2,1,1
-3.9633,1.1952,-4.9865,-5.31E-05,1,0,1
-4.4712,-4.7375,0.013455,-5.31E-05,-2,0,1
-3.3929,-3.4092,0.013455,-5.31E-05,-2,0,1
-4.3264,-2.5934,0.013455,-5.31E-05,-2,0,1
5.3714,3.2118,0.013455,-5.31E-05,-2,1,1
-4.4717,-4.488,-3.9865,-5.31E-05,1,0,1
2.2824,3.2736,0.013455,-5.31E-05,-2,1,1
-4.1461,-1.5287,0.013455,-5.31E-05,-2,0,1
3.2181,3.3182,0.013455,-5.31E-05,-2,1,1
0.19304,-0.064333,0.013455,-5.31E-05,-2,0,1
5.0508,2.867,0.013455,-5.31E-05,-2,1,1
5.0508,-0.068266,0.013455,-5.31E-05,-2,1,1
1.0508,2.7185,0.013455,-5.31E-05,-2,1,1
0.90079,-0.44661,-1.9865,-5.31E-05,1,1,1
2.0508,0.90305,0.013455,-5.31E-05,-2,1,1
2.0508,-2.3722,0.013455,-5.31E-05,-2,1,1
2.0508,1.217,0.013455,-5.31E-05,-2,1,1
1.7508,0.78465,3.0135,-5.31E-05,1,1,1
-2.9492,-2.5155,0.013455,-5.31E-05,-2,0,1
-1.9492,-1.9655,0.013455,-5.31E-05,-2,0,1
4.0508,3.6078,0.013455,-5.31E-05,-2,1,1
3.4508,1.8769,-3.9865,-5.31E-05,1,0,1
2.9408,-3.6738,3.0135,-5.31E-05,1,0,1
-0.40571,0.3745,0.013455,-5.31E-05,-2,1,1
0.43882,0.16595,0.013455,-1.0001,-1,0,1
-2.1744,-3.0038,0.013455,-5.31E-05,-2,0,1
-3.4406,-4.148,0.013455,-5.31E-05,-2,0,1
2.7685,5.5431,0.013455,-5.31E-05,-2,1,1
1.9608,4.3168,0.013455,-5.31E-05,-2,1,1
-1.5727,-0.21777,-2.9865,-5.31E-05,1,0,1
-2.1617,-2.0888,0.013455,-5.31E-05,-2,0,1
4.3814,5.822,0.013455,-5.31E-05,-2,1,1
3.4818,4.7039,0.013455,-5.31E-05,-2,1,1
2.5672,3.6035,0.013455,-5.31E-05,-2,1,1
-2.0881,-1.3088,-2.9865,-5.31E-05,1,0,1
2.4002,-2.3262,0.013455,-5.31E-05,-2,1,1
