MFonMB_X,Subj,Choice
-15.838,19,1
-25.03,19,0
-4.0817,20,0
-8.3502,20,0
-8.1493,20,0
-6.5228,20,0
3.7984,20,0
-0.18936,20,0
3.0851,20,0
-4.0256,20,0
-8.2664,20,0
-7.2144,20,0
-4.9318,20,0
-12.447,20,1
-4.2273,20,0
2.1099,20,0
-1.6758,20,1
-0.97816,20,0
-9.5781,21,1
-4.8222,21,0
2.9646,21,0
9.0294,21,0
1.7521,21,0
-3.3133,21,0
4.8467,21,0
7.6539,21,0
4.5381,21,0
3.5536,21,0
5.3352,21,0
-1.5724,21,0
2.9008,21,0
3.8767,21,0
9.3403,21,0
9.6402,21,0
-0.87604,22,1
7.0096,22,1
-11.747,22,1
1.7471,22,0
-2.5261,22,1
-10.091,22,1
-16.849,22,0
-16.615,22,0
-18.678,22,0
0.67865,22,1
0.10761,22,1
5.1927,22,1
-3.0637,22,1
-4.2495,22,0
2.6181,22,0
-1.3237,22,0
4.4572,22,0
6.7813,23,0
12.332,23,0
12.095,23,0
18.132,23,0
1.7471,23,0
-3.6945,23,1
-6.2868,23,0
2.5773,23,0
1.0754,23,1
1.7471,23,0
0.76585,23,1
-3.6258,23,1
1.3951,23,1
-6.8091,23,1
0.87925,23,1
5.7459,23,0
7.0157,24,1
-20.012,24,0
0.17537,24,0
-0.12344,24,0
-19.508,24,0
-24.763,24,0
-23.261,24,1
7.5688,24,1
2.7405,24,0
2.3478,24,1
2.9633,24,0
-1.7444,24,1
2.1576,24,1
1.3899,24,0
7.0379,24,0
-3.5854,24,1
4.1377,25,0
9.0838,25,0
-9.9924,25,0
-8.2976,25,1
-12.544,25,1
-7.9121,25,0
-6.165,25,0
-1.7276,25,0
5.9354,25,1
3.2585,25,0
3.8,25,0
-3.874,25,1
0.32478,25,1
-9.8825,25,1
-6.3959,25,1
1.7471,26,1
-3.1413,26,0
5.0996,26,0
2.431,26,1
-4.912,26,0
-4.3987,26,1
-8.036,26,1
-4.6673,26,0
-2.7078,26,0
-7.6838,26,1
2.2726,26,1
-2.6198,26,0
0.09332,26,1
-1.2304,26,0
-2.0899,26,0
-4.0505,26,0
-0.41358,26,0
6.2991,26,0
-5.0151,27,1
-4.4024,27,1
-7.5268,27,1
-5.9734,27,1
-7.5432,27,1
4.7935,27,1
-2.3098,27,1
-0.69899,27,0
-2.4029,27,1
1.884,27,0
-13.102,27,1
-13.849,27,1
2.2128,27,1
-24.181,27,1
-22.077,27,1
