MFonMB_X,MFonMB_X_dummy,Choice,Subj
-1.7134,-1,0,1
1.2866,1,1,2
-4.7134,-1,0,3
0.28659,0,1,3
1.2866,1,1,3
3.2866,1,1,4
0.28659,0,1,5
-4.7134,-1,1,8
0.28659,0,0,8
2.2866,1,1,9
0.28659,0,0,10
2.2866,1,0,10
1.2866,1,0,11
0.28659,0,1,12
-1.7134,-1,1,14
8.2866,1,1,14
-0.71341,-1,0,16
2.2866,1,0,16
0.28659,0,1,17
1.2866,1,1,17
-1.7134,-1,0,17
1.2866,1,1,17
6.2866,1,1,18
4.2866,1,1,20
-2.7134,-1,1,20
-1.7134,-1,0,21
-2.7134,-1,1,21
6.2866,1,1,23
0.28659,0,1,24
0.28659,0,1,24
0.28659,0,0,24
-5.7134,-1,1,24
-2.7134,-1,1,24
0.28659,0,0,24
0.28659,0,1,25
1.2866,1,0,26
-4.7134,-1,1,26
-4.7134,-1,0,26
-0.71341,-1,0,27
-1.7134,-1,1,28
0.28659,0,0,29
5.2866,1,0,29
-1.7134,-1,1,30
1.2866,1,1,30
-3.7134,-1,0,30
2.2866,1,1,31
2.2866,1,1,33
3.2866,1,1,33
1.2866,1,0,34
2.2866,1,1,34
2.2866,1,0,34
0.28659,0,1,35
0.28659,0,1,35
3.2866,1,1,35
2.2866,1,1,36
0.28659,0,0,37
-0.71341,-1,1,38
-1.7134,-1,0,38
-2.7134,-1,1,41
0.28659,0,1,42
-2.7134,-1,0,42
2.2866,1,0,42
2.2866,1,0,42
5.2866,1,1,42
1.2866,1,0,42
0.28659,0,0,43
0.28659,0,1,45
0.28659,0,1,45
0.28659,0,0,45
-0.71341,-1,1,46
2.2866,1,1,46
-1.7134,-1,1,47
5.2866,1,1,47
-3.7134,-1,0,49
3.2866,1,1,50
3.2866,1,1,50
-4.7134,-1,1,50
0.28659,0,0,51
-2.7134,-1,1,51
3.2866,1,0,51
-1.7134,-1,1,51
2.2866,1,1,52
0.28659,0,1,54
0.28659,0,0,55
0.28659,0,1,55
-2.7134,-1,1,55
-2.7134,-1,1,56
-0.71341,-1,1,56
3.2866,1,1,57
-2.7134,-1,1,57
-5.7134,-1,0,57
0.28659,0,0,58
-0.71341,-1,1,58
4.2866,1,1,58
3.2866,1,1,59
0.28659,0,1,60
0.28659,0,1,60
3.2866,1,0,60
1.2866,1,1,60
3.2866,1,1,61
-0.71341,-1,1,61
0.28659,0,1,61
4.2866,1,1,62
-5.7134,-1,1,62
-1.7134,-1,0,62
0.28659,0,0,63
-2.7134,-1,0,63
4.2866,1,1,64
-3.7134,-1,0,64
-4.7134,-1,0,65
-0.71341,-1,0,65
-5.7134,-1,1,66
2.2866,1,0,67
0.28659,0,1,68
2.2866,1,1,69
-0.71341,-1,0,69
3.2866,1,0,70
-0.71341,-1,0,71
2.2866,1,1,72
-6.7134,-1,0,72
-0.71341,-1,1,73
-3.7134,-1,0,73
1.2866,1,0,73
2.2866,1,0,73
0.28659,0,0,74
-4.7134,-1,0,74
-4.7134,-1,0,75
0.28659,0,0,77
-3.7134,-1,1,78
0.28659,0,1,78
1.2866,1,1,79
0.28659,0,0,80
0.28659,0,1,81
0.28659,0,0,81
0.28659,0,0,82
-0.71341,-1,0,82
0.28659,0,0,82
4.2866,1,1,82
-2.7134,-1,1,84
-2.7134,-1,1,87
0.28659,0,1,88
1.2866,1,0,89
4.2866,1,0,89
-0.71341,-1,1,89
3.2866,1,1,89
-1.7134,-1,0,89
-5.7134,-1,1,91
4.2866,1,0,92
-2.7134,-1,1,92
0.28659,0,0,94
2.2866,1,0,95
-2.7134,-1,0,95
-3.7134,-1,0,95
0.28659,0,0,96
1.2866,1,1,96
3.2866,1,1,97
-0.71341,-1,1,98
3.2866,1,0,98
-1.7134,-1,0,98
-3.7134,-1,1,98
-3.7134,-1,1,99
-3.7134,-1,1,99
-5.7134,-1,0,99
-0.71341,-1,1,100
