MFonMB_X,MFonMB_X_dummy,Choice,Subj
2.5667,1,1,1
-2.4333,-1,0,2
1.5667,0,0,3
2.5667,1,1,3
1.5667,0,1,4
2.5667,1,0,4
-0.43333,-1,0,4
-4.4333,-1,0,5
1.5667,0,1,6
-4.4333,-1,0,6
-0.43333,-1,0,7
2.5667,1,1,8
-0.43333,-1,0,8
2.5667,1,0,9
2.5667,1,0,10
-0.43333,-1,0,10
-0.43333,-1,1,11
-2.4333,-1,1,11
2.5667,1,0,12
1.5667,0,1,13
-0.43333,-1,1,14
1.5667,0,0,15
2.5667,1,1,15
-0.43333,-1,0,15
1.5667,0,0,16
2.5667,1,0,17
-0.43333,-1,1,17
1.5667,0,1,18
2.5667,1,1,18
-2.4333,-1,0,18
2.5667,1,0,19
-0.43333,-1,0,19
1.5667,0,1,20
-0.43333,-1,1,20
1.5667,0,1,21
2.5667,1,1,21
1.5667,0,0,22
-4.4333,-1,0,22
-4.4333,-1,0,23
1.5667,0,0,24
-4.4333,-1,0,24
1.5667,0,0,25
-0.43333,-1,0,25
-0.43333,-1,0,26
1.5667,0,0,27
-4.4333,-1,0,27
1.5667,0,1,28
-4.4333,-1,0,28
1.5667,0,1,29
2.5667,1,1,29
1.5667,0,0,30
-4.4333,-1,0,30
1.5667,0,0,31
-0.43333,-1,1,31
1.5667,0,1,32
1.5667,0,1,33
2.5667,1,1,33
-4.4333,-1,0,33
2.5667,1,1,35
2.5667,1,0,37
1.5667,0,1,38
2.5667,1,1,38
-4.4333,-1,0,38
1.5667,0,0,39
-4.4333,-1,0,40
1.5667,0,0,41
2.5667,1,0,41
-4.4333,-1,0,41
2.5667,1,1,42
2.5667,1,1,43
-4.4333,-1,0,43
-4.4333,-1,1,44
1.5667,0,1,45
2.5667,1,0,45
-4.4333,-1,0,45
1.5667,0,0,46
2.5667,1,0,46
-0.43333,-1,1,47
-2.4333,-1,0,47
2.5667,1,1,48
-4.4333,-1,1,48
1.5667,0,0,49
-4.4333,-1,0,49
1.5667,0,1,50
2.5667,1,1,50
-0.43333,-1,0,51
-4.4333,-1,0,51
-2.4333,-1,0,51
1.5667,0,0,52
2.5667,1,0,52
-2.4333,-1,0,52
1.5667,0,1,53
2.5667,1,1,53
-4.4333,-1,0,53
1.5667,0,1,54
2.5667,1,1,54
-4.4333,-1,0,54
1.5667,0,1,55
2.5667,1,0,55
-0.43333,-1,0,55
-0.43333,-1,0,56
-4.4333,-1,0,56
-0.43333,-1,1,57
1.5667,0,1,58
-4.4333,-1,0,58
2.5667,1,0,59
2.5667,1,1,61
2.5667,1,1,62
-0.43333,-1,0,62
-4.4333,-1,0,62
1.5667,0,1,63
2.5667,1,1,63
-4.4333,-1,0,64
-4.4333,-1,0,65
1.5667,0,0,66
-0.43333,-1,0,66
2.5667,1,1,67
1.5667,0,1,68
2.5667,1,1,68
-4.4333,-1,0,68
-4.4333,-1,0,70
1.5667,0,0,72
2.5667,1,0,72
1.5667,0,1,73
-0.43333,-1,1,73
1.5667,0,1,75
-4.4333,-1,0,75
1.5667,0,1,76
2.5667,1,1,76
1.5667,0,1,78
2.5667,1,1,78
-2.4333,-1,1,78
2.5667,1,1,79
-4.4333,-1,0,80
-0.43333,-1,0,81
-4.4333,-1,0,81
2.5667,1,1,82
-4.4333,-1,0,82
1.5667,0,0,84
2.5667,1,0,84
-4.4333,-1,0,84
1.5667,0,0,85
2.5667,1,0,85
-0.43333,-1,0,85
-4.4333,-1,0,85
2.5667,1,1,86
-0.43333,-1,0,86
2.5667,1,0,87
-4.4333,-1,0,87
1.5667,0,1,88
2.5667,1,1,88
-4.4333,-1,0,88
1.5667,0,1,89
2.5667,1,0,89
-0.43333,-1,0,89
-4.4333,-1,0,90
1.5667,0,0,91
2.5667,1,1,91
1.5667,0,1,92
2.5667,1,0,92
-4.4333,-1,0,92
2.5667,1,1,93
-4.4333,-1,0,93
1.5667,0,0,94
2.5667,1,1,94
-0.43333,-1,0,94
1.5667,0,1,95
-4.4333,-1,0,95
2.5667,1,0,96
-0.43333,-1,0,96
-4.4333,-1,0,96
1.5667,0,1,97
-0.43333,-1,0,97
-4.4333,-1,0,97
-0.43333,-1,1,98
1.5667,0,1,99
2.5667,1,1,99
-0.43333,-1,0,99
1.5667,0,1,100
2.5667,1,1,100
