MFonMB_X,MFonMB_X_dummy,Choice,Subj
-2.4921,-1,1,1
2.5079,1,1,1
-2.4921,-1,1,2
2.5079,1,1,2
-2.4921,-1,1,3
2.5079,1,0,3
-2.4921,-1,0,4
2.5079,1,0,4
-2.4921,-1,1,5
2.5079,1,1,5
-2.4921,-1,1,6
2.5079,1,0,6
0.50794,0,0,7
-2.4921,-1,1,7
2.5079,1,0,7
-2.4921,-1,1,8
0.50794,0,0,9
-2.4921,-1,0,9
2.5079,1,1,10
-2.4921,-1,1,11
2.5079,1,1,11
-2.4921,-1,1,12
2.5079,1,1,12
2.5079,1,1,13
-2.4921,-1,1,14
2.5079,1,1,14
-2.4921,-1,1,15
2.5079,1,1,15
-2.4921,-1,1,16
2.5079,1,0,16
-2.4921,-1,0,17
2.5079,1,0,17
-2.4921,-1,1,18
2.5079,1,1,18
-2.4921,-1,1,19
2.5079,1,1,19
0.50794,0,1,20
0.50794,0,0,21
-2.4921,-1,0,21
2.5079,1,0,21
0.50794,0,1,22
2.5079,1,1,22
-2.4921,-1,0,23
2.5079,1,0,23
0.50794,0,0,24
-2.4921,-1,0,24
2.5079,1,0,24
-2.4921,-1,1,25
2.5079,1,1,25
-2.4921,-1,0,26
2.5079,1,1,26
-2.4921,-1,0,27
2.5079,1,0,27
-2.4921,-1,0,28
2.5079,1,0,28
2.5079,1,1,29
-2.4921,-1,0,30
2.5079,1,0,30
0.50794,0,0,31
2.5079,1,1,31
-2.4921,-1,1,32
-2.4921,-1,1,33
2.5079,1,1,33
-2.4921,-1,0,34
2.5079,1,0,34
-2.4921,-1,1,35
2.5079,1,0,35
-2.4921,-1,1,36
2.5079,1,0,36
-2.4921,-1,1,37
2.5079,1,1,37
-2.4921,-1,1,38
2.5079,1,0,38
-2.4921,-1,1,39
2.5079,1,1,39
-2.4921,-1,1,40
2.5079,1,0,40
-2.4921,-1,1,41
-2.4921,-1,1,42
2.5079,1,0,42
0.50794,0,0,43
-2.4921,-1,1,43
2.5079,1,1,43
-2.4921,-1,1,44
2.5079,1,1,44
-2.4921,-1,1,45
2.5079,1,1,45
-2.4921,-1,1,46
-2.4921,-1,1,47
2.5079,1,1,47
-2.4921,-1,0,48
2.5079,1,0,48
-2.4921,-1,0,49
2.5079,1,0,49
0.50794,0,0,50
-2.4921,-1,0,50
-2.4921,-1,1,51
2.5079,1,0,51
-2.4921,-1,0,52
2.5079,1,1,52
-2.4921,-1,1,53
2.5079,1,1,53
-2.4921,-1,0,54
2.5079,1,0,54
-2.4921,-1,1,55
2.5079,1,0,55
-2.4921,-1,0,56
2.5079,1,1,56
-2.4921,-1,1,57
2.5079,1,1,57
-2.4921,-1,1,58
2.5079,1,1,58
-2.4921,-1,0,59
2.5079,1,1,59
-2.4921,-1,1,60
-2.4921,-1,1,61
2.5079,1,1,61
-2.4921,-1,1,62
2.5079,1,0,62
-2.4921,-1,1,63
2.5079,1,1,63
-2.4921,-1,1,64
2.5079,1,1,64
-2.4921,-1,1,65
-2.4921,-1,1,66
2.5079,1,1,66
-2.4921,-1,1,67
-2.4921,-1,0,68
2.5079,1,0,68
-2.4921,-1,1,69
2.5079,1,1,69
-2.4921,-1,0,70
2.5079,1,0,70
-2.4921,-1,1,71
2.5079,1,0,71
-2.4921,-1,1,72
2.5079,1,0,72
-2.4921,-1,1,73
2.5079,1,1,73
-2.4921,-1,0,74
2.5079,1,0,74
-2.4921,-1,0,75
2.5079,1,0,75
-2.4921,-1,0,76
2.5079,1,0,76
0.50794,0,0,77
-2.4921,-1,0,77
2.5079,1,0,77
2.5079,1,0,78
-2.4921,-1,1,79
2.5079,1,1,79
-2.4921,-1,1,80
2.5079,1,1,80
-2.4921,-1,0,81
2.5079,1,0,81
-2.4921,-1,1,82
2.5079,1,1,82
-2.4921,-1,1,83
-2.4921,-1,0,84
2.5079,1,0,84
-2.4921,-1,1,85
2.5079,1,0,85
0.50794,0,0,86
2.5079,1,1,86
-2.4921,-1,1,87
2.5079,1,0,87
-2.4921,-1,1,88
2.5079,1,0,88
-2.4921,-1,1,89
2.5079,1,1,89
-2.4921,-1,0,90
2.5079,1,0,90
-2.4921,-1,1,91
2.5079,1,1,91
-2.4921,-1,1,93
2.5079,1,1,93
-2.4921,-1,1,94
2.5079,1,1,94
-2.4921,-1,0,95
2.5079,1,0,95
-2.4921,-1,0,96
2.5079,1,1,96
-2.4921,-1,1,97
2.5079,1,0,97
0.50794,0,0,98
-2.4921,-1,1,99
2.5079,1,1,99
-2.4921,-1,1,100
2.5079,1,1,100
