MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
1.9451,2.7913,-7.4815,-3.1765,-2.2124,-2.7818,-0.059927,-3.7347,2,1
1.9451,1.7913,-7.4815,-0.17652,-2.2124,0.21822,-0.059927,0.26528,2,1
-0.05485,4.7913,2.5185,-5.1765,-0.21242,-4.7818,-0.059927,-4.7347,2,1
2.9451,1.7913,-8.4815,0.82348,-3.2124,0.21822,-0.059927,0.26528,2,1
-4.0549,-0.2087,-1.4815,2.8235,-1.2124,1.2182,-1.0599,0.26528,2,1
-4.0549,2.7913,-1.4815,1.8235,-1.2124,0.21822,-1.0599,0.26528,2,1
2.9451,2.7913,-8.4815,-6.1765,-4.2124,0.21822,-0.059927,0.26528,2,1
-4.0549,-3.2087,-1.4815,5.8235,-1.2124,3.2182,-1.0599,0.26528,2,1
-4.0549,2.7913,-1.4815,-0.17652,-1.2124,0.21822,-1.0599,0.26528,2,1
-4.0549,-4.2087,-1.4815,-1.1765,-1.2124,-0.78178,-1.0599,-0.73472,2,0
2.9451,4.7913,-5.4815,-1.1765,-4.2124,0.21822,-0.059927,0.26528,2,1
-2.0549,-3.2087,-3.4815,-0.17652,-3.2124,0.21822,-0.059927,0.26528,2,0
2.9451,4.7913,-6.4815,-4.1765,-0.21242,-3.7818,-0.059927,-3.7347,2,1
0.94515,2.7913,-2.4815,-6.1765,-1.2124,0.21822,0.94007,0.26528,2,0
0.94515,5.7913,0.5185,-0.17652,0.78758,0.21822,-0.059927,0.26528,2,1
0.94515,4.7913,-0.4815,-8.1765,-0.21242,-1.7818,-0.059927,-1.7347,2,0
4.9451,-0.2087,-7.4815,1.8235,-6.2124,2.2182,-2.0599,0.26528,2,0
-1.0549,-3.2087,0.5185,-0.17652,-0.21242,0.21822,-0.059927,0.26528,2,1
-1.0549,3.7913,-0.4815,0.82348,-0.21242,0.21822,-0.059927,0.26528,2,1
-1.0549,-1.2087,6.5185,-0.17652,-1.2124,0.21822,-0.059927,0.26528,2,0
-0.05485,3.7913,-0.4815,-5.1765,-0.21242,-4.7818,-0.059927,-4.7347,2,1
-0.05485,-0.2087,-0.4815,-0.17652,-0.21242,0.21822,-0.059927,0.26528,2,1
-0.05485,-1.2087,-0.4815,2.8235,-0.21242,-1.7818,-0.059927,0.26528,2,0
-2.0549,-2.2087,-0.4815,1.8235,-0.21242,1.2182,-0.059927,0.26528,2,0
5.9451,5.7913,-8.4815,-7.1765,-0.21242,-2.7818,-0.059927,0.26528,2,1
-2.0549,-2.2087,1.5185,0.82348,0.78758,1.2182,-0.059927,1.2653,2,1
-0.05485,5.7913,1.5185,-9.1765,1.7876,-0.78178,-0.059927,-0.73472,2,1
-0.05485,5.7913,1.5185,0.82348,1.7876,1.2182,-0.059927,1.2653,2,0
6.9451,-2.2087,-9.4815,-0.17652,-1.2124,0.21822,-1.0599,0.26528,2,0
-2.0549,-3.2087,8.5185,9.8235,-0.21242,0.21822,-0.059927,0.26528,2,0
-5.0549,-5.2087,-0.4815,4.8235,-0.21242,4.2182,-0.059927,0.26528,2,0
6.9451,-2.2087,-5.4815,-0.17652,-0.21242,0.21822,-0.059927,0.26528,2,0
-2.0549,5.7913,-0.4815,0.82348,-0.21242,1.2182,-0.059927,1.2653,2,0
5.9451,-4.2087,-0.4815,3.8235,-0.21242,4.2182,-0.059927,0.26528,2,0
-5.0549,-3.2087,9.5185,9.8235,6.7876,0.21822,6.9401,0.26528,2,0
-4.0549,4.7913,3.5185,0.82348,3.7876,1.2182,-0.059927,0.26528,2,0
4.9451,-5.2087,-9.4815,0.82348,-0.21242,1.2182,-0.059927,0.26528,2,0
-5.0549,5.7913,0.5185,0.82348,0.78758,1.2182,-0.059927,1.2653,2,0
1.9451,1.7913,3.5185,-5.1765,-3.2124,-4.7818,-3.0599,-2.7347,2,1
0.94515,-3.2087,-0.4815,9.8235,-0.21242,0.21822,-0.059927,0.26528,2,0
1.9451,-3.2087,-0.4815,9.8235,-0.21242,0.21822,-0.059927,0.26528,2,0
-3.0549,3.7913,-2.4815,1.8235,-2.2124,2.2182,-0.059927,0.26528,2,0
-4.0549,-3.2087,7.5185,9.8235,-0.21242,0.21822,-0.059927,0.26528,2,0
