MB,MF,SMF,MFonMB,Choice,Subj
1.9515,2.0379,2.1923,2.0909,1,2
-0.048504,0.037897,0.19229,0.090934,1,2
-4.0485,0.037897,-3.8077,-3.9091,0,2
2.9515,3.0379,3.1923,3.0909,1,2
-0.048504,0.037897,0.19229,0.090934,1,2
-0.048504,-2.9621,0.19229,0.090934,0,2
-3.0485,-3.9621,-3.8077,-2.9091,1,2
-0.048504,0.037897,0.19229,0.090934,1,2
2.9515,2.0379,3.1923,3.0909,0,2
0.9515,1.0379,1.1923,1.0909,1,2
0.9515,1.0379,1.1923,1.0909,1,2
-1.0485,1.0379,2.1923,2.0909,1,2
-0.048504,0.037897,0.19229,0.090934,0,2
1.9515,2.0379,2.1923,2.0909,1,2
-2.0485,4.0379,1.1923,1.0909,1,2
3.9515,3.0379,4.1923,4.0909,1,2
2.9515,-0.9621,3.1923,-1.9091,1,2
-0.048504,2.0379,3.1923,3.0909,1,2
1.9515,-2.9621,2.1923,2.0909,1,2
-3.0485,-2.9621,-2.8077,-2.9091,0,2
0.9515,1.0379,1.1923,1.0909,1,2
1.9515,1.0379,2.1923,2.0909,1,2
0.9515,-1.9621,1.1923,1.0909,1,2
0.9515,-0.9621,-0.80771,-0.90907,1,2
-3.0485,-0.9621,-2.8077,-2.9091,1,2
0.9515,2.0379,2.1923,-1.9091,0,2
0.9515,0.037897,1.1923,1.0909,1,2
-0.048504,-0.9621,-0.80771,0.090934,0,2
-2.0485,-0.9621,-0.80771,-0.90907,0,2
-0.048504,0.037897,0.19229,0.090934,1,2
0.9515,-0.9621,0.19229,0.090934,0,2
1.9515,1.0379,1.1923,2.0909,1,2
-0.048504,3.0379,1.1923,-0.90907,1,2
-1.0485,-1.9621,1.1923,-0.90907,0,2
2.9515,2.0379,2.1923,3.0909,1,2
-1.0485,0.037897,-0.80771,-0.90907,0,2
-3.0485,2.0379,-0.80771,-2.9091,0,2
2.9515,-1.9621,3.1923,0.090934,0,2
-4.0485,-2.9621,-2.8077,-3.9091,1,2
-1.0485,-0.9621,-0.80771,-0.90907,0,2
-4.0485,3.0379,-2.8077,-3.9091,0,2
5.9515,4.0379,4.1923,6.0909,1,2
6.9515,7.0379,7.1923,7.0909,1,2
3.9515,-2.9621,2.1923,4.0909,1,2
2.9515,-3.9621,3.1923,3.0909,0,2
3.9515,3.0379,6.1923,-3.9091,1,2
-3.0485,1.0379,-0.80771,-2.9091,0,2
-2.0485,-6.9621,-2.8077,-2.9091,0,2
-7.0485,-0.9621,-6.8077,-6.9091,0,2
-1.0485,1.0379,-2.8077,-1.9091,1,2
-2.0485,2.0379,2.1923,2.0909,0,2
-2.0485,-1.9621,-1.8077,-1.9091,0,2
7.9515,2.0379,-3.8077,8.0909,1,2
-1.0485,0.037897,2.1923,-1.9091,0,2
7.9515,0.037897,0.19229,0.090934,1,2
7.9515,1.0379,1.1923,1.0909,1,2
-1.0485,-5.9621,2.1923,-0.90907,0,2
5.9515,-1.9621,-5.8077,-5.9091,0,2
6.9515,7.0379,7.1923,7.0909,1,2
6.9515,-5.9621,-5.8077,7.0909,1,2
-9.0485,0.037897,0.19229,-8.9091,0,2
0.9515,0.037897,1.1923,1.0909,0,2
-1.0485,-0.9621,-0.80771,-0.90907,0,2
-0.048504,1.0379,0.19229,0.090934,1,2
-2.0485,2.0379,2.1923,-1.9091,1,2
-9.0485,1.0379,-8.8077,-8.9091,1,2
-3.0485,-2.9621,-2.8077,-2.9091,1,2
-1.0485,9.0379,-1.8077,1.0909,1,2
-2.0485,-2.9621,1.1923,1.0909,1,2
-0.048504,-0.9621,-0.80771,-0.90907,0,2
-3.0485,0.037897,-2.8077,-2.9091,1,2
6.9515,-0.9621,7.1923,7.0909,0,2
-8.0485,8.0379,8.1923,8.0909,0,2
-2.0485,7.0379,-1.8077,-1.9091,1,2
-2.0485,5.0379,0.19229,-1.9091,0,2
-2.0485,-1.9621,-1.8077,-1.9091,0,2
-3.0485,8.0379,-1.8077,-2.9091,0,2
6.9515,-2.9621,7.1923,7.0909,1,2
4.9515,8.0379,8.1923,5.0909,1,2
-3.0485,6.0379,-2.8077,-2.9091,1,2
-6.0485,4.0379,-4.8077,-4.9091,1,2
-6.0485,-5.9621,-5.8077,-5.9091,0,2
-6.0485,-2.9621,-8.8077,-5.9091,0,2
3.9515,4.0379,4.1923,4.0909,1,2
5.9515,6.0379,6.1923,6.0909,0,2
-4.0485,-2.9621,-2.8077,-3.9091,0,2
3.9515,4.0379,4.1923,4.0909,1,2
-7.0485,-6.9621,-6.8077,-6.9091,0,2
3.9515,2.0379,-3.8077,4.0909,1,2
-3.0485,-1.9621,-2.8077,-2.9091,0,2
-1.0485,-2.9621,-2.8077,-0.90907,0,2
1.9515,2.0379,2.1923,2.0909,1,2
-7.0485,3.0379,-6.8077,1.0909,0,2
-2.0485,1.0379,-0.80771,-1.9091,1,2
0.9515,2.0379,2.1923,2.0909,0,2
-2.0485,4.0379,4.1923,4.0909,1,2
0.9515,-2.9621,1.1923,1.0909,0,2
-0.048504,1.0379,1.1923,0.090934,0,2
-1.0485,0.037897,0.19229,-0.90907,0,2
2.9515,-0.9621,0.19229,3.0909,0,2
-1.0485,1.0379,1.1923,-0.90907,1,2
-4.0485,-3.9621,-3.8077,-3.9091,0,2
-2.0485,-1.9621,-1.8077,-1.9091,0,2
-1.0485,-0.9621,-0.80771,-0.90907,0,2
-2.0485,-1.9621,-1.8077,-1.9091,0,2
-1.0485,-0.9621,-0.80771,-0.90907,0,2
3.9515,-1.9621,4.1923,4.0909,0,2
-2.0485,-1.9621,-1.8077,-1.9091,0,2
-2.0485,-2.9621,2.1923,-1.9091,0,2
4.9515,-1.9621,3.1923,5.0909,1,2
2.9515,3.0379,3.1923,3.0909,0,2
4.9515,5.0379,5.1923,5.0909,0,2
1.9515,2.0379,2.1923,2.0909,0,2
3.9515,2.0379,-1.8077,4.0909,1,2
-2.0485,-3.9621,-3.8077,-1.9091,0,2
-3.0485,3.0379,3.1923,-2.9091,0,2
-3.0485,-2.9621,-2.8077,-2.9091,1,2
-3.0485,3.0379,3.1923,-2.9091,0,2
0.9515,-2.9621,1.1923,1.0909,1,2
0.9515,2.0379,1.1923,1.0909,1,3
-0.048504,-3.9621,0.19229,3.0909,1,3
-3.0485,3.0379,1.1923,-2.9091,0,3
1.9515,-1.9621,2.1923,2.0909,0,3
2.9515,3.0379,3.1923,3.0909,1,3
1.9515,3.0379,3.1923,2.0909,1,3
-3.0485,3.0379,3.1923,3.0909,1,3
2.9515,3.0379,3.1923,3.0909,0,3
0.9515,-0.9621,-0.80771,1.0909,0,3
-4.0485,2.0379,-3.8077,-3.9091,0,3
1.9515,1.0379,1.1923,2.0909,1,3
-5.0485,2.0379,-3.8077,-4.9091,0,3
4.9515,5.0379,5.1923,5.0909,1,3
-2.0485,-1.9621,-1.8077,-1.9091,1,3
4.9515,4.0379,4.1923,4.0909,1,3
-5.0485,-4.9621,-4.8077,-4.9091,0,3
-2.0485,5.0379,-1.8077,-1.9091,1,3
0.9515,1.0379,1.1923,1.0909,1,3
0.9515,-0.9621,-0.80771,-0.90907,0,3
-0.048504,0.037897,0.19229,0.090934,1,3
-0.048504,0.037897,0.19229,0.090934,1,3
-1.0485,0.037897,0.19229,0.090934,0,3
1.9515,2.0379,2.1923,2.0909,1,3
-6.0485,2.0379,-5.8077,-5.9091,0,3
2.9515,3.0379,3.1923,3.0909,1,3
-2.0485,-2.9621,5.1923,5.0909,1,3
-2.0485,7.0379,7.1923,7.0909,1,3
-7.0485,-5.9621,-5.8077,-5.9091,0,3
-3.0485,-6.9621,-2.8077,-2.9091,1,3
2.9515,-6.9621,-2.8077,3.0909,0,3
-7.0485,-1.9621,-6.8077,-6.9091,0,3
5.9515,-3.9621,6.1923,6.0909,1,3
-6.0485,-5.9621,-5.8077,-5.9091,0,3
-4.0485,-4.9621,-1.8077,-1.9091,0,3
4.9515,3.0379,5.1923,5.0909,1,3
-5.0485,4.0379,-4.8077,-4.9091,0,3
7.9515,8.0379,8.1923,8.0909,1,3
-2.0485,-4.9621,1.1923,1.0909,0,3
-1.0485,6.0379,-3.8077,-0.90907,0,3
-2.0485,-1.9621,-1.8077,-1.9091,0,3
3.9515,1.0379,5.1923,4.0909,1,3
3.9515,6.0379,4.1923,4.0909,0,3
3.9515,4.0379,4.1923,4.0909,1,3
1.9515,2.0379,2.1923,2.0909,1,3
-2.0485,4.0379,6.1923,-1.9091,1,3
-3.0485,4.0379,-3.8077,-1.9091,1,3
3.9515,-1.9621,4.1923,4.0909,1,3
1.9515,2.0379,2.1923,2.0909,1,3
-2.0485,-1.9621,-1.8077,-1.9091,0,3
1.9515,2.0379,2.1923,2.0909,1,3
-1.0485,-0.9621,-0.80771,-0.90907,0,3
-1.0485,1.0379,1.1923,-0.90907,1,3
0.9515,-0.9621,-0.80771,-0.90907,1,3
1.9515,6.0379,4.1923,2.0909,1,3
-1.0485,-1.9621,-1.8077,-0.90907,0,3
-5.0485,-4.9621,-4.8077,-4.9091,0,3
-0.048504,0.037897,0.19229,0.090934,1,3
-5.0485,0.037897,-4.8077,-4.9091,0,3
2.9515,3.0379,3.1923,3.0909,1,3
-0.048504,0.037897,0.19229,0.090934,1,3
-0.048504,-2.9621,0.19229,0.090934,1,3
-3.0485,-3.9621,-4.8077,-2.9091,1,3
-0.048504,3.0379,0.19229,0.090934,0,3
0.9515,4.0379,4.1923,-3.9091,0,3
0.9515,4.0379,4.1923,1.0909,1,3
0.9515,1.0379,0.19229,1.0909,1,3
-1.0485,1.0379,1.1923,1.0909,1,3
-0.048504,0.037897,0.19229,0.090934,1,3
1.9515,2.0379,2.1923,2.0909,1,3
-4.0485,-3.9621,-3.8077,-3.9091,0,3
3.9515,-2.9621,4.1923,4.0909,1,3
2.9515,3.0379,3.1923,3.0909,1,3
-4.0485,2.0379,-3.8077,-3.9091,0,3
1.9515,2.0379,2.1923,2.0909,1,3
-3.0485,-2.9621,-2.8077,-2.9091,0,3
0.9515,1.0379,1.1923,1.0909,1,3
1.9515,1.0379,1.1923,2.0909,1,3
0.9515,-1.9621,1.1923,1.0909,0,3
0.9515,1.0379,1.1923,1.0909,1,3
0.9515,-0.9621,-3.8077,1.0909,0,3
0.9515,1.0379,1.1923,1.0909,1,3
0.9515,1.0379,3.1923,3.0909,1,3
-0.048504,0.037897,0.19229,0.090934,1,3
-3.0485,-2.9621,-2.8077,-2.9091,0,3
-0.048504,0.037897,0.19229,0.090934,1,3
0.9515,-0.9621,0.19229,0.090934,1,3
1.9515,0.037897,1.1923,-1.9091,1,3
-0.048504,3.0379,0.19229,0.090934,0,3
-1.0485,-0.9621,-0.80771,-0.90907,0,3
2.9515,-1.9621,-1.8077,3.0909,1,3
-1.0485,0.037897,-2.8077,-0.90907,0,3
-3.0485,-0.9621,-0.80771,-2.9091,0,3
2.9515,-1.9621,3.1923,0.090934,1,3
-4.0485,-2.9621,-2.8077,-3.9091,0,3
-3.0485,-3.9621,-3.8077,-2.9091,0,3
-5.0485,3.0379,-4.8077,-4.9091,0,3
5.9515,3.0379,0.19229,6.0909,1,3
6.9515,7.0379,7.1923,7.0909,1,3
3.9515,-2.9621,-0.80771,-0.90907,1,3
2.9515,-3.9621,3.1923,3.0909,1,3
3.9515,6.0379,6.1923,-3.9091,1,3
-3.0485,-2.9621,-2.8077,-2.9091,0,3
-2.0485,-6.9621,-2.8077,-1.9091,0,3
-7.0485,-0.9621,-6.8077,-6.9091,0,3
-1.0485,1.0379,-2.8077,-1.9091,0,3
-2.0485,-7.9621,-0.80771,-0.90907,0,3
-2.0485,-1.9621,-1.8077,-1.9091,0,3
7.9515,2.0379,-3.8077,8.0909,1,3
-2.0485,0.037897,-1.8077,-1.9091,1,3
7.9515,-0.9621,0.19229,0.090934,1,3
7.9515,1.0379,1.1923,1.0909,1,3
-1.0485,-5.9621,-0.80771,-0.90907,0,3
5.9515,-1.9621,-5.8077,-5.9091,1,3
6.9515,-1.9621,1.1923,1.0909,0,3
5.9515,-6.9621,-6.8077,6.0909,1,3
-9.0485,-0.9621,-7.8077,-8.9091,0,3
0.9515,-1.9621,-1.8077,1.0909,1,3
-2.0485,-8.9621,-0.80771,-1.9091,0,3
5.9515,5.0379,1.1923,6.0909,1,3
-2.0485,2.0379,2.1923,-1.9091,0,3
-9.0485,-1.9621,-8.8077,-8.9091,1,3
-3.0485,1.0379,-2.8077,-2.9091,1,3
-1.0485,9.0379,1.1923,1.0909,0,3
-2.0485,-2.9621,-1.8077,-1.9091,0,3
-2.0485,-1.9621,-1.8077,-1.9091,0,3
-3.0485,-1.9621,-2.8077,-2.9091,0,3
3.9515,4.0379,4.1923,4.0909,0,3
-3.0485,-2.9621,-2.8077,-2.9091,0,3
-2.0485,7.0379,-1.8077,-1.9091,1,3
-2.0485,5.0379,-1.8077,-1.9091,1,3
-2.0485,-1.9621,-1.8077,-1.9091,1,3
0.9515,1.0379,1.1923,1.0909,0,3
6.9515,-1.9621,7.1923,7.0909,1,3
4.9515,1.0379,-2.8077,5.0909,1,3
-3.0485,6.0379,-1.8077,-2.9091,0,3
-6.0485,-4.9621,-4.8077,-4.9091,0,3
4.9515,-2.9621,-4.8077,-4.9091,1,3
-5.0485,-2.9621,-8.8077,-4.9091,0,3
3.9515,4.0379,4.1923,4.0909,1,3
4.9515,-2.9621,5.1923,5.0909,1,3
-4.0485,-3.9621,-3.8077,-3.9091,0,3
3.9515,-5.9621,-5.8077,4.0909,1,3
-7.0485,-6.9621,-6.8077,-6.9091,0,3
1.9515,2.0379,-1.8077,2.0909,1,3
-3.0485,-1.9621,-2.8077,-2.9091,0,3
-1.0485,-2.9621,-2.8077,-0.90907,0,3
1.9515,2.0379,2.1923,2.0909,0,3
-7.0485,3.0379,-6.8077,-6.9091,0,3
-2.0485,1.0379,-0.80771,-1.9091,0,3
0.9515,2.0379,2.1923,1.0909,0,3
-2.0485,-1.9621,-1.8077,-1.9091,0,3
0.9515,-0.9621,1.1923,1.0909,1,3
0.9515,1.0379,1.1923,1.0909,1,3
0.9515,1.0379,1.1923,1.0909,0,3
2.9515,-3.9621,1.1923,3.0909,1,3
-4.0485,3.0379,-3.8077,-3.9091,0,3
-1.0485,0.037897,-1.8077,-0.90907,1,3
-0.048504,3.0379,0.19229,0.090934,1,3
-0.048504,0.037897,0.19229,0.090934,0,3
-2.0485,-1.9621,-1.8077,-1.9091,0,3
-1.0485,-0.9621,-0.80771,-0.90907,0,3
3.9515,-1.9621,4.1923,4.0909,1,3
-2.0485,2.0379,-1.8077,-1.9091,1,3
-1.0485,-0.9621,-0.80771,-0.90907,0,3
1.9515,0.037897,2.1923,2.0909,1,3
-0.048504,0.037897,0.19229,0.090934,0,3
3.9515,4.0379,4.1923,4.0909,1,3
1.9515,2.0379,2.1923,2.0909,1,3
3.9515,1.0379,0.19229,4.0909,1,3
-4.0485,4.0379,-3.8077,-3.9091,0,3
-3.0485,3.0379,3.1923,-2.9091,0,3
-3.0485,-2.9621,-2.8077,-2.9091,0,3
-3.0485,-2.9621,-2.8077,-2.9091,0,3
0.9515,-2.9621,1.1923,1.0909,1,3
-1.0485,2.0379,2.1923,-0.90907,0,4
-4.0485,-3.9621,-3.8077,-3.9091,1,4
0.9515,6.0379,6.1923,1.0909,1,4
-3.0485,3.0379,-3.8077,-2.9091,0,4
-1.0485,-1.9621,-0.80771,-0.90907,1,4
2.9515,3.0379,3.1923,3.0909,0,4
1.9515,-0.9621,3.1923,2.0909,1,4
-1.0485,-1.9621,1.1923,-0.90907,0,4
-0.048504,0.037897,0.19229,0.090934,1,4
-0.048504,0.037897,0.19229,0.090934,0,4
2.9515,2.0379,3.1923,3.0909,1,4
1.9515,0.037897,0.19229,2.0909,0,4
2.9515,1.0379,1.1923,1.0909,1,4
-1.0485,1.0379,-1.8077,-1.9091,1,4
5.9515,6.0379,6.1923,6.0909,1,4
4.9515,4.0379,4.1923,4.0909,1,4
-5.0485,2.0379,2.1923,-4.9091,0,4
0.9515,5.0379,1.1923,1.0909,0,4
3.9515,-4.9621,4.1923,4.0909,1,4
0.9515,-5.9621,2.1923,1.0909,1,4
0.9515,-0.9621,-0.80771,-0.90907,0,4
0.9515,1.0379,1.1923,1.0909,1,4
-1.0485,1.0379,1.1923,1.0909,1,4
1.9515,1.0379,1.1923,1.0909,0,4
-6.0485,2.0379,-5.8077,-5.9091,0,4
-2.0485,-0.9621,-0.80771,2.0909,1,4
5.9515,-2.9621,5.1923,5.0909,1,4
5.9515,7.0379,7.1923,7.0909,1,4
-7.0485,-5.9621,-5.8077,-5.9091,1,4
-3.0485,6.0379,-2.8077,-2.9091,1,4
1.9515,-5.9621,2.1923,2.0909,0,4
-3.0485,-1.9621,-2.8077,-2.9091,1,4
3.9515,4.0379,4.1923,4.0909,1,4
-4.0485,-1.9621,-5.8077,-3.9091,0,4
-4.0485,-4.9621,-1.8077,-1.9091,1,4
4.9515,-0.9621,5.1923,5.0909,1,4
-5.0485,-4.9621,-4.8077,-4.9091,0,4
7.9515,-4.9621,8.1923,8.0909,0,4
-2.0485,-2.9621,-1.8077,2.0909,1,4
-1.0485,-0.9621,-0.80771,-0.90907,0,4
-2.0485,-1.9621,-1.8077,-1.9091,0,4
2.9515,5.0379,5.1923,3.0909,1,4
-5.0485,-3.9621,-4.8077,-4.9091,0,4
3.9515,4.0379,4.1923,4.0909,1,4
1.9515,2.0379,2.1923,2.0909,1,4
-2.0485,4.0379,-3.8077,-1.9091,1,4
-3.0485,4.0379,-3.8077,-1.9091,0,4
3.9515,-2.9621,4.1923,4.0909,1,4
2.9515,2.0379,3.1923,3.0909,1,4
-2.0485,-1.9621,-2.8077,-2.9091,0,4
2.9515,2.0379,2.1923,2.0909,0,4
-1.0485,-0.9621,-0.80771,-0.90907,0,4
-1.0485,2.0379,2.1923,-0.90907,1,4
0.9515,-0.9621,-0.80771,-0.90907,1,4
1.9515,6.0379,4.1923,2.0909,1,4
-1.0485,-1.9621,-1.8077,-0.90907,1,4
-5.0485,-4.9621,-4.8077,-4.9091,1,4
0.9515,1.0379,1.1923,1.0909,1,4
-4.0485,0.037897,-3.8077,-3.9091,0,4
2.9515,3.0379,3.1923,3.0909,1,4
-0.048504,0.037897,0.19229,0.090934,1,4
-0.048504,-2.9621,0.19229,0.090934,0,4
-3.0485,-3.9621,-3.8077,-2.9091,1,4
-0.048504,0.037897,0.19229,0.090934,1,4
0.9515,-0.9621,-0.80771,1.0909,1,4
0.9515,1.0379,1.1923,1.0909,1,4
0.9515,1.0379,1.1923,1.0909,1,4
-1.0485,-0.9621,-1.8077,2.0909,0,4
-4.0485,4.0379,1.1923,4.0909,0,4
1.9515,2.0379,2.1923,2.0909,1,4
-2.0485,4.0379,1.1923,1.0909,0,4
3.9515,-2.9621,4.1923,4.0909,1,4
2.9515,3.0379,3.1923,3.0909,1,4
-4.0485,2.0379,-1.8077,-1.9091,0,4
1.9515,2.0379,2.1923,2.0909,1,4
-3.0485,-2.9621,-2.8077,-2.9091,0,4
0.9515,1.0379,1.1923,1.0909,1,4
1.9515,1.0379,4.1923,2.0909,0,4
0.9515,1.0379,1.1923,1.0909,1,4
0.9515,-0.9621,-0.80771,-0.90907,1,4
0.9515,-0.9621,1.1923,1.0909,0,4
0.9515,1.0379,1.1923,1.0909,1,4
0.9515,1.0379,1.1923,1.0909,1,4
-0.048504,0.037897,0.19229,0.090934,1,4
-3.0485,-2.9621,-2.8077,-2.9091,0,4
-0.048504,0.037897,0.19229,0.090934,1,4
0.9515,-0.9621,0.19229,0.090934,0,4
1.9515,0.037897,-0.80771,2.0909,1,4
-0.048504,3.0379,0.19229,0.090934,0,4
-1.0485,-0.9621,-0.80771,-0.90907,1,4
2.9515,-1.9621,2.1923,3.0909,1,4
-2.0485,0.037897,-2.8077,-1.9091,0,4
-3.0485,-1.9621,-1.8077,-2.9091,0,4
2.9515,-0.9621,3.1923,0.090934,1,4
-4.0485,-2.9621,-2.8077,-3.9091,0,4
-3.0485,-3.9621,-3.8077,-2.9091,0,4
-5.0485,3.0379,-4.8077,-4.9091,0,4
5.9515,3.0379,0.19229,6.0909,1,4
6.9515,7.0379,7.1923,7.0909,1,4
3.9515,-2.9621,2.1923,2.0909,1,4
2.9515,-3.9621,3.1923,3.0909,1,4
3.9515,6.0379,6.1923,-3.9091,1,4
-3.0485,-2.9621,-2.8077,-2.9091,0,4
-2.0485,-6.9621,-2.8077,-0.90907,1,4
-7.0485,2.0379,-6.8077,-6.9091,0,4
1.9515,2.0379,2.1923,2.0909,0,4
1.9515,-7.9621,2.1923,2.0909,1,4
1.9515,2.0379,2.1923,2.0909,1,4
7.9515,2.0379,-3.8077,8.0909,1,4
-0.048504,0.037897,0.19229,0.090934,0,4
7.9515,0.037897,0.19229,0.090934,0,4
5.9515,1.0379,0.19229,6.0909,1,4
-1.0485,-5.9621,2.1923,-0.90907,1,4
5.9515,-0.9621,-5.8077,-5.9091,1,4
6.9515,6.0379,6.1923,6.0909,1,4
6.9515,-6.9621,-6.8077,-6.9091,1,4
-9.0485,0.037897,0.19229,-8.9091,0,4
0.9515,0.037897,1.1923,1.0909,1,4
-1.0485,-8.9621,-0.80771,-0.90907,1,4
-0.048504,-1.9621,0.19229,0.090934,0,4
-2.0485,9.0379,-0.80771,-0.90907,0,4
-9.0485,-8.9621,-8.8077,-8.9091,1,4
3.9515,1.0379,0.19229,4.0909,1,4
-1.0485,9.0379,1.1923,1.0909,1,4
-2.0485,-2.9621,5.1923,1.0909,1,4
-0.048504,-0.9621,-0.80771,-0.90907,1,4
-3.0485,0.037897,-2.8077,-2.9091,0,4
3.9515,4.0379,4.1923,4.0909,0,4
-3.0485,1.0379,-2.8077,-2.9091,1,4
-1.0485,-0.9621,-0.80771,-0.90907,1,4
-2.0485,-2.9621,0.19229,0.090934,0,4
-2.0485,-1.9621,-1.8077,-1.9091,1,4
0.9515,1.0379,1.1923,1.0909,1,4
4.9515,-1.9621,5.1923,5.0909,1,4
-3.0485,3.0379,-2.8077,-2.9091,1,4
-3.0485,6.0379,-1.8077,-1.9091,1,4
-6.0485,4.0379,-4.8077,-4.9091,0,4
4.9515,-4.9621,-4.8077,-4.9091,1,4
-5.0485,-3.9621,-3.8077,-4.9091,0,4
3.9515,4.0379,4.1923,4.0909,1,4
4.9515,-1.9621,5.1923,5.0909,0,4
-4.0485,-2.9621,-2.8077,-3.9091,0,4
3.9515,4.0379,4.1923,4.0909,1,4
-7.0485,-6.9621,-6.8077,-6.9091,0,4
3.9515,2.0379,-3.8077,4.0909,1,4
-3.0485,-1.9621,-1.8077,-2.9091,0,4
-1.0485,-2.9621,-2.8077,-0.90907,0,4
1.9515,2.0379,2.1923,2.0909,1,4
-7.0485,3.0379,-6.8077,1.0909,1,4
-2.0485,-0.9621,-0.80771,-1.9091,0,4
0.9515,-0.9621,-0.80771,-0.90907,0,4
-2.0485,-1.9621,-1.8077,-1.9091,1,4
0.9515,-2.9621,4.1923,1.0909,0,4
-0.048504,1.0379,1.1923,0.090934,0,4
-1.0485,0.037897,0.19229,-0.90907,0,4
2.9515,-0.9621,3.1923,3.0909,1,4
-7.0485,3.0379,-0.80771,-0.90907,0,4
-3.0485,0.037897,-1.8077,-2.9091,0,4
-0.048504,3.0379,0.19229,0.090934,1,4
-0.048504,0.037897,0.19229,0.090934,1,4
-2.0485,-1.9621,-1.8077,-1.9091,0,4
-1.0485,-0.9621,-0.80771,-0.90907,0,4
2.9515,-1.9621,3.1923,3.0909,1,4
0.9515,2.0379,-1.8077,1.0909,0,4
-2.0485,-2.9621,2.1923,-1.9091,1,4
1.9515,2.0379,2.1923,2.0909,1,4
2.9515,-1.9621,3.1923,3.0909,0,4
2.9515,-0.9621,-2.8077,3.0909,1,4
1.9515,2.0379,2.1923,2.0909,1,4
3.9515,1.0379,1.1923,4.0909,1,4
-4.0485,4.0379,-1.8077,-3.9091,0,4
-3.0485,3.0379,3.1923,-2.9091,0,4
-3.0485,-2.9621,-2.8077,-2.9091,0,4
-3.0485,-2.9621,-2.8077,-2.9091,1,4
0.9515,-1.9621,1.1923,1.0909,0,4
-2.0485,0.037897,-2.8077,-1.9091,0,5
-4.0485,-3.9621,-3.8077,-3.9091,0,5
-3.0485,-2.9621,-2.8077,-2.9091,1,5
-3.0485,3.0379,-2.8077,-2.9091,0,5
-0.048504,-1.9621,0.19229,0.090934,0,5
2.9515,3.0379,3.1923,3.0909,1,5
1.9515,2.0379,2.1923,2.0909,1,5
-3.0485,3.0379,3.1923,3.0909,1,5
2.9515,3.0379,3.1923,3.0909,0,5
0.9515,-0.9621,-0.80771,1.0909,0,5
3.9515,2.0379,4.1923,4.0909,1,5
1.9515,1.0379,1.1923,2.0909,0,5
3.9515,1.0379,1.1923,1.0909,1,5
-1.0485,1.0379,-1.8077,-1.9091,1,5
5.9515,6.0379,6.1923,6.0909,1,5
