MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
2,-1,-4,0,-2,0,6,0
2,-7,5,-7,-1,0,6,0
4,3,4,3,-3,0,8,1
2,3,-4,-3,-2,0,8,1
2,-7,5,-7,-1,0,8,0
0,3,-2,5,-3,0,7,1
2,5,-4,-3,-2,0,7,0
2,2,2,-3,-3,0,13,0
2,5,-4,-3,-2,0,13,0
2,-6,-3,-6,-1,0,13,0
2,5,-5,8,-2,0,15,0
2,-7,5,-7,-1,0,15,0
2,-7,-3,-7,-1,0,16,0
-7,2,-5,4,-3,0,17,0
2,-7,5,-7,-1,0,17,0
2,5,-4,-3,-2,0,21,0
2,-6,5,-6,-1,0,21,0
1,3,-1,5,-3,0,22,1
2,-7,5,-7,-1,0,22,0
-5,3,-3,5,-3,0,24,1
2,-1,2,8,-2,0,24,0
2,-6,5,-6,-1,0,24,0
2,-6,6,-6,-1,0,23,0
2,-2,4,5,-3,0,25,1
2,-1,-4,-3,-2,0,25,0
2,-7,-3,-7,-1,0,25,0
2,-4,-2,-4,-3,0,26,0
2,5,-4,-3,-2,0,26,0
2,-7,-4,-7,-1,0,26,0
2,0,3,4,-3,0,32,0
2,1,-4,-3,-2,0,32,0
2,-7,5,-7,-1,0,32,0
2,-7,-3,-7,-1,0,33,0
4,3,-1,3,-3,0,35,1
2,-6,-3,-6,-1,0,35,0
2,3,2,8,-2,0,34,1
-6,-6,-6,4,0,-6,34,1
4,-7,7,-7,-1,0,34,0
2,5,-5,8,-2,0,36,1
2,-6,5,-6,-1,0,36,0
2,-1,-4,2,-3,0,37,1
2,5,-4,-3,-2,0,37,1
2,-7,-3,-7,-1,0,37,0
3,3,3,5,-3,0,38,0
2,1,-4,0,-2,0,38,0
2,-7,5,-7,-1,0,38,0
2,-5,0,-3,-3,0,39,0
2,5,-5,-3,-2,0,39,0
2,-7,-3,-7,-1,0,39,0
2,5,-5,8,-2,0,41,1
2,-7,5,-7,-1,0,41,0
2,-4,-5,8,-2,0,43,0
2,-7,5,-7,-1,0,43,0
3,3,3,5,-3,0,44,1
2,5,-5,-3,-2,0,47,1
-3,3,-1,3,-3,0,46,1
2,5,2,8,-2,0,46,0
2,-7,5,-7,-1,0,46,0
-2,3,-2,5,-3,0,48,1
2,-6,-3,-6,-1,0,48,0
2,3,-5,8,-2,0,49,0
2,-7,5,-7,-1,0,49,0
0,3,-1,3,-3,0,53,0
2,-1,-4,-3,-2,0,59,0
2,-7,-3,-7,-1,0,59,0
2,-4,1,-4,-3,0,60,1
2,-6,5,-6,-1,0,60,0
-1,3,-1,3,-3,0,62,0
2,5,-5,-3,-2,0,62,0
2,-7,-3,-7,-1,0,62,0
4,3,3,3,-3,0,63,0
2,-3,-5,-3,-2,0,63,1
2,-6,5,-6,-1,0,63,0
1,3,-4,5,-3,0,64,1
2,5,2,8,-2,0,64,0
2,-6,5,-6,-1,0,64,0
2,-7,5,-7,-1,0,66,0
2,0,0,-2,-3,0,67,0
2,5,-5,8,-2,0,67,1
2,0,5,5,-3,0,70,0
2,-7,5,-7,-1,0,70,0
-2,3,-2,5,-3,0,71,0
2,5,-5,8,-2,0,71,0
-2,3,-2,3,-3,0,74,1
2,5,2,8,-2,0,74,0
2,-7,5,-7,-1,0,74,0
2,3,0,3,-3,0,77,1
2,-1,-7,8,-2,0,77,0
-5,-5,-6,-5,0,-6,77,1
2,-7,-3,-7,-1,0,77,0
2,5,4,-3,-3,0,80,0
2,5,-4,8,-2,0,80,0
2,-3,-3,-5,-1,0,80,0
-1,3,0,3,-3,0,81,1
2,5,-5,0,-2,0,81,0
2,-7,-3,-7,-1,0,81,0
2,-3,-4,-3,-3,0,82,0
2,-3,-4,-3,-2,0,82,0
2,-7,5,-7,-1,0,82,0
