MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
-2.4127,1.7572,2.6993,-0.14134,1,0,4
1.7797,0.75595,4.6993,-0.14134,1,1,4
-1.7957,2.0972,4.6993,-0.14134,1,1,4
-4.2402,-1.2962,4.6993,-0.14134,0,1,4
-0.74076,-0.60832,-3.3007,-0.14134,1,1,4
1.6248,0.98206,-4.3007,-0.14134,0,1,4
-0.46196,-0.34905,-0.30068,4.8587,-1,0,4
0.44405,-0.68374,2.6993,-0.14134,1,1,4
-0.46196,-0.34905,-0.30068,-3.1413,-1,1,4
0.27989,0.8792,-2.3007,-0.14134,1,0,4
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,4
-2.527,0.65342,-4.3007,-0.14134,0,1,4
1.1755,-1.9151,-2.3007,-0.14134,1,1,4
-2.902,-2.5166,-3.3007,-0.14134,1,0,4
1.612,1.8238,2.6993,-0.14134,1,1,4
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,4
-2.134,2.0344,-2.3007,-0.14134,1,1,4
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,4
3.788,5.6758,-2.3007,-0.14134,1,0,4
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,4
2.5555,-0.26958,4.6993,-0.14134,1,1,4
4.1991,-0.80965,-0.30068,-0.14134,1,0,4
0.058663,-1.0133,-1.3007,-0.14134,1,1,4
3.788,3.9752,4.6993,-0.14134,1,1,4
-0.46196,-0.34905,-0.30068,-3.1413,-1,1,5
-0.46196,-0.34905,-0.30068,-2.1413,-1,1,5
-0.46196,-0.34905,-0.30068,-0.14134,-1,0,5
-0.46196,-0.34905,-0.30068,2.8587,-1,1,5
0.2458,-0.8548,2.6993,-0.14134,1,0,5
-0.46196,-0.34905,-0.30068,-2.1413,-1,0,5
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,5
0.79433,-1.2768,-4.3007,-0.14134,0,0,5
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,5
0.54354,-1.9151,4.6993,-0.14134,1,0,5
3.6605,4.0127,4.6993,-0.14134,1,1,5
0.61966,1.9459,-4.3007,-0.14134,0,1,5
1.0704,1.0216,4.6993,-0.14134,1,1,5
0.62081,2.7828,-3.3007,-0.14134,0,1,5
-0.46196,-0.34905,-0.30068,3.8587,-1,0,5
1.0903,1.2032,3.6993,-0.14134,0,1,5
1.3184,1.4602,3.6993,-0.14134,1,1,5
-0.46196,-0.34905,-0.30068,-3.1413,-1,1,5
0.31157,1.3509,-4.3007,-0.14134,1,1,5
-4.9934,-0.40311,-4.3007,-0.14134,0,0,5
-0.3171,-6.6391,-3.3007,-0.14134,1,1,5
2.1281,2.139,-2.3007,-0.14134,1,1,5
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,5
-0.20696,-0.094054,-3.3007,-0.14134,1,1,5
3.3943,0.30121,-4.3007,-0.14134,1,1,5
-2.0988,2.6684,-4.3007,-0.14134,0,1,5
1.1263,4.289,3.6993,-0.14134,1,1,5
-0.46196,-0.34905,-0.30068,4.8587,-1,0,5
2.7496,-0.15504,4.6993,-0.14134,1,0,5
-0.46196,-0.34905,-0.30068,4.8587,-1,0,5
-1.4012,2.6447,2.6993,-0.14134,1,1,5
3.8254,-2.1534,3.6993,-0.14134,1,1,5
-0.46196,-0.34905,-0.30068,3.8587,-1,1,6
1.7055,1.8184,-1.3007,-0.14134,1,0,6
-2.3043,0.94465,-1.3007,-0.14134,1,0,6
-0.46196,-0.34905,-0.30068,3.8587,-1,1,6
-0.18317,1.2953,3.6993,-0.14134,0,1,6
1.8316,2.0095,4.6993,-0.14134,1,1,6
-0.46196,-0.34905,-0.30068,-2.1413,-1,1,6
-4.0546,-0.019679,-2.3007,-0.14134,0,1,6
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,6
-2.188,1.7686,-4.3007,-0.14134,1,1,6
0.56941,-1.7941,-4.3007,-0.14134,1,1,6
-1.7823,-6.4414,-4.3007,-0.14134,1,0,6
-0.46196,-0.34905,-0.30068,3.8587,-1,1,6
0.96555,1.9921,2.6993,-0.14134,1,1,6
-0.46196,-0.34905,-0.30068,4.8587,-1,1,6
-1.567,-3.8608,3.6993,-0.14134,0,0,6
2.5918,2.7959,3.6993,-0.14134,1,0,6
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,6
-2.4109,5.7433,-4.3007,-0.14134,1,0,6
-0.46196,-0.34905,-0.30068,-3.1413,-1,1,6
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,6
-1.6753,2.4409,-4.3007,-0.14134,1,1,6
1.9648,-0.0090536,-2.3007,-0.14134,1,1,6
-4.0213,-4.2831,-2.3007,-0.14134,0,0,6
2.9581,0.00036324,-2.3007,-0.14134,1,1,6
-0.46196,-0.34905,-0.30068,2.8587,-1,1,6
-0.41972,1.574,-4.3007,-0.14134,1,1,6
2.1254,1.3509,-4.3007,-0.14134,0,1,6
1.0969,-1.1785,-2.3007,-0.14134,1,1,6
2.089,0.83873,1.6993,-0.14134,0,1,6
0.98366,-1.2239,4.6993,-0.14134,1,1,6
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,7
1.6235,1.7364,-1.3007,-0.14134,1,1,7
1.3106,-0.067605,-1.3007,-0.14134,1,1,7
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,7
3.9821,1.4933,-3.3007,-0.14134,1,1,7
-5.1752,-3.9616,-2.3007,-0.14134,0,1,7
-0.46196,-0.34905,-0.30068,-3.1413,-1,1,7
-0.87615,1.4784,4.6993,-0.14134,0,1,7
5.0163,3.9641,-4.3007,-0.14134,1,1,7
0.0012724,0.11418,2.6993,-0.14134,1,1,7
3.9365,4.0494,4.6993,-0.14134,1,1,7
-1.142,4.0272,2.6993,-0.14134,0,0,7
0.11608,-1.4116,-3.3007,-0.14134,1,1,7
-0.46196,-0.34905,-0.30068,4.8587,-1,0,7
1.2201,1.35,4.6993,-0.14134,1,1,7
3.0589,1.8502,-4.3007,-0.14134,0,1,7
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,7
3.0386,0.40745,-4.3007,-0.14134,1,1,7
0.0012724,1.9389,3.6993,-0.14134,0,1,7
3.0367,-2.1859,4.6993,-0.14134,1,0,7
0.34191,1.9487,4.6993,-0.14134,0,1,7
-1.4542,0.68669,4.6993,-0.14134,0,0,7
2.7064,5.2695,-4.3007,-0.14134,1,0,7
