MB_X,MB_Y,MF_X,MF_Y,MFonMB,Crits,Crits_incog,Choice,Subj,RoundNum
-4.0821,-4.0057,-4.194,-4.1445,0.013287,0,0,0,1,76
-4.0821,-4.0057,-4.194,-4.1445,0.013287,0,0,1,1,77
-4.0821,-1.0057,-1.194,-4.1445,0.013287,0,0,0,1,79
-3.0821,-1.0057,-4.194,-1.1445,0.013287,0,0,0,1,80
-2.0821,-1.0057,-2.194,-1.1445,0.013287,0,0,1,1,81
-4.0821,-2.0057,-4.194,-3.1445,0.013287,0,0,0,1,82
-2.0821,-2.0057,-2.194,-3.1445,0.013287,0,0,1,1,83
-2.0821,-2.0057,-2.194,-2.1445,0.013287,0,0,1,1,84
-2.0821,-2.0057,-2.194,-2.1445,0.013287,0,0,1,1,85
-4.0821,-2.0057,-2.194,-2.1445,0.013287,0,0,0,1,86
-2.0821,-3.0057,-2.194,-4.1445,0.013287,0,0,0,1,87
-3.0821,-2.0057,-3.194,-4.1445,3.0133,1,0,0,1,89
-0.082072,-2.0057,-4.194,-4.1445,0.013287,0,0,1,1,90
-0.082072,0.99427,-0.19397,0.85554,0.013287,0,0,1,1,91
-0.082072,0.99427,-4.194,0.85554,0.013287,0,0,1,1,92
-0.082072,-0.0057321,2.806,-4.1445,0.013287,0,0,1,1,93
-0.082072,-0.0057321,-0.19397,2.8555,4.0133,1,0,0,1,95
-1.0821,-0.0057321,-1.194,-0.14446,0.013287,0,0,1,1,96
-1.0821,1.9943,-1.194,2.8555,0.013287,0,0,1,1,97
-1.0821,0.99427,-1.194,1.8555,0.013287,0,0,1,1,98
0.91793,-1.0057,0.80603,-4.1445,4.0133,1,0,0,1,99
-1.0821,2.9943,-1.194,-4.1445,0.013287,0,0,1,1,100
2.9179,-1.0057,2.806,-4.1445,0.013287,0,0,0,1,101
-1.0821,2.9943,-1.194,2.8555,1.0133,1,0,1,1,102
3.9179,-1.0057,0.80603,-4.1445,0.013287,0,0,0,1,103
-1.0821,0.99427,-4.194,3.8555,0.013287,0,0,1,1,104
-1.0821,0.99427,-1.194,0.85554,0.013287,0,0,1,1,105
-1.0821,0.99427,-1.194,0.85554,4.0133,1,0,1,1,106
-1.0821,-1.0057,-4.194,3.8555,0.013287,0,0,0,1,107
-1.0821,4.9943,-1.194,4.8555,0.013287,0,0,1,1,108
-1.0821,0.99427,-1.194,0.85554,0.013287,0,0,1,1,109
0.91793,-1.0057,0.80603,3.8555,0.013287,0,0,0,1,110
0.91793,-1.0057,-1.194,-1.1445,0.013287,0,0,0,1,111
-1.0821,4.9943,-1.194,0.85554,0.013287,0,0,1,1,112
4.9179,-1.0057,4.806,3.8555,0.013287,0,0,0,1,113
3.9179,-1.0057,4.806,-1.1445,0.013287,0,0,0,1,114
3.9179,-1.0057,3.806,3.8555,-4.9867,1,0,0,1,115
3.9179,-1.0057,4.806,-1.1445,-1.9867,1,0,0,1,116
-0.082072,-1.0057,1.806,3.8555,0.013287,0,0,1,1,117
-0.082072,1.9943,-0.19397,-1.1445,0.013287,0,0,1,1,118
-0.082072,1.9943,-0.19397,1.8555,-2.9867,1,0,0,1,119
1.9179,1.9943,1.806,1.8555,0.013287,0,0,0,1,120
1.9179,2.9943,-3.194,2.8555,0.013287,0,0,1,1,121
-1.0821,1.9943,-1.194,1.8555,0.013287,0,0,1,1,122
-1.0821,-3.0057,1.806,-3.1445,0.013287,0,0,0,1,123
-3.0821,-4.0057,-3.194,-1.1445,0.013287,0,0,0,1,124
-4.0821,-3.0057,-1.194,-3.1445,3.0133,1,0,1,1,125
-4.0821,0.99427,-4.194,0.85554,0.013287,0,0,1,1,126
-4.0821,0.99427,-4.194,2.8555,0.013287,0,0,1,1,127
-4.0821,1.9943,-1.194,0.85554,0.013287,0,0,1,1,128
0.91793,-4.0057,1.806,-1.1445,0.013287,0,0,0,1,129
-3.0821,-4.0057,-3.194,-1.1445,0.013287,0,0,1,1,130
-0.082072,-3.0057,-0.19397,0.85554,0.013287,0,0,0,1,131
-0.082072,-3.0057,-4.194,0.85554,-4.9867,1,0,0,1,132
2.9179,-3.0057,2.806,-3.1445,0.013287,0,0,0,1,133
-0.082072,-3.0057,-0.19397,-3.1445,0.013287,0,0,1,1,134
-0.082072,-1.0057,4.806,0.85554,0.013287,0,0,0,1,135
-1.0821,-1.0057,-0.19397,-1.1445,0.013287,0,0,1,1,136
-1.0821,-0.0057321,-1.194,0.85554,0.013287,0,0,1,1,137
-1.0821,0.99427,-0.19397,0.85554,0.013287,0,0,1,1,138
-1.0821,0.99427,-0.19397,-0.14446,5.0133,1,0,1,1,139
3.9179,-1.0057,3.806,-1.1445,0.013287,0,0,0,1,140
3.9179,-1.0057,3.806,-1.1445,0.013287,0,0,0,1,141
4.9179,-1.0057,4.806,-1.1445,0.013287,0,0,0,1,142
-1.0821,3.9943,-0.19397,3.8555,0.013287,0,0,1,1,143
-1.0821,3.9943,-0.19397,3.8555,0.013287,0,0,1,1,144
-1.0821,3.9943,-1.194,4.8555,5.0133,1,0,1,1,145
-1.0821,2.9943,-1.194,2.8555,0.013287,0,0,1,1,146
-1.0821,4.9943,-0.19397,4.8555,0.013287,0,0,1,1,147
-1.0821,4.9943,-0.19397,4.8555,0.013287,0,0,1,1,148
-1.0821,4.9943,-0.19397,4.8555,0.013287,0,0,1,1,149
-1.0821,4.9943,-0.19397,4.8555,4.0133,1,0,1,1,150
-1.0821,2.9943,-0.19397,3.8555,0.013287,0,0,1,1,151
-1.0821,2.9943,-0.19397,2.8555,0.013287,0,0,1,1,152
-1.0821,2.9943,-1.194,2.8555,0.013287,0,0,1,1,153
-1.0821,2.9943,-1.194,2.8555,0.013287,0,0,1,1,154
-1.0821,1.9943,-1.194,1.8555,0.013287,0,0,1,1,155
-1.0821,1.9943,-0.19397,2.8555,-2.9867,1,0,1,1,156
-1.0821,0.99427,-1.194,-3.1445,0.013287,0,0,1,1,157
-1.0821,1.9943,-0.19397,1.8555,0.013287,0,0,1,1,158
-1.0821,4.9943,-1.194,4.8555,0.013287,0,0,1,1,159
-1.0821,3.9943,-0.19397,0.85554,0.013287,0,0,1,1,160
0.91793,-1.0057,0.80603,-1.1445,0.013287,0,0,0,1,161
-0.082072,-1.0057,-0.19397,-1.1445,0.013287,0,0,1,1,162
-1.0821,-0.0057321,-0.19397,-0.14446,-4.9867,1,0,0,1,163
-2.0821,-0.0057321,-2.194,3.8555,0.013287,0,0,0,1,164
-0.082072,-0.0057321,-0.19397,-0.14446,0.013287,0,0,0,1,165
-0.082072,-0.0057321,2.806,3.8555,0.013287,0,0,0,1,166
-0.082072,-0.0057321,4.806,3.8555,0.013287,0,0,0,1,167
-0.082072,-0.0057321,-0.19397,3.8555,-2.9867,1,0,0,1,168
-3.0821,-0.0057321,-3.194,3.8555,0.013287,0,0,0,1,169
-2.0821,-0.0057321,-2.194,-0.14446,0.013287,0,0,1,1,170
-2.0821,3.9943,-2.194,3.8555,0.013287,0,0,1,1,171
3.9179,-2.0057,3.806,2.8555,-2.9867,1,0,0,1,172
-2.0821,2.9943,2.806,2.8555,0.013287,0,0,0,1,173
2.9179,2.9943,-2.194,2.8555,0.013287,0,0,0,1,174
2.9179,2.9943,2.806,2.8555,0.013287,0,0,0,1,175
2.9179,2.9943,2.806,2.8555,0.013287,0,0,1,1,176
3.9179,2.9943,2.806,2.8555,0.013287,0,0,0,1,177
2.9179,3.9943,2.806,3.8555,0.013287,0,0,1,1,178
3.9179,2.9943,3.806,2.8555,-4.9867,1,0,0,1,179
-4.0821,2.9943,4.806,2.8555,0.013287,0,0,1,1,180
-4.0821,-2.0057,-4.194,-2.1445,0.013287,0,0,1,1,181
-1.0821,-4.0057,2.806,4.8555,0.013287,0,0,1,1,182
-1.0821,1.9943,2.806,1.8555,0.013287,0,0,1,1,183
-1.0821,3.9943,2.806,3.8555,0.013287,0,0,1,1,184
3.9179,-1.0057,-4.194,-1.1445,-4.9867,1,0,0,1,185
3.9179,-1.0057,4.806,-1.1445,0.013287,0,0,0,1,186
2.9179,-1.0057,2.806,-1.1445,0.013287,0,0,0,1,187
3.9179,-1.0057,3.806,2.8555,0.013287,0,0,0,1,188
-1.0821,4.9943,2.806,3.8555,0.013287,0,0,1,1,189
4.9179,-1.0057,4.806,-1.1445,-3.9867,1,0,0,1,190
-1.0821,1.9943,2.806,3.8555,0.013287,0,0,1,1,191
3.9179,-1.0057,1.806,2.8555,0.013287,0,0,0,1,192
-1.0821,2.9943,2.806,3.8555,0.013287,0,0,1,1,193
-1.0821,-0.0057321,2.806,-0.14446,0.013287,0,0,0,1,194
-0.082072,4.9943,2.806,4.8555,0.013287,0,0,1,1,195
-0.082072,4.9943,-0.19397,-1.1445,0.013287,0,0,1,1,196
-0.082072,0.99427,2.806,4.8555,0.013287,0,0,1,1,197
-0.082072,0.99427,2.806,0.85554,-1.9867,1,0,1,1,198
-0.082072,1.9943,2.806,1.8555,0.013287,0,0,1,1,199
-0.082072,1.9943,2.806,-2.1445,0.013287,0,0,1,1,200
-0.082072,1.9943,2.806,1.8555,0.013287,0,0,1,1,201
-0.082072,1.9943,2.806,1.8555,3.0133,1,0,1,1,202
2.9179,-0.0057321,2.806,-0.14446,0.013287,0,0,0,1,203
1.9179,-0.0057321,1.806,-0.14446,0.013287,0,0,0,1,204
-0.082072,3.9943,2.806,3.8555,0.013287,0,0,1,1,205
-0.082072,3.9943,-0.19397,2.8555,-3.9867,1,0,0,1,206
-0.082072,3.9943,2.806,-4.1445,3.0133,1,0,0,1,207
3.9179,1.9943,-4.194,-3.1445,0.013287,0,0,1,1,208
1.9179,3.9943,0.80603,2.8555,0.013287,0,0,0,1,209
3.9179,3.9943,3.806,2.8555,0.013287,0,0,0,1,210
4.9179,3.9943,4.806,2.8555,0.013287,0,0,0,1,211
3.9179,3.9943,-4.194,3.8555,0.013287,0,0,1,1,212
3.9179,2.9943,-4.194,2.8555,0.013287,0,0,1,1,213
2.9179,3.9943,1.806,2.8555,-2.9867,1,0,0,1,214
2.9179,3.9943,2.806,2.8555,0.013287,0,0,0,1,215
3.9179,4.9943,-4.194,4.8555,0.013287,0,0,1,1,216
3.9179,3.9943,-4.194,3.8555,0.013287,0,0,1,1,217
3.9179,2.9943,-4.194,2.8555,0.013287,0,0,1,1,218
2.9179,3.9943,2.806,2.8555,-2.9867,1,0,0,1,219
-2.0821,3.9943,2.806,2.8555,0.013287,0,0,1,1,220
-2.0821,-2.0057,2.806,-2.1445,0.013287,0,0,1,1,221
-2.0821,-3.0057,2.806,-3.1445,0.013287,0,0,0,1,222
-2.0821,-3.0057,-2.194,-3.1445,-4.9867,1,0,0,1,223
-3.0821,-1.0057,-4.194,4.8555,0.013287,0,0,1,1,224
-3.0821,-3.0057,-1.194,-4.1445,0.013287,0,0,0,1,225
-4.0821,-3.0057,-4.194,-4.1445,0.013287,0,0,1,1,226
-4.0821,-4.0057,-4.194,-3.1445,0.013287,0,0,0,1,227
-3.0821,-4.0057,-3.194,-3.1445,0.013287,0,0,0,1,228
1.9179,-4.0057,-3.194,-4.1445,0.013287,0,0,0,1,229
1.9179,-4.0057,1.806,-3.1445,3.0133,1,0,0,1,230
3.9179,-1.0057,3.806,1.8555,0.013287,0,0,0,2,76
-2.0821,-1.0057,1.806,-1.1445,0.013287,0,0,1,2,77
