MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
-2.0227,-1.8414,0.0059714,0.0014,-2,1,1
1.4535,0.13725,0.0059714,0.0014,-2,0,1
-1.5612,1.2446,0.0059714,0.0014,-2,1,1
-2.1796,3.0163,0.0059714,0.0014,-2,0,1
-0.83753,2.5663,0.0059714,0.0014,-2,1,1
-0.95689,-3.9837,0.0059714,0.0014,-2,1,1
1.8223,-0.59227,0.0059714,0.0014,-2,0,1
-2.271,-3.8337,0.0059714,0.0014,-2,0,1
-0.45165,-0.70615,0.0059714,0.0014,-2,1,1
-1.2952,0.89887,0.0059714,0.0014,-2,1,1
-0.55015,-1.0887,0.0059714,0.0014,-2,1,1
-0.80158,-3.9837,0.0059714,0.0014,-2,1,1
-2.3511,-0.38464,-4.994,0.0014,0,0,1
1.1148,2.7881,0.0059714,0.0014,-2,1,1
-0.4904,3.6288,0.0059714,0.0014,-2,0,1
-0.50515,5.087,0.0059714,0.0014,-2,1,1
-1.5387,-1.1737,0.0059714,0.0014,-2,0,1
-0.39515,-0.35213,0.0059714,0.0014,-2,0,1
-0.33515,-0.32365,4.006,0.0014,1,0,1
-2.4517,-2.4402,0.0059714,0.0014,-2,1,1
-0.7798,-1.4923,0.0059714,0.0014,-2,0,1
0.0048455,2.0163,0.0059714,0.0014,-2,1,1
-2.3363,-3.0736,0.0059714,0.0014,-2,0,1
1.7048,5.7912,0.0059714,0.0014,-2,1,1
3.8681,2.0163,0.0059714,0.0014,-2,1,1
-3.2789,1.2987,-2.994,0.0014,1,0,1
1.4498,-1.5526,0.0059714,0.0014,-2,1,1
1.1393,2.1838,0.0059714,0.0014,-2,1,1
4.2548,1.0163,0.0059714,0.0014,-2,1,1
-1.0507,3.0147,0.0059714,0.0014,-2,0,1
2.8301,0.53697,0.0059714,0.0014,-2,1,1
2.1723,-0.98365,0.0059714,0.0014,-2,1,1
1.8472,1.8587,-1.994,0.0014,1,1,1
5.0048,5.0163,0.0059714,0.0014,-2,1,1
0.95674,-6.4287,0.0059714,0.0014,-2,1,1
1.336,1.3475,0.0059714,0.0014,-2,1,1
1.1363,-3.5962,0.0059714,0.0014,-2,0,1
0.96658,0.97808,-2.994,0.0014,1,0,1
2.6149,0.016345,0.0059714,0.0014,-2,1,1
0.0048455,1.8488,0.0059714,0.0014,-2,0,1
3.4048,3.4163,0.0059714,0.0014,-2,1,1
2.8948,0.016345,-2.994,0.0014,1,1,1
1.0048,1.0163,0.0059714,0.0014,-2,1,1
0.0048455,-2.1512,0.0059714,0.0014,-2,1,1
0.85485,0.86635,0.0059714,0.0014,-2,1,1
1.7048,0.71635,0.0059714,0.0014,-2,1,1
1.4498,0.016345,-3.994,0.0014,1,0,1
-1.7669,-2.9837,0.0059714,0.0014,-2,0,1
1.9608,0.63047,0.0059714,0.0014,-2,1,1
0.52685,3.0163,0.0059714,0.0014,-2,0,1
1.8005,3.5663,0.0059714,0.0014,-2,1,1
1.232,-0.90848,0.0059714,0.0014,-2,1,1
-3.7002,-8.2337,0.0059714,0.0014,-2,0,1
3.5416,4.6305,0.0059714,0.0014,-2,1,1
2.6111,3.5384,0.0059714,0.0014,-2,1,1
-2.2105,-1.3891,-3.994,0.0014,1,0,1
-1.7107,-4.0717,0.0059714,0.0014,-2,0,1
0.46766,-3.7585,0.0059714,0.0014,-2,0,1
0.39824,2.7453,4.006,0.0014,1,1,1
1.2751,2.248,0.0059714,0.0014,-2,0,1
-1.2234,-2.7736,0.0059714,0.0014,-2,0,1
-1.9952,2.4728,0.0059714,0.0014,-2,0,1
1.3753,-2.7712,0.0059714,0.0014,-2,1,1
-1.6952,-1.6837,0.0059714,0.0014,-2,1,1
0.0048455,0.016345,0.0059714,0.0014,-2,1,2
-2.9952,0.016345,0.0059714,0.0014,-2,0,2
0.0048455,2.5663,0.0059714,0.0014,-2,1,2
5.0048,0.016345,0.0059714,0.0014,-2,1,2
4.0048,4.2663,0.0059714,0.0014,-2,1,2
0.61897,0.63047,0.0059714,0.0014,-2,0,2
1.7048,2.3843,0.0059714,0.0014,-2,0,2
0.0048455,-0.99515,0.0059714,0.0014,-2,1,2
3.272,2.9283,0.0059714,0.0014,-2,1,2
-1.8411,-1.0988,0.0059714,0.0014,-2,1,2
5.4929,-1.5837,0.0059714,0.0014,-2,1,2
5.7797,5.7912,0.0059714,0.0014,-2,1,2
1.8425,-4.7585,0.0059714,0.0014,-2,1,2
0.0048455,2.5077,0.0059714,0.0014,-2,0,2
0.094808,0.10631,0.0059714,0.0014,-2,0,2
1.8049,3.0849,0.0059714,0.0014,-2,0,2
1.5349,4.1728,4.006,0.0014,1,0,2
5.0929,5.0192,0.0059714,0.0014,-2,1,2
0.71109,-0.32365,0.0059714,0.0014,-2,1,2
0.0048455,2.1838,0.0059714,0.0014,-2,0,2
3.8948,2.2987,0.0059714,0.0014,-2,1,2
-0.74945,2.4728,0.0059714,0.0014,-2,1,2
0.0048455,4.4163,0.0059714,0.0014,-2,0,2
3.509,3.5205,-0.99403,0.0014,1,1,2
0.0048455,-0.31165,0.0059714,0.0014,-2,0,2
0.0048455,-0.70615,0.0059714,0.0014,-2,0,2
1.827,1.4022,0.0059714,0.0014,-2,1,2
1.5537,2.9446,-2.994,0.0014,1,1,2
0.27734,-2.5337,0.0059714,0.0014,-2,1,2
1.2331,1.2446,0.0059714,0.0014,-2,0,2
0.0048455,3.0163,0.0059714,0.0014,-2,1,2
2.5548,3.5663,0.0059714,0.0014,-2,1,2
-0.84515,2.0163,0.0059714,0.0014,-2,0,2
0.14722,0.016345,0.0059714,0.0014,-2,0,2
2.5598,1.5824,0.0059714,0.0014,-2,1,2
0.0048455,-2.0525,0.0059714,0.0014,-2,1,2
0.0048455,2.1478,0.0059714,0.0014,-2,1,2
0.85485,2.0163,0.0059714,0.0014,-2,1,2
-1.9952,-0.39443,0.0059714,0.0014,-2,1,2
2.4939,-1.6837,-3.994,0.0014,0,1,2
1.8923,1.0163,0.0059714,0.0014,-2,0,2
-1.8452,-3.7237,0.0059714,0.0014,-2,1,2
-1.0392,0.44307,0.0059714,0.0014,-2,0,2
0.0048455,-2.7062,0.0059714,0.0014,-2,0,2
0.52685,1.1525,2.006,0.0014,0,1,2
1.0048,1.5384,0.0059714,0.0014,-2,0,2
-3.8452,-1.5387,0.0059714,0.0014,-2,0,2
-1.5024,3.2888,0.0059714,0.0014,-2,1,2
-3.8627,4.0163,0.0059714,0.0014,-2,1,2
-1.0841,-1.5413,0.0059714,0.0014,-2,0,2
-3.7734,-3.7619,0.0059714,0.0014,-2,1,2
-4.0392,-0.52715,0.0059714,0.0014,-2,1,2
1.2443,-0.62668,0.0059714,0.0014,-2,0,2
1.0584,-0.75848,0.0059714,1.0014,-1,0,2
0.85634,-2.1334,0.0059714,0.0014,-2,0,2
0.0048455,-1.266,0.0059714,0.0014,-2,1,2
-0.10245,-1.3492,0.0059714,0.0014,-2,1,2
1.7797,0.63047,0.0059714,0.0014,-2,0,2
0.0048455,-5.5337,0.0059714,0.0014,-2,0,2
-2.1627,-2.1512,0.0059714,0.0014,-2,1,2
0.0048455,0.016345,0.0059714,0.0014,-2,1,2
-3.3952,-4.1062,0.0059714,0.0014,-2,0,2
-1.931,-2.8737,0.0059714,0.0014,-2,0,2
-1.4731,-4.4402,0.0059714,0.0014,-2,0,2
3.5611,3.3037,0.0059714,0.0014,-2,1,2
0.0048455,-3.3837,0.0059714,0.0014,-2,0,2
2.6843,1.0604,0.0059714,0.0014,-2,1,2
-0.39005,-3.816,0.0059714,0.0014,-2,1,2
2.3232,3.3206,0.0059714,0.0014,-2,1,2
-1.9658,-0.12603,4.006,0.0014,1,0,2
1.8375,-2.8387,0.0059714,0.0014,-2,1,2
1.6963,5.4796,0.0059714,0.0014,-2,1,2
5.3986,1.4541,0.0059714,0.0014,-2,1,2
0.0048455,3.0381,-1.994,0.0014,0,1,2
3.9018,-5.0277,0.0059714,0.0014,-2,1,2
-2.5309,-2.3161,0.0059714,0.0014,-2,1,2
-2.1506,-0.94349,1.006,0.0014,1,1,2
0.0048455,0.82019,0.0059714,0.0014,-2,1,2
-4.148,0.19386,-4.994,0.0014,1,1,2
-0.35761,-2.6144,0.0059714,0.0014,-2,1,2
-1.1532,0.4726,0.0059714,0.0014,-2,0,2
1.0048,1.0163,0.0059714,0.0014,-2,1,2
2.8548,2.8663,0.0059714,0.0014,-2,0,2
-2.4177,0.53487,3.006,0.0014,1,1,2
4.4498,3.4601,0.0059714,0.0014,-2,0,2
0.4462,-3.2119,0.0059714,0.0014,-2,1,2
2.7489,-1.5055,-1.994,0.0014,0,0,2
0.0048455,1.9888,0.0059714,0.0014,-2,1,2
-3.2995,-2.183,0.0059714,0.0014,-2,0,2
2.5797,-1.2119,0.0059714,0.0014,-2,0,2
1.8472,3.2279,0.0059714,0.0014,-2,0,2
0.0048455,-0.96764,0.0059714,0.0014,-2,1,2
0.0048455,3.0163,0.0059714,0.0014,-2,0,2
3.0048,4.1478,0.0059714,0.0014,-2,0,2
-0.54515,-2.5337,0.0059714,0.0014,-2,1,2
0.47235,-0.72192,-4.994,0.0014,1,0,2
0.0048455,-3.4162,0.0059714,0.0014,-2,1,2
-1.5612,2.0628,0.0059714,0.0014,-2,1,2
-0.66404,3.4163,0.0059714,0.0014,-2,1,2
3.8566,0.016345,0.0059714,0.0014,-2,1,2
-0.47842,-4.4287,0.0059714,0.0014,-2,1,2
0.0048455,-2.2119,0.0059714,0.0014,-2,1,2
1.8989,0.36551,0.0059714,0.0014,-2,0,2
-1.1931,-1.6837,0.0059714,0.0014,-2,0,2
-1.0134,-0.57865,2.006,0.0014,1,1,2
2.3676,2.3575,0.0059714,0.0014,-2,0,2
-1.1543,1.1714,0.0059714,0.0014,-2,0,2
0.99009,1.5384,0.0059714,1.0014,-1,1,2
0.0048455,1.2446,0.0059714,0.0014,-2,1,2
0.382,0.39349,0.0059714,0.0014,-2,1,2
1.3769,1.3884,0.0059714,0.0014,-2,1,2
-1.1176,2.4601,0.0059714,0.0014,-2,0,2
-0.22677,-0.21527,0.0059714,0.0014,-2,1,2
1.7704,-3.3695,0.0059714,0.0014,-2,1,2
3.4048,-3.7554,0.0059714,0.0014,-2,1,2
1.2805,1.3763,0.0059714,0.0014,-2,1,2
0.0048455,-2.4337,0.0059714,0.0014,-2,0,2
2.1723,-2.8162,0.0059714,0.0014,-2,0,2
4.3971,1.8587,-4.994,0.0014,0,1,2
5.1258,2.7577,0.0059714,0.0014,-2,1,2
1.336,4.2663,0.0059714,0.0014,-2,0,2
0.0048455,2.5389,0.0059714,0.0014,-2,1,2
0.0048455,0.092813,0.0059714,0.0014,-2,1,2
0.13235,3.2938,0.0059714,0.0014,-2,1,2
1.1025,0.44623,0.0059714,0.0014,-2,1,2
-2.0231,-2.5337,0.0059714,0.0014,-2,0,2
0.043605,-0.42736,0.0059714,0.0014,-2,1,2
0.0048455,-2.0899,0.0059714,0.0014,-2,1,2
0.032849,2.6958,0.0059714,0.0014,-2,1,2
0.028649,-1.826,5.006,0.0014,1,1,2
-1.931,2.4503,0.0059714,0.0014,-2,1,2
1.8472,3.6288,0.0059714,0.0014,-2,1,2
