MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-4.114,-2.3938,-1.8546,-3.1078,-1.5645,-2.8554,-0.0098123,0.015519,1,1
-0.11399,1.6062,-1.8546,-4.1078,-3.5645,3.1446,-0.0098123,0.015519,1,1
-0.11399,-3.3938,-0.85457,3.8922,-3.5645,0.14463,-0.0098123,0.015519,1,1
-0.11399,2.6062,-0.85457,2.8922,-3.5645,3.1446,-0.0098123,0.015519,1,1
2.886,2.6062,-0.85457,-2.1078,-3.5645,-3.8554,-0.0098123,0.015519,1,1
-4.114,-4.3938,3.1454,3.8922,-3.5645,-1.8554,-0.0098123,0.015519,1,1
-1.114,-4.3938,-0.85457,2.8922,-0.56451,-3.8554,-0.0098123,0.015519,1,0
3.886,2.6062,0.14543,2.8922,-3.5645,3.1446,-0.0098123,0.015519,1,1
3.886,2.6062,0.14543,1.8922,-3.5645,2.1446,-0.0098123,0.015519,1,1
-0.11399,3.6062,0.14543,-1.1078,0.43549,4.1446,-0.0098123,0.015519,1,1
3.886,2.6062,-3.8546,2.8922,4.4355,3.1446,-0.0098123,0.015519,1,1
-0.11399,-4.3938,0.14543,-4.1078,0.43549,-3.8554,-0.0098123,0.015519,1,0
2.886,2.6062,3.1454,2.8922,3.4355,3.1446,-0.0098123,0.015519,1,1
-1.114,-4.3938,3.1454,1.8922,-2.5645,-3.8554,-0.0098123,0.015519,1,0
3.886,3.6062,-0.85457,-4.1078,-3.5645,4.1446,-0.0098123,0.015519,1,1
-4.114,-4.3938,2.1454,4.8922,-3.5645,-3.8554,-0.0098123,0.015519,1,0
-6.114,4.6062,5.1454,4.8922,-3.5645,5.1446,-0.0098123,0.015519,1,1
1.886,4.6062,-1.8546,4.8922,3.4355,5.1446,-0.0098123,0.015519,1,1
1.886,-1.3938,-5.8546,2.8922,2.4355,-0.85537,-0.0098123,0.015519,1,0
5.886,5.6062,-0.85457,5.8922,-3.5645,6.1446,-0.0098123,0.015519,1,1
-6.114,-2.3938,4.1454,-1.1078,-3.5645,-0.85537,-0.0098123,0.015519,1,1
-6.114,2.6062,3.1454,2.8922,-5.5645,3.1446,-0.0098123,0.015519,1,1
2.886,-5.3938,-4.8546,2.8922,-4.5645,-5.8554,-0.0098123,0.015519,1,0
-5.114,-2.3938,3.1454,-2.1078,-5.5645,-1.8554,-0.0098123,0.015519,1,1
-2.114,2.6062,-5.8546,2.8922,-5.5645,3.1446,-0.0098123,0.015519,1,1
2.886,3.6062,3.1454,-6.1078,3.4355,-3.8554,-0.0098123,0.015519,1,0
-5.114,-5.3938,4.1454,3.8922,-5.5645,-3.8554,-0.0098123,0.015519,1,1
