"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_dg_v15","2015-05-13","20:37:58","dawstage2_v2","1","2","5","3","3","2","0","1094","558","0","1","0","6719"
"test_dg_v15","2015-05-13","20:38:01","dawstage2_v2","1","1","1","1","1","1","0","763","398","0","2","0","6720"
"test_dg_v15","2015-05-13","20:38:04","dawstage2_v2","1","1","8","3","3","1","0","635","454","0","3","0","6721"
"test_dg_v15","2015-05-13","20:38:07","dawstage2_v2","1","2","1","1","1","2","0","1357","416","0","4","0","6722"
"test_dg_v15","2015-05-13","20:38:09","dawstage2_v2","1","2","8","3","3","2","0","628","352","0","5","0","6723"
"test_dg_v15","2015-05-13","20:38:12","dawstage2_v2","1","2","5","3","3","2","0","690","311","0","6","0","6724"
"test_dg_v15","2015-05-13","20:38:14","dawstage2_v2","1","3","1","2","2","3","0","816","439","0","7","0","6725"
"test_dg_v15","2015-05-13","20:38:17","dawstage2_v2","1","1","1","1","1","1","0","446","575","0","8","0","6726"
"test_dg_v15","2015-05-13","20:38:20","dawstage2_v2","1","2","1","2","2","3","0","773","830","0","9","0","6727"
"test_dg_v15","2015-05-13","20:38:23","dawstage2_v2","1","3","1","1","1","2","0","496","472","0","10","0","6728"
"test_dg_v15","2015-05-13","20:38:27","dawstage2_v2","1","2","5","3","5","6","0","1086","622","0","11","0","6729"
"test_dg_v15","2015-05-13","20:38:30","dawstage2_v2","1","1","1","1","1","1","0","494","414","0","12","0","6730"
"test_dg_v15","2015-05-13","20:38:32","dawstage2_v2","1","1","3","1","5","5","0","468","286","0","13","0","6731"
"test_dg_v15","2015-05-13","20:38:34","dawstage2_v2","1","1","8","3","3","1","0","579","231","0","14","0","6732"
"test_dg_v15","2015-05-13","20:38:36","dawstage2_v2","1","3","8","4","4","3","0","544","459","0","15","0","6733"
"test_dg_v15","2015-05-13","20:38:39","dawstage2_v2","1","1","1","1","1","1","0","445","271","0","16","0","6734"
"test_dg_v15","2015-05-13","20:38:41","dawstage2_v2","1","2","3","1","5","5","0","415","623","0","17","0","6735"
"test_dg_v15","2015-05-13","20:38:44","dawstage2_v2","1","3","5","2","2","3","0","915","687","0","18","0","6736"
"test_dg_v15","2015-05-13","20:38:47","dawstage2_v2","1","2","3","1","1","2","0","588","464","0","19","0","6737"
"test_dg_v15","2015-05-13","20:38:49","dawstage2_v2","1","4","5","3","3","2","0","708","454","0","20","0","6738"
"test_dg_v15","2015-05-13","20:38:53","dawstage2_v2","1","4","3","1","1","2","-4","760","159","0","21","0","6739"
"test_dg_v15","2015-05-13","20:38:54","dawstage2_v2","1","4","3","4","4","3","2","601","423","0","22","0","6740"
"test_dg_v15","2015-05-13","20:38:56","dawstage2_v2","1","4","1","2","2","3","1","488","318","0","23","0","6741"
"test_dg_v15","2015-05-13","20:38:57","dawstage2_v2","1","4","5","3","5","6","1","497","278","0","24","0","6742"
