"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_adam1_dg_v15","2015-05-11","14:21:18","dawstage2_v1","1","4","1","1","5","5","-3","465","793","49","52","0","51"
"test_adam1_dg_v15","2015-05-11","14:21:26","dawstage2_v1","1","4","5","3","3","1","0","796","528","49","54","0","52"
"test_adam1_dg_v15","2015-05-11","14:21:28","dawstage2_v1","1","4","1","1","1","1","1","610","534","50","55","0","53"
"test_adam1_dg_v15","2015-05-11","14:21:30","dawstage2_v1","1","4","3","1","1","1","2","616","742","52","56","0","54"
"test_adam1_dg_v15","2015-05-11","14:21:32","dawstage2_v1","1","4","1","1","1","1","5","520","526","57","57","0","55"
"test_adam1_dg_v15","2015-05-11","14:21:34","dawstage2_v1","1","4","5","3","3","1","2","1234","758","59","58","0","56"
"test_adam1_dg_v15","2015-05-11","14:21:36","dawstage2_v1","1","4","1","1","5","5","-4","615","956","55","59","0","57"
"test_adam1_dg_v15","2015-05-11","14:21:44","dawstage2_v1","1","4","8","3","3","1","-2","958","543","53","61","0","58"
"test_adam1_dg_v15","2015-05-11","14:21:46","dawstage2_v1","1","4","1","2","2","4","1","616","455","54","62","0","59"
"test_adam1_dg_v15","2015-05-11","14:21:47","dawstage2_v1","1","4","5","2","2","4","2","466","382","56","63","0","60"
"test_adam1_dg_v15","2015-05-11","14:21:48","dawstage2_v1","1","4","3","4","4","4","1","448","414","57","64","0","61"
"test_adam1_dg_v15","2015-05-11","14:21:50","dawstage2_v1","1","4","3","4","4","4","3","470","383","60","65","0","62"
"test_adam1_dg_v15","2015-05-11","14:21:51","dawstage2_v1","1","4","3","4","4","4","4","441","350","64","66","0","63"
"test_adam1_dg_v15","2015-05-11","14:21:53","dawstage2_v1","1","4","8","4","4","4","1","850","488","65","67","0","64"
"test_adam1_dg_v15","2015-05-11","14:21:55","dawstage2_v1","1","4","3","4","5","6","4","561","1111","69","68","0","65"
"test_adam1_dg_v15","2015-05-11","14:22:02","dawstage2_v1","1","4","3","4","4","4","4","1013","567","73","70","0","66"
"test_adam1_dg_v15","2015-05-11","14:22:04","dawstage2_v1","1","4","8","4","4","4","4","697","463","77","71","0","67"
"test_adam1_dg_v15","2015-05-11","14:22:06","dawstage2_v1","1","4","5","3","5","5","-4","778","711","73","72","0","68"
"test_adam1_dg_v15","2015-05-11","14:22:14","dawstage2_v1","1","4","3","4","4","4","4","1246","799","77","74","0","69"
"test_adam1_dg_v15","2015-05-11","14:22:16","dawstage2_v1","1","4","1","2","2","4","5","1081","367","82","75","0","70"
"test_adam1_dg_v15","2015-05-11","14:22:17","dawstage2_v1","1","4","5","2","2","4","5","558","343","87","76","0","71"
"test_adam1_dg_v15","2015-05-11","14:22:19","dawstage2_v1","1","4","5","2","2","4","3","834","359","90","77","0","72"
