"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_dg_v15","2015-06-12","22:07:26","dayanSto_v1","1","1","15","1","1","0","0","1551","491","0","1","0","91579"
"test_dg_v15","2015-06-12","22:07:35","dayanSto_v1","1","2","1","1","2","1","0","1377","1725","0","2","0","91597"
"test_dg_v15","2015-06-12","22:09:31","dayanSto_v1","1","0","6","0","0","0","0","1916","812","0","1","0","91817"
"test_dg_v15","2015-06-12","22:09:48","dayanSto_v1","1","1","10","0","2","1","0","1255","579","0","2","0","91844"
"test_dg_v15","2015-06-12","22:09:51","dayanSto_v1","1","2","10","1","1","2","0","1013","557","0","3","0","91850"
"test_dg_v15","2015-06-12","22:09:56","dayanSto_v1","1","1","12","1","2","1","0","2496","501","0","4","0","91858"
"test_dg_v15","2015-06-12","22:09:59","dayanSto_v1","1","0","6","0","0","0","0","977","475","0","5","0","91862"
"test_dg_v15","2015-06-12","22:10:03","dayanSto_v1","1","0","6","0","0","0","0","1205","741","0","6","0","91869"
"test_dg_v15","2015-06-12","22:10:07","dayanSto_v1","1","0","10","1","1","2","0","1196","780","0","7","0","91874"
"test_dg_v15","2015-06-12","22:10:10","dayanSto_v1","1","1","12","1","2","1","0","1437","501","0","8","0","91878"
"test_dg_v15","2015-06-12","22:10:14","dayanSto_v1","1","2","7","-1","-1","1","0","1822","541","0","9","0","91882"
"test_dg_v15","2015-06-12","22:10:16","dayanSto_v1","1","2","1","1","2","1","0","1023","596","0","10","0","91886"
"test_dg_v15","2015-06-12","22:10:37","dayanSto_v1","1","0","12","0","0","0","0","17302","1092","0","11","0","91911"
"test_dg_v15","2015-06-12","22:10:42","dayanSto_v1","1","0","7","0","0","0","-1","1917","772","0","12","0","91920"
"test_dg_v15","2015-06-12","22:10:44","dayanSto_v1","1","0","4","0","2","1","-3","1496","416","0","13","0","91923"
"test_dg_v15","2015-06-12","22:10:47","dayanSto_v1","1","0","12","1","2","1","-3","1592","580","0","14","0","91928"
"test_dg_v15","2015-06-12","22:10:52","dayanSto_v1","1","0","15","1","1","1","-2","3246","949","0","15","0","91934"
"test_dg_v15","2015-06-12","22:10:55","dayanSto_v1","1","0","6","1","1","2","2","1790","612","0","16","0","91941"
"test_dg_v15","2015-06-12","22:10:57","dayanSto_v1","1","0","9","-1","-1","2","0","1313","869","0","17","0","91947"
"test_dg_v15","2015-06-12","22:10:59","dayanSto_v1","1","0","7","1","1","1","-2","1556","541","0","18","0","91951"
"test_dg_v15","2015-06-12","22:11:03","dayanSto_v1","1","0","4","0","0","0","-3","2607","485","0","19","0","91957"
"test_dg_v15","2015-06-12","22:11:05","dayanSto_v1","1","0","15","1","1","2","4","1521","463","0","20","0","91961"
"test_dg_v15","2015-06-12","22:11:10","dayanSto_v1","1","0","7","1","2","1","-3","2927","924","0","21","0","91968"
"test_dg_v15","2015-06-12","22:11:17","dayanSto_v1","1","0","1","1","1","2","-1","1865","453","39","22","0","91977"
"test_dg_v15","2015-06-12","22:11:19","dayanSto_v1","1","0","1","1","1","1","-4","1008","493","35","23","0","91980"
"test_dg_v15","2015-06-12","22:11:21","dayanSto_v1","1","0","4","0","0","0","1","1239","620","36","24","0","91985"
"test_dg_v15","2015-06-12","22:11:25","dayanSto_v1","1","0","4","0","0","0","1","1312","412","37","25","0","91989"
"test_dg_v15","2015-06-12","22:11:30","dayanSto_v1","1","0","15","0","0","0","3","2503","1685","40","26","0","92000"
"test_dg_v15","2015-06-12","22:11:33","dayanSto_v1","1","0","7","0","2","1","-2","1880","733","38","27","0","92005"
"test_dg_v15","2015-06-12","22:11:36","dayanSto_v1","1","0","10","0","0","0","3","1375","453","41","28","0","92010"
"test_dg_v15","2015-06-12","22:11:38","dayanSto_v1","1","0","6","0","0","0","3","1047","509","44","29","0","92016"
"test_dg_v15","2015-06-12","22:11:40","dayanSto_v1","1","0","7","0","0","0","4","1435","549","48","30","0","92020"
"test_dg_v15","2015-06-12","22:11:42","dayanSto_v1","1","0","10","0","2","1","1","1246","484","49","31","0","92023"
"test_dg_v15","2015-06-12","22:11:46","dayanSto_v1","1","0","6","-1","-1","1","0","1239","565","49","32","0","92031"
"test_dg_v15","2015-06-12","22:11:48","dayanSto_v1","1","0","1","1","2","1","3","1758","598","52","33","0","92034"
"test_dg_v15","2015-06-12","22:11:51","dayanSto_v1","1","0","6","-1","-1","1","0","1175","941","52","34","0","92040"
"test_dg_v15","2015-06-12","22:11:53","dayanSto_v1","1","0","9","0","0","0","-4","1485","757","48","35","0","92045"
"test_dg_v15","2015-06-12","22:11:57","dayanSto_v1","1","0","4","0","0","0","-1","2240","469","47","36","0","92051"
"test_dg_v15","2015-06-12","22:11:59","dayanSto_v1","1","0","10","0","0","0","-2","1239","716","45","37","0","92056"
"test_dg_v15","2015-06-12","22:12:01","dayanSto_v1","1","0","6","0","0","1","5","1164","413","50","38","0","92061"
"test_dg_v15","2015-06-12","22:12:03","dayanSto_v1","1","0","9","0","2","1","4","1211","452","54","39","0","92063"
