MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
1.0886,1.7561,-2.5253,-0.038937,1,1,5
1.1831,5.0026,-2.5253,-0.038937,1,1,5
1.1029,0.98846,-4.5253,-0.038937,0,1,5
1.1204,1.2052,-4.5253,-0.038937,1,1,5
3.038,0.80328,-4.5253,-0.038937,1,1,6
0.15653,0.75258,-4.5253,-0.038937,1,1,6
2.884,3.0436,-3.5253,-0.038937,1,1,6
-3.867,-3.7822,3.4747,-0.038937,0,0,6
-0.20104,-2.5053,4.4747,-0.038937,1,1,6
-4.3196,-4.1413,3.4747,-0.038937,0,0,6
-0.91521,3.1602,3.4747,-0.038937,0,0,6
-0.98058,1.426,4.4747,-0.038937,1,1,6
3.0712,3.3087,-2.5253,-0.038937,0,1,6
-2.1769,-2.8673,2.4747,-0.038937,1,0,6
0.8757,-0.23626,-2.5253,-0.038937,0,1,6
1.6472,-4.4898,3.4747,-0.038937,1,1,6
-1.6047,1.1231,4.4747,-0.038937,1,1,6
-5.2332,-5.3609,4.4747,-0.038937,1,1,6
0.28424,-1.2286,4.4747,-0.038937,1,1,6
-1.1372,-4.3963,4.4747,-0.038937,1,0,6
-2.9703,-6.5298,2.4747,-0.038937,1,0,6
-0.32459,-0.23979,-0.5253,3.9611,-1,1,6
0.28936,-0.60617,4.4747,-0.038937,1,0,6
1.3209,1.0777,-3.5253,-0.038937,0,0,7
-0.53668,0.032696,-4.5253,-0.038937,0,1,7
4.3037,3.3918,-4.5253,-0.038937,1,1,7
0.40296,0.28221,-4.5253,-0.038937,1,0,7
2.0434,4.3885,2.4747,-0.038937,0,0,7
0.76129,-0.29722,4.4747,-0.038937,0,0,7
-2.2867,-3.4484,-4.5253,-0.038937,1,0,7
-2.167,-2.7898,-4.5253,-0.038937,0,1,7
-1.2353,1.8482,-3.5253,-0.038937,1,1,7
-0.32459,-0.23979,-0.5253,1.9611,-1,1,7
2.2254,0.75726,2.4747,-0.038937,0,0,7
-2.4921,-2.1228,4.4747,-0.038937,1,0,7
-2.7471,-0.0005636,-3.5253,-0.038937,0,0,7
0.052562,0.032696,2.4747,-0.038937,1,0,7
-0.37219,-0.23979,-4.5253,-0.038937,0,1,7
-0.36754,0.37433,-4.5253,-0.038937,0,0,7
-0.45646,-0.94742,-3.5253,-0.038937,1,0,7
-1.9827,-2.6278,-4.5253,-0.038937,1,0,7
-3.9371,-1.2838,-4.5253,-0.038937,1,1,7
2.1883,-0.23979,-4.5253,-0.038937,1,0,7
3.2178,3.3026,-4.5253,-0.038937,1,0,7
-0.46476,2.057,3.4747,-0.038937,1,1,7
0.56282,2.8861,-4.5253,-0.038937,0,0,7
-0.32459,-0.23979,-0.5253,4.9611,-1,0,7
-0.32459,-2.9258,4.4747,-0.038937,1,1,7
0.010099,-1.4669,-4.5253,-0.038937,1,1,8
-3.6746,-0.75712,3.4747,-0.038937,1,1,8
2.0397,4.8277,-3.5253,-0.038937,0,0,8
0.66779,2.3251,1.4747,-0.038937,0,1,8
1.0065,-1.6848,-3.5253,-0.038937,1,0,8
1.1438,2.5042,-4.5253,-0.038937,0,1,8
0.51882,2.1827,-4.5253,-0.038937,1,1,8
-0.32459,0.7121,-2.5253,-0.038937,0,1,8
0.89921,0.82806,2.4747,-0.038937,1,1,8
1.8252,2.4775,4.4747,-0.038937,0,0,8
0.33721,-1.0298,-4.5253,-0.038937,1,1,8
-0.76829,1.0734,3.4747,-0.038937,0,0,8
0.8335,0.84608,-4.5253,-0.038937,1,1,8
2.0914,2.1762,-4.5253,-0.038937,1,1,8
-1.3686,-0.40249,-4.5253,-0.038937,1,0,8
0.98865,3.7025,-4.5253,-0.038937,1,1,8
-0.082777,0.68667,-3.5253,-0.038937,1,1,8
0.63271,-0.70542,4.4747,-0.038937,1,0,8
0.61466,0.22771,4.4747,-0.038937,1,0,8
-0.32459,-0.23979,-0.5253,0.96106,-1,0,8
-1.0471,-1.8123,-4.5253,-0.038937,0,0,9
-0.0040105,0.15758,-2.5253,-0.038937,1,0,9
-0.092971,-0.59483,-4.5253,-0.038937,1,0,9
-0.93871,0.4772,-3.5253,-0.038937,1,1,9
-1.8572,-0.37378,3.4747,-0.038937,0,1,9
-0.32459,-0.23979,-0.5253,2.9611,-1,1,9
-0.32459,-0.23979,-0.5253,3.9611,-1,0,9
-0.32459,-0.23979,-0.5253,0.96106,-1,1,9
-0.32459,-0.42403,4.4747,-0.038937,1,1,9
-0.32459,-1.1398,4.4747,-0.038937,0,0,9
-0.32459,3.547,4.4747,-0.038937,0,1,9
3.3197,0.95021,-2.5253,-0.038937,1,1,9
-5.0378,-5.2123,-4.5253,-0.038937,0,0,9
3.0264,0.34234,2.4747,-0.038937,1,1,9
-2.4921,-2.4073,-2.5253,-0.038937,0,1,9
0.90366,0.98846,-3.5253,-0.038937,1,0,9
0.91218,2.3714,-2.5253,-0.038937,0,0,9
-0.32459,-0.23979,-0.5253,-0.038937,-1,1,9
2.6577,0.73771,-4.5253,-0.038937,0,1,9
-0.37823,-1.7484,-4.5253,-0.038937,1,0,9
0.99939,-2.2495,-3.5253,-0.038937,1,0,9
-2.7981,-4.6015,2.4747,-0.038937,1,0,9
1.4628,1.518,4.4747,-0.038937,1,1,9
3.121,2.7831,-2.5253,-0.038937,1,1,9
0.88118,0.36169,4.4747,-0.038937,1,1,9
0.56282,-1.1398,4.4747,-0.038937,1,0,9
-2.8746,0.37433,-4.5253,-0.038937,0,0,10
-2.167,1.5877,4.4747,-0.038937,0,0,10
0.52541,1.6163,-4.5253,-0.038937,1,1,10
-1.2681,-3.6398,-4.5253,-0.038937,1,0,10
-0.32459,-0.23979,-0.5253,3.9611,-1,1,10
-0.040104,3.0521,-3.5253,-0.038937,0,1,10
-2.4126,-0.091293,3.4747,-0.038937,0,0,10
3.123,2.4059,4.4747,-0.038937,1,1,10
-2.4921,1.8482,-4.5253,-0.038937,1,1,10
2.9108,-0.23019,4.4747,-0.038937,1,0,10
-5.2906,0.57466,2.4747,-0.038937,0,0,10
5.0627,4.085,2.4747,-0.038937,1,1,10
-2.119,1.1108,4.4747,-0.038937,0,0,10
0.98865,0.57968,4.4747,-0.038937,1,0,10
0.75516,-0.75202,4.4747,-0.038937,1,1,10
-2.2698,-0.24293,4.4747,-0.038937,1,0,10
0.26604,-2.7884,4.4747,-0.038937,1,1,10
-1.6557,0.91902,-4.5253,-0.038937,1,1,10
3.2122,4.2042,2.4747,-0.038937,1,1,10
-0.32459,-0.23979,-0.5253,1.9611,-1,1,10
-4.594,-0.68355,4.4747,-0.038937,1,0,10
-4.1921,-3.1021,4.4747,-0.038937,0,0,11
-0.71834,0.75258,3.4747,-0.038937,1,0,11
1.3754,1.5585,4.4747,-0.038937,1,1,11
-0.32459,-0.23979,-0.5253,1.9611,-1,1,11
3.4634,0.23196,-3.5253,-0.038937,1,0,11
-1.1746,-1.0898,-3.5253,-0.038937,0,0,11
0.10891,0.19371,4.4747,-0.038937,1,1,11
-2.8136,-2.4723,4.4747,-0.038937,0,0,11
1.7634,-0.90405,3.4747,-0.038937,1,1,11
-1.4164,1.3667,2.4747,-0.038937,1,0,11
1.421,3.1602,4.4747,-0.038937,1,1,11
-1.7371,0.57768,0.4747,-0.038937,1,1,11
-2.9909,-2.6278,4.4747,-0.038937,0,0,11
1.427,2.3867,-4.5253,-0.038937,0,1,11
2.6037,1.2688,4.4747,-0.038937,1,1,11
0.069161,1.854,4.4747,-0.038937,1,0,11
-1.3944,1.9434,-1.5253,-0.038937,0,1,11
1.3754,-0.14268,2.4747,-0.038937,1,1,11
-1.6857,3.299,-4.5253,-0.038937,1,1,11
-0.71612,-2.4073,-4.5253,-0.038937,1,0,11
0.90791,-2.4073,-4.5253,-0.038937,1,0,11
-0.32459,-0.23979,-2.5253,-0.038937,0,1,11
1.8879,-1.1646,-3.5253,-0.038937,1,1,11
-0.32459,0.89165,4.4747,-0.038937,0,1,12
0.5606,4.9983,-4.5253,-0.038937,0,1,12
1.8429,0.56525,-3.5253,-0.038937,1,0,12
2.3649,0.95818,-3.5253,-0.038937,1,0,12
5.1634,3.4327,2.4747,-0.038937,0,1,12
0.27041,2.3589,-3.5253,-0.038937,0,1,12
1.7634,0.48271,4.4747,-0.038937,1,1,12
0.52541,0.61308,-2.5253,-0.038937,0,1,12
-1.1746,-1.0919,-4.5253,-0.038937,0,0,12
5.3704,5.4552,4.4747,-0.038937,1,1,12
1.4502,-0.78167,4.4747,-0.038937,1,0,12
0.72304,1.1227,-3.5253,-0.038937,0,1,12
-0.73567,-1.8123,-4.5253,-0.038937,1,0,12
-0.32459,-0.23979,-0.5253,-3.0389,-1,1,12
-3.1145,-1.7069,-4.5253,-0.038937,0,0,12
2.8861,2.0463,4.4747,-0.038937,1,1,12
3.7979,4.2502,3.4747,-0.038937,1,1,12
1.0065,-0.96229,-3.5253,-0.038937,1,1,12
1.116,-0.0039199,3.4747,-0.038937,1,1,12
1.4711,3.5385,-4.5253,-0.038937,1,0,12
1.9048,4.425,-4.5253,-0.038937,1,1,12
2.1045,2.2566,3.4747,-0.038937,0,1,12
2.1798,0.48271,4.4747,-0.038937,1,1,12
0.65939,2.3102,-3.5253,-0.038937,0,1,13
2.3678,0.036561,-2.5253,-0.038937,1,0,13
-0.32459,-0.23979,-0.5253,-3.0389,-1,1,13
2.5654,2.2408,-4.5253,-0.038937,1,1,13
-0.32459,-1.3948,-1.5253,-0.038937,0,0,13
-4.3345,-0.063477,-4.5253,-0.038937,0,0,13
0.18116,0.98846,-4.5253,-0.038937,1,1,13
-2.4974,-2.4126,-0.5253,-0.038937,1,0,13
0.42971,-2.0146,2.4747,-0.038937,0,0,13
-4.0646,-1.1663,-4.5253,-0.038937,1,0,13
-0.32459,-0.23979,-0.5253,-2.0389,-1,1,13
-2.5431,-2.1798,2.4747,-0.038937,0,0,13
1.8429,0.90721,-4.5253,-0.038937,1,1,13
1.5178,-4.5272,-2.5253,-0.038937,1,0,13
2.188,5.2482,4.4747,-0.038937,1,1,13
-0.32459,-0.23979,-0.5253,-1.0389,-1,1,13
-2.6843,-1.3712,2.4747,-0.038937,0,0,13
2.034,1.5408,3.4747,-0.038937,0,1,13
1.1336,1.027,-4.5253,-0.038937,1,1,13
0.77506,1.765,-4.5253,-0.038937,1,1,13
-0.59708,-0.0081779,1.4747,-0.038937,1,0,13
-0.32459,-0.23979,-0.5253,-2.0389,-1,1,13
0.52541,-1.2322,-4.5253,-0.038937,1,0,13
2.7474,0.28221,-4.5253,-0.038937,1,1,13
3.4537,-1.6053,-4.5253,-0.038937,1,1,13
2.8949,1.7417,-4.5253,-0.038937,1,1,13
2.7264,2.0798,-2.5253,-0.038937,1,1,13
-0.32459,3.1602,-2.5253,-0.038937,0,1,14
2.8395,2.9008,-3.5253,-0.038937,0,1,14
3.396,0.068514,-4.5253,-0.038937,1,1,14
2.1738,-0.30894,4.4747,-0.038937,1,0,14
0.90256,-2.0673,-4.5253,-0.038937,0,1,14
-1.3429,-0.31626,4.4747,-0.038937,0,0,14
-0.32459,-0.23979,-0.5253,4.9611,-1,1,14
0.50629,0.59108,3.4747,-0.038937,1,1,14
-0.32459,-0.23979,-0.5253,1.9611,-1,1,14
0.26251,-1.9398,4.4747,-0.038937,0,0,14
-1.6899,-1.9398,4.4747,-0.038937,1,1,14
-1.449,0.77171,4.4747,-0.038937,0,1,14
0.96912,-0.95581,-3.5253,-0.038937,1,1,14
0.48527,-1.2173,4.4747,-0.038937,1,1,14
0.83611,4.0157,-4.5253,-0.038937,0,1,14
1.4379,-0.78637,-3.5253,-0.038937,0,0,14
-2.4757,-2.6772,-3.5253,-0.038937,1,0,14
1.9855,3.7743,4.4747,-0.038937,1,1,14
-0.12771,3.0177,4.4747,-0.038937,1,1,14
1.5668,1.3178,4.4747,-0.038937,1,0,14
-1.9323,-3.2075,2.4747,-0.038937,1,0,14
-1.2371,-0.17224,4.4747,-0.038937,1,1,14
-0.32459,-0.23979,-0.5253,1.9611,-1,0,14
3.7448,0.081718,2.4747,-0.038937,1,1,14
3.559,3.1602,-4.5253,-0.038937,1,1,14
1.3596,0.48271,-4.5253,-0.038937,1,0,15
0.057912,0.14271,-4.5253,-0.038937,1,0,15
0.78849,-2.1757,4.4747,-0.038937,0,1,15
-1.0406,3.6183,-4.5253,-0.038937,1,1,15
-4.924,-1.6375,-3.5253,-0.038937,0,0,15
4.1078,4.7645,-4.5253,-0.038937,1,1,15
-1.1975,-3.4593,-4.5253,-0.038937,1,0,15
1.5178,1.4602,-4.5253,-0.038937,0,0,15
1.6262,2.5707,2.4747,-0.038937,1,1,15
5.1154,5.2002,-3.5253,-0.038937,0,1,15
-6.7421,-2.4073,-2.5253,-0.038937,0,0,15
-3.1403,-1.4005,3.4747,-0.038937,0,0,15
2.0688,3.4572,0.4747,-0.038937,1,1,15
3.0474,0.33569,4.4747,-0.038937,1,1,15
-0.78656,-3.0044,-3.5253,-0.038937,1,0,15
-4.5746,1.9965,-4.5253,-0.038937,1,1,15
-4.3471,-4.4711,-4.5253,-0.038937,1,0,15
3.8929,1.8323,-4.5253,-0.038937,1,1,15
-0.71834,1.535,-2.5253,-0.038937,1,0,15
-1.6931,0.57768,-4.5253,-0.038937,0,1,15
1.5285,-2.069,-4.5253,-0.038937,1,0,15
-3.6746,-2.4073,4.4747,-0.038937,1,0,16
0.93171,-1.1429,2.4747,-0.038937,1,1,16
-0.32459,-0.23979,-0.5253,3.9611,-1,1,16
0.086491,0.86299,3.4747,-0.038937,1,1,16
2.3206,3.1976,-4.5253,-0.038937,1,1,16
-2.0994,0.37433,4.4747,-0.038937,0,0,16
2.5654,0.91829,-3.5253,-0.038937,1,1,16
0.28954,-0.95679,-3.5253,-0.038937,0,0,16
2.2254,2.3102,4.4747,-0.038937,1,1,16
-1.0471,-1.468,-2.5253,-0.038937,0,0,16
-3.017,0.35521,-4.5253,-0.038937,0,0,16
-1.5517,-1.0898,-4.5253,-0.038937,0,0,16
-1.0323,1.0777,-4.5253,-0.038937,1,1,16
-1.3297,-0.37378,-4.5253,-0.038937,1,0,16
0.17744,1.3051,-2.5253,-0.038937,1,1,16
-0.53806,0.71517,-4.5253,-0.038937,1,0,16
4.8871,2.782,2.4747,-0.038937,1,1,16
1.0704,2.7777,4.4747,-0.038937,1,1,16
-3.612,1.3178,4.4747,-0.038937,0,0,16
3.8477,-1.1272,-3.5253,-0.038937,1,1,16
0.39791,1.4444,2.4747,-0.038937,1,0,17
-4.4406,-4.0721,3.4747,-0.038937,1,0,17
0.52541,-3.2111,-4.5253,-0.038937,0,0,17
-0.79634,0.95021,-4.5253,-0.038937,0,0,17
-0.32459,0.30519,1.4747,-0.038937,0,1,17
0.34479,-2.148,4.4747,-0.038937,1,0,17
-3.1105,-5.7278,4.4747,-0.038937,0,0,17
-2.5557,-0.11229,4.4747,-0.038937,1,0,17
-3.8251,-1.2758,-4.5253,-0.038937,1,0,17
3.2879,3.6231,-2.5253,-0.038937,0,0,17
1.0072,-1.6998,4.4747,-0.038937,1,0,17
2.6929,2.7777,-2.5253,-0.038937,0,1,17
-0.27146,1.1792,-2.5253,-0.038937,0,1,17
-0.32459,-0.23979,-0.5253,0.96106,-1,0,17
-1.2681,0.65069,-4.5253,-0.038937,1,0,17
1.7793,1.8641,-4.5253,-0.038937,1,1,17
2.244,0.72158,4.4747,-0.038937,1,0,17
1.5178,0.27873,-2.5253,-0.038937,1,1,17
-2.3272,1.6916,-4.5253,-0.038937,1,0,17
-1.504,-1.2758,-3.5253,-0.038937,1,0,17
-3.0871,-3.0023,2.4747,-0.038937,1,0,17
1.9895,1.4602,3.4747,-0.038937,0,1,18
0.28954,0.99271,3.4747,-0.038937,1,0,18
0.62153,0.67271,-4.5253,-0.038937,1,1,18
-1.8906,-2.8532,-1.5253,-0.038937,1,1,18
-2.8746,-0.35368,-2.5253,-0.038937,0,1,18
-1.0229,3.5257,4.4747,-0.038937,0,1,18
0.59682,1.674,3.4747,-0.038937,1,1,18
1.7101,-0.38217,2.4747,-0.038937,0,1,18
0.57262,-1.8224,3.4747,-0.038937,1,0,18
1.233,1.3178,4.4747,-0.038937,1,1,18
3.0754,2.6464,4.4747,-0.038937,0,1,18
1.5178,-1.0075,-2.5253,-0.038937,1,0,18
-0.32459,-0.43667,-4.5253,-0.038937,0,0,18
-0.32459,-1.468,4.4747,-0.038937,1,0,18
1.9477,0.80422,-4.5253,-0.038937,1,1,18
-2.1623,4.196,4.4747,-0.038937,1,1,18
0.70032,1.646,4.4747,-0.038937,1,1,18
4.1054,2.1897,4.4747,-0.038937,1,1,18
1.6304,-2.1236,-2.5253,-0.038937,1,1,18
3.4773,0.61821,2.4747,-0.038937,1,1,18
2.2523,1.3485,3.4747,-0.038937,1,1,18
2.8204,2.9052,4.4747,-0.038937,0,1,19
-0.32459,-0.023045,-4.5253,-0.038937,1,1,19
-2.6005,0.37433,4.4747,-0.038937,1,1,19
0.81154,-0.57127,3.4747,-0.038937,1,1,19
0.19604,0.28083,-4.5253,-0.038937,1,1,19
1.6352,2.6105,3.4747,-0.038937,1,0,19
0.14826,2.385,3.4747,-0.038937,0,0,19
1.1785,-1.4014,-4.5253,-0.038937,1,0,19
1.1522,2.3251,4.4747,-0.038937,0,0,19
1.5029,-0.42403,4.4747,-0.038937,0,0,19
-1.8825,-3.246,4.4747,-0.038937,1,1,19
1.0474,0.74612,2.4747,-0.038937,1,1,19
2.1129,-0.16497,-2.5253,-0.038937,1,1,19
2.2254,2.3102,4.4747,-0.038937,1,0,19
-1.5528,-2.7898,4.4747,-0.038937,1,1,19
1.2288,-1.4723,-4.5253,-0.038937,1,1,19
1.3429,1.3327,4.4747,-0.038937,0,0,19
-1.4908,1.5202,1.4747,-0.038937,1,0,19
0.518,0.42446,4.4747,-0.038937,1,0,19
-0.60604,-0.23979,-3.5253,-0.038937,0,0,20
3.2879,1.7699,-4.5253,-0.038937,0,0,20
0.33966,0.42446,-4.5253,-0.038937,1,1,20
-2.0246,0.37433,-3.5253,-0.038937,1,1,20
0.013181,1.0741,-4.5253,-0.038937,0,1,20
1.6348,1.7196,2.4747,-0.038937,0,0,20
-0.32459,-0.23979,-0.5253,1.9611,-1,0,20
0.41368,3.156,3.4747,-0.038937,1,0,20
-0.20357,4.085,2.4747,-0.038937,0,0,20
0.14936,-3.9733,-2.5253,-0.038937,1,1,20
4.5162,5.9227,4.4747,-0.038937,1,1,20
